 Total battles: 55238
 Avg. weight/team: 0.137
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Groudon-Primal,31.59560,14552,13.172,9839,14.266
2,Rayquaza-Mega,29.94418,16106,14.579,9490,13.760
3,Arceus,29.50854,8661,7.840,4737,6.868
4,Xerneas,26.20361,10360,9.378,6157,8.927
5,Darkrai,21.95310,12611,11.415,7761,11.253
6,Kyogre-Primal,18.79324,11242,10.176,6907,10.015
7,Mewtwo-Mega-Y,16.16028,7215,6.531,4552,6.600
8,Arceus-Ghost,14.00454,3153,2.854,2120,3.074
9,Klefki,8.80885,3458,3.130,2133,3.093
10,Aegislash,8.79312,8303,7.516,5314,7.705
11,Chansey,8.74234,3365,3.046,1888,2.737
12,Lugia,8.36185,4272,3.867,2490,3.610
13,Greninja,8.26714,10739,9.721,7216,10.463
14,Yveltal,8.24950,3905,3.535,2375,3.444
15,Smeargle,7.18561,6811,6.165,4490,6.510
16,Deoxys-Attack,6.97132,2875,2.602,1841,2.669
17,Ferrothorn,6.36248,4466,4.043,3276,4.750
18,Arceus-Fairy,6.01124,2024,1.832,1259,1.825
19,Arceus-Steel,5.82757,1503,1.360,901,1.306
20,Scizor,5.23191,3332,3.016,2184,3.167
21,Garchomp,5.10015,6222,5.632,4002,5.803
22,Blaziken,4.83802,5973,5.407,4116,5.968
23,Espeon,4.78567,4046,3.662,2373,3.441
24,Kyogre,4.67431,1380,1.249,759,1.101
25,Kangaskhan-Mega,4.65352,3224,2.918,2159,3.130
26,Cloyster,4.50585,4502,4.075,2785,4.038
27,Shaymin-Sky,4.47409,2316,2.096,1421,2.060
28,Ho-Oh,4.42389,2494,2.258,1619,2.347
29,Chandelure,4.27842,2776,2.513,1850,2.682
30,Shuckle,4.13527,3241,2.934,2092,3.033
31,Talonflame,4.09684,5032,4.555,2778,4.028
32,Gengar-Mega,4.04561,4594,4.158,3083,4.470
33,Blaziken-Mega,3.80883,6523,5.904,4566,6.620
34,Rotom-Wash,3.79097,2254,2.040,1529,2.217
35,Mewtwo,3.42252,3102,2.808,1644,2.384
36,Gliscor,3.40668,4837,4.378,3165,4.589
37,Tyranitar,3.39528,3716,3.364,2414,3.500
38,Ditto,3.30233,3694,3.344,1451,2.104
39,Mewtwo-Mega-X,3.21280,4507,4.080,2938,4.260
40,Kyurem-White,3.20413,1822,1.649,1139,1.651
41,Scolipede,3.13170,3258,2.949,2497,3.621
42,Serperior,3.11129,4704,4.258,2857,4.142
43,Dragonite,3.06688,5689,5.150,3570,5.176
44,Sableye-Mega,3.04706,2636,2.386,1888,2.737
45,Skarmory,3.02095,2505,2.267,1953,2.832
46,Dialga,2.98182,3135,2.838,1983,2.875
47,Ninjask,2.94277,3550,3.213,2784,4.037
48,Machamp,2.86949,2317,2.097,1654,2.398
49,Gengar,2.85590,5379,4.869,3334,4.834
50,Volcarona,2.78308,3354,3.036,2044,2.964
51,Giratina-Origin,2.78043,3019,2.733,1814,2.630
52,Lopunny-Mega,2.77632,3488,3.157,2403,3.484
53,Togekiss,2.75945,4440,4.019,2792,4.048
54,Diancie-Mega,2.71281,1872,1.694,1231,1.785
55,Blissey,2.70675,2764,2.502,1608,2.332
56,Drifblim,2.68285,2611,2.363,1890,2.740
57,Zekrom,2.53341,2670,2.417,1584,2.297
58,Landorus-Therian,2.52075,1284,1.162,797,1.156
59,Jolteon,2.50927,3207,2.903,2253,3.267
60,Genesect,2.49271,2196,1.988,1234,1.789
61,Clefable,2.47253,3063,2.773,1853,2.687
62,Lucario-Mega,2.42753,4635,4.195,3087,4.476
63,Breloom,2.39463,3583,3.243,2407,3.490
64,Sigilyph,2.38264,1273,1.152,728,1.056
65,Manaphy,2.31953,1177,1.065,721,1.045
66,Mawile-Mega,2.31329,2571,2.327,1715,2.487
67,Arcanine,2.29581,3771,3.413,2524,3.660
68,Umbreon,2.26684,3562,3.224,2273,3.296
69,Arceus-Water,2.25555,670,0.606,462,0.670
70,Arceus-Ground,2.23758,722,0.654,434,0.629
71,Gardevoir-Mega,2.21422,4768,4.316,2860,4.147
72,Giratina,2.17117,1061,0.960,639,0.927
73,Weavile,2.00372,3024,2.737,2095,3.038
74,Jirachi,1.91218,1526,1.381,897,1.301
75,Milotic,1.87767,3245,2.937,1868,2.708
76,Forretress,1.86544,2638,2.388,2084,3.022
77,Whimsicott,1.81725,2098,1.899,1111,1.611
78,Sylveon,1.77825,3516,3.183,2185,3.168
79,Vaporeon,1.75641,2136,1.933,1415,2.052
80,Sableye,1.70215,1565,1.417,991,1.437
81,Azumarill,1.68936,2504,2.267,1580,2.291
82,Palkia,1.68302,1755,1.589,1056,1.531
83,Hoopa-Unbound,1.66979,1794,1.624,1124,1.630
84,Slurpuff,1.62634,1103,0.998,645,0.935
85,Excadrill,1.54048,2153,1.949,1381,2.002
86,Drapion,1.52889,1634,1.479,1140,1.653
87,Swampert-Mega,1.47480,2670,2.417,1787,2.591
88,Venomoth,1.47000,736,0.666,594,0.861
89,Scizor-Mega,1.45214,2434,2.203,1555,2.255
90,Salamence,1.43603,2645,2.394,1632,2.366
91,Charizard-Mega-X,1.43223,6058,5.484,4117,5.969
92,Crobat,1.41872,3425,3.100,2357,3.418
93,Gyarados,1.35387,2406,2.178,1559,2.260
94,Metagross,1.34838,2669,2.416,1650,2.392
95,Mew,1.32454,3192,2.889,1799,2.608
96,Tyranitar-Mega,1.31548,2058,1.863,1386,2.010
97,Heracross-Mega,1.29816,2167,1.962,1394,2.021
98,Snorlax,1.29448,4301,3.893,2600,3.770
99,Thundurus,1.27057,752,0.681,508,0.737
100,Charizard-Mega-Y,1.25137,3268,2.958,2159,3.130
101,Salamence-Mega,1.24991,2480,2.245,1538,2.230
102,Quagsire,1.24248,964,0.873,626,0.908
103,Lucario,1.17014,2534,2.294,1691,2.452
104,Metagross-Mega,1.15208,2874,2.601,1892,2.743
105,Deoxys-Speed,1.14058,1215,1.100,860,1.247
106,Infernape,1.13336,3411,3.088,2365,3.429
107,Bastiodon,1.10490,510,0.462,344,0.499
108,Gallade-Mega,1.10127,3311,2.997,2247,3.258
109,Deoxys-Defense,1.06513,1176,1.064,749,1.086
110,Heatran,1.04629,1347,1.219,919,1.332
111,Galvantula,1.04615,1478,1.338,1210,1.754
112,Latios,1.04246,1371,1.241,869,1.260
113,Liepard,1.03103,680,0.616,477,0.692
114,Arceus-Electric,1.02949,624,0.565,418,0.606
115,Electivire,1.00793,4023,3.642,2713,3.934
116,Slowbro,0.97002,922,0.835,598,0.867
117,Garchomp-Mega,0.93771,2292,2.075,1506,2.184
118,Gardevoir,0.92228,2772,2.509,1706,2.474
119,Haxorus,0.91680,2366,2.142,1417,2.055
120,Hydreigon,0.90925,1885,1.706,1176,1.705
121,Staraptor,0.90584,2348,2.125,1525,2.211
122,Durant,0.89510,1454,1.316,1030,1.493
123,Kingdra,0.88191,2186,1.979,1252,1.815
124,Cinccino,0.87651,1343,1.216,815,1.182
125,Bisharp,0.87568,2183,1.976,1366,1.981
126,Wobbuffet,0.84658,1346,1.218,719,1.043
127,Zapdos,0.84248,1745,1.580,1205,1.747
128,Beedrill-Mega,0.84145,1766,1.599,1166,1.691
129,Aggron,0.82056,1476,1.336,982,1.424
130,Gyarados-Mega,0.81012,1714,1.551,1162,1.685
131,Hawlucha,0.80987,1364,1.235,926,1.343
132,Porygon-Z,0.78952,1527,1.382,1063,1.541
133,Conkeldurr,0.78896,1195,1.082,790,1.145
134,Ludicolo,0.78338,1358,1.229,841,1.219
135,Sceptile-Mega,0.77919,4036,3.653,2576,3.735
136,Venusaur-Mega,0.77531,2371,2.146,1604,2.326
137,Zoroark,0.77468,1834,1.660,810,1.174
138,Malamar,0.76609,891,0.807,583,0.845
139,Xatu,0.76185,618,0.559,422,0.612
140,Magnezone,0.76141,1850,1.675,1202,1.743
