 Total battles: 27592
 Avg. weight/team: 0.03
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Flygon,5.24086,2875,5.210,1924,4.895
2,Latios,4.76744,2872,5.204,1853,4.714
3,Tyranitar,4.63926,2837,5.141,2162,5.500
4,Latias,4.48070,2544,4.610,1622,4.126
5,Ferrothorn,4.45910,2279,4.130,1847,4.699
6,Roselia,4.26266,2160,3.914,1507,3.834
7,Klefki,4.02905,2142,3.882,1713,4.358
8,Cryogonal,3.95478,2389,4.329,1612,4.101
9,Clefairy,3.88787,1940,3.516,1444,3.674
10,Archeops,3.72776,1965,3.561,1456,3.704
11,Rhyperior,3.62398,1677,3.039,1211,3.081
12,Prinplup,3.59785,1920,3.479,1559,3.966
13,Excadrill,3.54990,2027,3.673,1414,3.597
14,Bronzong,3.28059,1794,3.251,1440,3.663
15,Diancie,3.26563,1545,2.800,1155,2.938
16,Hitmontop,3.23199,1476,2.675,998,2.539
17,Blissey,3.22720,1917,3.474,1346,3.424
18,Pawniard,3.20746,1716,3.110,1249,3.177
19,Rotom,3.19236,1536,2.783,1208,3.073
20,Ninetales,3.13097,1410,2.555,1045,2.659
21,Diancie-Mega,3.12321,1650,2.990,1279,3.254
22,Scizor-Mega,3.05244,1831,3.318,1314,3.343
23,Manectric,3.02745,1544,2.798,1102,2.804
24,Camerupt,2.97823,1577,2.858,1228,3.124
25,Mesprit,2.97519,1592,2.885,1215,3.091
26,Grumpig,2.90470,1433,2.597,911,2.318
27,Feraligatr,2.79927,1539,2.789,1062,2.702
28,Swanna,2.77809,1368,2.479,932,2.371
29,Armaldo,2.77370,1390,2.519,1007,2.562
30,Hitmonlee,2.77204,1546,2.802,1075,2.735
31,Blastoise,2.74679,1580,2.863,1125,2.862
32,Aromatisse,2.73536,1445,2.619,971,2.470
33,Dodrio,2.73409,1262,2.287,872,2.218
34,Deoxys-Speed,2.72049,1260,2.283,988,2.514
35,Ho-Oh,2.71413,1475,2.673,1087,2.765
36,Gligar,2.70548,1401,2.539,1050,2.671
37,Hoopa,2.69177,1452,2.631,966,2.458
38,Dialga,2.64403,1524,2.762,1163,2.959
39,Skuntank,2.63279,1381,2.503,956,2.432
40,Poliwrath,2.63025,1389,2.517,990,2.519
41,Misdreavus,2.60171,1492,2.704,1074,2.732
42,Shaymin-Sky,2.57817,1283,2.325,793,2.017
43,Samurott,2.55146,1264,2.291,856,2.178
44,Landorus,2.52053,1223,2.216,873,2.221
45,Tangela,2.51535,1378,2.497,959,2.440
46,Xerneas,2.50445,1314,2.381,862,2.193
47,Skarmory,2.49700,1428,2.588,1085,2.760
48,Piloswine,2.49581,1445,2.619,1146,2.915
49,Genesect,2.46391,1321,2.394,998,2.539
50,Vivillon,2.45504,1234,2.236,858,2.183
51,Basculin,2.45429,1297,2.350,874,2.223
52,Abomasnow,2.44261,1342,2.432,906,2.305
53,Reshiram,2.43829,1146,2.077,750,1.908
54,Hitmonchan,2.42952,1258,2.280,864,2.198
55,Malamar,2.42014,1406,2.548,1044,2.656
56,Mew,2.41924,1339,2.426,910,2.315
57,Aegislash,2.41530,1193,2.162,863,2.196
58,Yveltal,2.40945,1218,2.207,809,2.058
59,Giratina-Origin,2.39920,1148,2.080,743,1.890
60,Tentacruel,2.37939,1072,1.943,854,2.173
61,Claydol,2.35858,1252,2.269,852,2.168
62,Terrakion,2.34346,1193,2.162,860,2.188
63,Pelipper,2.33744,1282,2.323,916,2.330
64,Chatot,2.32869,1268,2.298,853,2.170
65,Empoleon,2.32158,1321,2.394,1021,2.597
66,Heatran,2.28771,1269,2.300,971,2.470
67,Darkrai,2.28370,1272,2.305,911,2.318
68,Sableye-Mega,2.26565,1219,2.209,947,2.409
69,Blaziken,2.25900,1070,1.939,797,2.028
70,Zapdos,2.23384,1151,2.086,850,2.162
71,Vibrava,2.21200,1490,2.700,1039,2.643
72,Donphan,2.20861,1266,2.294,956,2.432
73,Gyarados,2.19962,1229,2.227,899,2.287
74,Registeel,2.19032,1096,1.986,844,2.147
75,Articuno,2.15401,1256,2.276,840,2.137
76,Omastar,2.12446,1260,2.283,942,2.396
77,Rayquaza,2.10760,1068,1.935,681,1.732
78,Avalugg,2.10469,1281,2.321,888,2.259
79,Mantine,2.09443,1184,2.146,856,2.178
80,Cloyster,2.08660,1074,1.946,794,2.020
81,Marowak,2.07351,1154,2.091,861,2.190
82,Togekiss,2.03257,1253,2.271,873,2.221
83,Crawdaunt,2.01721,942,1.707,628,1.598
84,Mandibuzz,1.98928,978,1.772,666,1.694
85,Clefable,1.98037,1137,2.060,863,2.196
86,Greninja,1.97733,1284,2.327,1020,2.595
