 Total battles: 287
 Avg. weight/team: 0.701
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Talonflame,25.09278,130,18.786,48,20.513
2,Garchomp,22.80384,113,16.329,30,12.821
3,Aegislash,20.40238,109,15.751,29,12.393
4,Greninja,19.31387,130,18.786,59,25.214
5,Venusaur-Mega,18.55241,98,14.162,34,14.530
6,Lapras,14.32318,62,8.960,27,11.538
7,Raikou,13.44769,56,8.092,9,3.846
8,Gengar-Mega,13.10036,77,11.127,28,11.966
9,Charizard-Mega-X,12.37490,107,15.462,55,23.504
10,Kangaskhan-Mega,10.60730,50,7.225,35,14.957
11,Dragonite,10.19344,66,9.538,18,7.692
12,Breloom,8.88554,61,8.815,20,8.547
13,Heatran,7.48264,37,5.347,5,2.137
14,Gengar,7.14958,46,6.647,10,4.274
15,Hydreigon,6.99626,40,5.780,18,7.692
16,Charizard-Mega-Y,6.83589,48,6.936,33,14.103
17,Landorus-Therian,6.23568,31,4.480,16,6.838
18,Lopunny-Mega,6.14375,40,5.780,18,7.692
19,Bisharp,5.77320,46,6.647,13,5.556
20,Gliscor,5.76567,42,6.069,16,6.838
21,Gardevoir-Mega,5.55092,46,6.647,19,8.120
22,Tyranitar,5.53034,28,4.046,6,2.564
23,Amoonguss,5.03241,32,4.624,13,5.556
24,Rotom-Wash,4.97341,30,4.335,8,3.419
25,Cresselia,4.88417,23,3.324,13,5.556
26,Blaziken,4.75658,31,4.480,9,3.846
27,Weavile,4.51116,32,4.624,11,4.701
28,Lucario-Mega,4.50387,33,4.769,15,6.410
29,Garchomp-Mega,4.20568,44,6.358,14,5.983
30,Sceptile-Mega,4.12287,40,5.780,18,7.692
31,Mamoswine,4.00087,22,3.179,7,2.991
32,Serperior,3.92962,32,4.624,9,3.846
33,Azumarill,3.86526,31,4.480,12,5.128
34,Suicune,3.84894,19,2.746,6,2.564
35,Crobat,3.76269,24,3.468,10,4.274
36,Excadrill,3.70756,24,3.468,7,2.991
37,Crawdaunt,3.67367,20,2.890,5,2.137
38,Sylveon,3.66331,23,3.324,9,3.846
39,Gyarados-Mega,3.63362,28,4.046,8,3.419
40,Sableye-Mega,3.53789,21,3.035,9,3.846
41,Gallade-Mega,3.41637,32,4.624,16,6.838
42,Goodra,3.38077,23,3.324,6,2.564
43,Donphan,3.36347,17,2.457,3,1.282
44,Nidoking,3.35917,19,2.746,6,2.564
45,Houndoom-Mega,3.29686,18,2.601,4,1.709
46,Mawile-Mega,3.29137,24,3.468,13,5.556
47,Whimsicott,3.24184,17,2.457,11,4.701
48,Politoed,3.16320,24,3.468,12,5.128
49,Clefable,3.13352,19,2.746,4,1.709
50,Scizor,3.07250,30,4.335,2,0.855
51,Gardevoir,2.95346,18,2.601,5,2.137
