 Total battles: 1334
 Avg. weight/team: 0.382
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Greninja,31.33969,637,23.876,0,0.000
2,Landorus-Therian,23.26033,300,11.244,0,0.000
3,Politoed,22.56302,313,11.732,0,0.000
4,Sylveon,20.74031,396,14.843,0,0.000
5,Talonflame,19.76899,344,12.894,0,0.000
6,Meowstic,19.59946,252,9.445,0,0.000
7,Kingdra,18.55190,232,8.696,0,0.000
8,Scizor,16.58448,212,7.946,0,0.000
9,Toxicroak,14.36379,157,5.885,0,0.000
10,Heliolisk,14.10959,204,7.646,0,0.000
11,Blissey,13.93934,200,7.496,0,0.000
12,Tornadus,13.80231,146,5.472,0,0.000
13,Dusclops,12.80908,148,5.547,0,0.000
14,Venusaur-Mega,12.21665,206,7.721,0,0.000
15,Aegislash,11.61060,256,9.595,0,0.000
16,Kangaskhan-Mega,8.65869,146,5.472,0,0.000
17,Cherrim,8.62528,106,3.973,0,0.000
18,Ninetales,8.52720,177,6.634,0,0.000
19,Amoonguss,8.51401,131,4.910,0,0.000
20,Malamar,8.48312,106,3.973,0,0.000
21,Pinsir-Mega,8.37505,101,3.786,0,0.000
22,Heatran,7.69718,114,4.273,0,0.000
23,Ludicolo,7.29246,110,4.123,0,0.000
24,Whimsicott,7.18665,154,5.772,0,0.000
25,Porygon2,6.66628,90,3.373,0,0.000
26,Hitmontop,6.26055,108,4.048,0,0.000
27,Charizard-Mega-Y,6.21456,189,7.084,0,0.000
28,Mawile-Mega,6.06975,76,2.849,0,0.000
29,Camerupt-Mega,5.82110,84,3.148,0,0.000
30,Clefairy,5.56030,67,2.511,0,0.000
31,Gardevoir,5.41034,163,6.109,0,0.000
32,Conkeldurr,5.35401,92,3.448,0,0.000
33,Aromatisse,5.17739,65,2.436,0,0.000
34,Arcanine,4.80207,184,6.897,0,0.000
35,Golduck,4.72011,76,2.849,0,0.000
36,Furfrou,4.71287,48,1.799,0,0.000
