 Total battles: 9662
 Avg. weight/team: 0.021
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Sylveon,33.38393,1443,7.467,0,0.000
2,Volcanion,27.97533,918,4.751,0,0.000
3,Crawdaunt,22.72755,582,3.012,0,0.000
4,Raichu,22.52906,824,4.264,0,0.000
5,Ampharos-Mega,22.49888,456,2.360,0,0.000
6,Talonflame,20.98765,2043,10.572,0,0.000
7,Dusclops,18.85013,651,3.369,0,0.000
8,Mamoswine,16.37019,502,2.598,0,0.000
9,Mienshao,16.35799,253,1.309,0,0.000
10,Cresselia,15.32544,1034,5.351,0,0.000
11,Scrafty,15.04960,696,3.602,0,0.000
12,Landorus-Therian,14.07728,1391,7.198,0,0.000
13,Hariyama,14.07441,281,1.454,0,0.000
14,Heatran,13.72105,754,3.902,0,0.000
15,Mawile-Mega,13.51788,592,3.064,0,0.000
16,Gyarados,12.51510,582,3.012,0,0.000
17,Bisharp,12.38756,734,3.798,0,0.000
18,Keldeo,11.62094,520,2.691,0,0.000
19,Greninja,10.76083,1660,8.590,0,0.000
20,Diancie-Mega,10.71796,583,3.017,0,0.000
21,Genesect,10.49204,299,1.547,0,0.000
22,Rotom-Wash,10.09211,880,4.554,0,0.000
23,Scizor-Mega,9.94717,633,3.276,0,0.000
24,Reuniclus,9.55488,483,2.499,0,0.000
25,Aegislash,9.30818,1385,7.167,0,0.000
26,Abomasnow-Mega,8.94681,567,2.934,0,0.000
27,Amoonguss,8.05420,1002,5.185,0,0.000
28,Ferrothorn,7.97723,1089,5.635,0,0.000
29,Azumarill,7.94873,806,4.171,0,0.000
30,Gengar-Mega,7.53308,653,3.379,0,0.000
31,Gardevoir-Mega,7.10562,1436,7.431,0,0.000
32,Hitmontop,6.39039,430,2.225,0,0.000
33,Jirachi,6.24407,465,2.406,0,0.000
34,Marowak,6.09898,228,1.180,0,0.000
35,Whimsicott,6.02403,925,4.787,0,0.000
36,Tyranitar-Mega,5.90196,474,2.453,0,0.000
37,Kyurem-Black,5.79802,365,1.889,0,0.000
38,Diancie,5.75058,191,0.988,0,0.000
39,Volcarona,5.59251,460,2.380,0,0.000
40,Scizor,5.57050,695,3.597,0,0.000
