 Total battles: 124
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Espeon,12.50000,31,12.500,12,8.145
2,Gardevoir,12.09677,30,12.097,22,14.932
3,Infernape,10.08065,25,10.081,17,11.538
4,Banette-Mega,10.08065,25,10.081,13,8.824
5,Marowak,9.27419,23,9.274,22,14.932
6,Glaceon,8.87097,22,8.871,4,2.715
7,Lucario-Mega,8.87097,22,8.871,15,10.181
8,Sceptile,8.06452,20,8.065,10,6.787
9,Crobat,7.66129,19,7.661,11,7.466
10,Aggron,7.25806,18,7.258,8,5.430
11,Cofagrigus,7.25806,18,7.258,10,6.787
12,Wigglytuff,7.25806,18,7.258,8,5.430
13,Reuniclus,7.25806,18,7.258,8,5.430
14,Sandslash,6.85484,17,6.855,16,10.860
15,Kabutops,6.85484,17,6.855,14,9.502
16,Houndoom-Mega,6.85484,17,6.855,9,6.109
17,Armaldo,6.85484,17,6.855,9,6.109
18,Seviper,6.45161,16,6.452,1,0.679
19,Meganium,6.45161,16,6.452,6,4.072
20,Pyroar,6.45161,16,6.452,12,8.145
21,Absol-Mega,6.45161,16,6.452,6,4.072
22,Zangoose,6.04839,15,6.048,15,10.181
23,Lucario,5.64516,14,5.645,7,4.751
24,Shedinja,5.64516,14,5.645,7,4.751
25,Snorlax,5.24194,13,5.242,8,5.430
26,Ambipom,4.83871,12,4.839,7,4.751
27,Blastoise-Mega,4.43548,11,4.435,7,4.751
28,Blaziken-Mega,4.43548,11,4.435,5,3.394
29,Alakazam,4.43548,11,4.435,5,3.394
30,Abomasnow-Mega,4.43548,11,4.435,7,4.751
31,Sudowoodo,4.43548,11,4.435,5,3.394
32,Golurk,4.03226,10,4.032,4,2.715
33,Ampharos-Mega,4.03226,10,4.032,7,4.751
34,Accelgor,4.03226,10,4.032,6,4.072
35,Clawitzer,4.03226,10,4.032,6,4.072
36,Steelix-Mega,4.03226,10,4.032,9,6.109
37,Aerodactyl,3.62903,9,3.629,6,4.072
38,Cloyster,3.62903,9,3.629,4,2.715
39,Audino-Mega,3.62903,9,3.629,2,1.357
40,Ursaring,3.62903,9,3.629,5,3.394
41,Drapion,3.62903,9,3.629,5,3.394
42,Articuno,3.62903,9,3.629,7,4.751
43,Sceptile-Mega,3.62903,9,3.629,5,3.394
44,Shuckle,3.62903,9,3.629,6,4.072
45,Darkrai,3.22581,8,3.226,7,4.751
46,Eelektross,3.22581,8,3.226,7,4.751
47,Heliolisk,3.22581,8,3.226,5,3.394
48,Beedrill-Mega,3.22581,8,3.226,8,5.430
49,Arbok,3.22581,8,3.226,5,3.394
50,Jolteon,3.22581,8,3.226,6,4.072
51,Chandelure,3.22581,8,3.226,4,2.715
52,Excadrill,3.22581,8,3.226,3,2.036
53,Jynx,3.22581,8,3.226,2,1.357
54,Galvantula,3.22581,8,3.226,7,4.751
55,Abomasnow,3.22581,8,3.226,6,4.072
56,Dusclops,3.22581,8,3.226,5,3.394
57,Machamp,2.82258,7,2.823,5,3.394
58,Blaziken,2.82258,7,2.823,4,2.715
59,Exeggutor,2.82258,7,2.823,6,4.072
60,Parasect,2.82258,7,2.823,2,1.357
61,Florges,2.82258,7,2.823,4,2.715
62,Walrein,2.82258,7,2.823,4,2.715
63,Glalie-Mega,2.82258,7,2.823,3,2.036
64,Mawile-Mega,2.82258,7,2.823,6,4.072
65,Slaking,2.82258,7,2.823,1,0.679
66,Torterra,2.82258,7,2.823,5,3.394
67,Audino,2.82258,7,2.823,4,2.715
68,Regigigas,2.82258,7,2.823,3,2.036
69,Electivire,2.82258,7,2.823,4,2.715
70,Xatu,2.82258,7,2.823,7,4.751
71,Heracross,2.82258,7,2.823,4,2.715
72,Serperior,2.41935,6,2.419,3,2.036
73,Durant,2.41935,6,2.419,5,3.394
74,Haxorus,2.41935,6,2.419,4,2.715
75,Dragalge,2.41935,6,2.419,4,2.715
76,Blastoise,2.41935,6,2.419,5,3.394
77,Gyarados,2.41935,6,2.419,5,3.394
78,Vaporeon,2.41935,6,2.419,4,2.715
79,Noivern,2.41935,6,2.419,5,3.394
80,Cradily,2.41935,6,2.419,4,2.715
81,Swampert,2.41935,6,2.419,2,1.357
82,Aerodactyl-Mega,2.41935,6,2.419,5,3.394
83,Manectric,2.41935,6,2.419,5,3.394
84,Empoleon,2.41935,6,2.419,3,2.036
85,Muk,2.41935,6,2.419,6,4.072
86,Escavalier,2.41935,6,2.419,5,3.394
87,Jumpluff,2.41935,6,2.419,4,2.715
88,Swellow,2.01613,5,2.016,4,2.715
89,Altaria-Mega,2.01613,5,2.016,2,1.357
90,Ninetales,2.01613,5,2.016,2,1.357
91,Alakazam-Mega,2.01613,5,2.016,5,3.394
92,Chansey,2.01613,5,2.016,3,2.036
