 Total battles: 10150
 Avg. weight/team: 0.343
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Tauros,82.26269,10119,49.847,7089,43.747
2,Exeggutor,73.45260,10430,51.379,8939,55.164
3,Chansey,71.62151,10127,49.887,8359,51.584
4,Snorlax,69.92702,10319,50.833,8287,51.140
5,Alakazam,47.89269,9950,49.015,8534,52.664
6,Starmie,46.49222,6212,30.601,5313,32.787
7,Zapdos,34.58447,5312,26.167,4212,25.993
8,Gengar,27.37860,6657,32.793,5572,34.386
9,Jynx,20.95954,2636,12.985,2468,15.230
10,Golem,20.09169,4154,20.463,3232,19.945
11,Rhydon,17.41288,4139,20.389,3275,20.210
12,Jolteon,12.79762,3925,19.335,3162,19.513
13,Lapras,11.57481,3639,17.926,2835,17.495
14,Slowbro,11.44250,2948,14.522,2407,14.854
15,Cloyster,10.98106,2267,11.167,1796,11.083
16,Raichu,7.18548,1361,6.704,1153,7.115
17,Persian,2.91744,756,3.724,552,3.406
18,Dragonite,2.67772,3016,14.857,2160,13.330
19,Clefable,2.54323,393,1.936,329,2.030
20,Hypno,2.21874,410,2.020,352,2.172
21,Nidoking,1.93916,846,4.167,642,3.962
22,Articuno,1.78174,765,3.768,556,3.431
23,Victreebel,1.73529,484,2.384,351,2.166
24,Nidoqueen,1.68787,270,1.330,208,1.284
25,Electrode,1.40164,723,3.562,657,4.054
26,Charizard,1.38112,3110,15.320,2450,15.119
27,Ninetales,1.35840,468,2.305,323,1.993
28,Venusaur,1.26719,1859,9.158,1449,8.942
29,Kangaskhan,1.03823,250,1.232,193,1.191
30,Gyarados,1.00638,954,4.700,711,4.388
31,Dugtrio,0.89990,364,1.793,301,1.858
32,Wigglytuff,0.88042,172,0.847,142,0.876
33,Poliwrath,0.80215,348,1.714,272,1.679
34,Dodrio,0.52776,445,2.192,324,1.999
35,Sandslash,0.40662,151,0.744,121,0.747
36,Beedrill,0.40362,165,0.813,123,0.759
37,Flareon,0.40310,235,1.158,180,1.111
38,Arcanine,0.36267,907,4.468,679,4.190
39,Golduck,0.34218,142,0.700,105,0.648
40,Hitmonlee,0.33682,380,1.872,266,1.642
41,Moltres,0.29885,462,2.276,328,2.024
42,Blastoise,0.27741,1319,6.498,997,6.153
43,Parasect,0.23509,140,0.690,121,0.747
44,Kingler,0.23042,125,0.616,91,0.562
45,Machamp,0.21689,565,2.783,417,2.573
46,Electabuzz,0.21280,244,1.202,208,1.284
47,Raticate,0.20712,83,0.409,65,0.401
48,Pinsir,0.17019,85,0.419,66,0.407
49,Tentacruel,0.14996,210,1.034,161,0.994
50,Kabutops,0.14584,165,0.813,131,0.808
51,Pikachu,0.13737,569,2.803,495,3.055
52,Scyther,0.11131,229,1.128,172,1.061
53,Aerodactyl,0.10915,429,2.113,309,1.907
54,Pidgeot,0.08828,518,2.552,394,2.431
55,Vaporeon,0.08294,350,1.724,256,1.580
56,Dragonair,0.06959,93,0.458,58,0.358
57,Dratini,0.06309,30,0.148,28,0.173
58,Rapidash,0.05745,153,0.754,118,0.728
59,Venomoth,0.05733,98,0.483,77,0.475
60,Tangela,0.05202,94,0.463,84,0.518
61,Mr. Mime,0.05041,66,0.325,49,0.302
62,Weezing,0.04641,124,0.611,103,0.636
63,Eevee,0.04517,33,0.163,28,0.173
64,Magikarp,0.04173,18,0.089,17,0.105
65,Omastar,0.04147,115,0.567,81,0.500
66,Primeape,0.03750,128,0.631,95,0.586
67,Farfetch'd,0.03261,42,0.207,31,0.191
68,Lickitung,0.03176,70,0.345,57,0.352
69,Ditto,0.02820,252,1.241,193,1.191
70,Butterfree,0.02791,149,0.734,109,0.673
71,Muk,0.02458,157,0.773,120,0.741
72,Seadra,0.02395,82,0.404,61,0.376
73,Onix,0.02113,165,0.813,122,0.753
74,Porygon,0.02041,109,0.537,81,0.500
75,Kadabra,0.01906,61,0.300,47,0.290
76,Magneton,0.01842,148,0.729,124,0.765
77,Arbok,0.01613,128,0.631,102,0.629
78,Hitmonchan,0.01434,123,0.606,81,0.500
79,Marowak,0.01221,143,0.704,110,0.679
80,Vileplume,0.01200,127,0.626,105,0.648
81,Haunter,0.01177,65,0.320,56,0.346
82,Gastly,0.00990,12,0.059,10,0.062
83,Magmar,0.00959,90,0.443,70,0.432
84,Golbat,0.00588,57,0.281,43,0.265
85,Dewgong,0.00422,82,0.404,67,0.413
86,Exeggcute,0.00398,10,0.049,8,0.049
87,Bulbasaur,0.00327,96,0.473,68,0.420
88,Graveler,0.00311,32,0.158,29,0.179
89,Meowth,0.00280,22,0.108,14,0.086
90,Rhyhorn,0.00246,22,0.108,18,0.111
91,Gloom,0.00241,15,0.074,10,0.062
92,Staryu,0.00210,17,0.084,16,0.099
93,Fearow,0.00187,51,0.251,38,0.235
94,Squirtle,0.00148,78,0.384,59,0.364
95,Goldeen,0.00145,5,0.025,4,0.025
96,Drowzee,0.00114,6,0.030,6,0.037
97,Charmeleon,0.00069,22,0.108,14,0.086
98,Rattata,0.00059,13,0.064,12,0.074
99,Weedle,0.00057,11,0.054,8,0.049
100,Vulpix,0.00053,9,0.044,7,0.043
101,Weepinbell,0.00035,7,0.034,7,0.043
102,Charmander,0.00019,24,0.118,21,0.130
103,Jigglypuff,0.00016,18,0.089,14,0.086
104,Seaking,0.00014,9,0.044,8,0.049
105,Voltorb,0.00014,11,0.054,10,0.062
106,Pidgey,0.00013,5,0.025,4,0.025
107,Pidgeotto,0.00012,24,0.118,21,0.130
108,Magnemite,0.00010,6,0.030,5,0.031
109,Ivysaur,0.00009,31,0.153,28,0.173
110,Abra,0.00006,9,0.044,8,0.049
111,Koffing,0.00005,3,0.015,3,0.019
112,Psyduck,0.00005,18,0.089,14,0.086
113,Geodude,0.00003,12,0.059,12,0.074
114,Omanyte,0.00002,5,0.025,3,0.019
115,Wartortle,0.00000,26,0.128,22,0.136
116,Horsea,0.00000,11,0.054,10,0.062
117,NidoranM,0.00000,2,0.010,2,0.012
118,Poliwag,0.00000,3,0.015,3,0.019
119,Krabby,0.00000,11,0.054,10,0.062
120,Zubat,0.00000,7,0.034,7,0.043
121,Nidorino,0.00000,5,0.025,5,0.031
122,Slowpoke,0.00000,5,0.025,4,0.025
123,Seel,0.00000,6,0.030,5,0.031
124,Clefairy,0.00000,4,0.020,3,0.019
125,Kabuto,0.00000,4,0.020,4,0.025
126,Cubone,0.00000,5,0.025,5,0.031
127,Nidorina,0.00000,3,0.015,3,0.019
128,Venonat,0.00000,2,0.010,2,0.012
129,Growlithe,0.00000,11,0.054,8,0.049
130,Ponyta,0.00000,4,0.020,4,0.025
131,Oddish,0.00000,1,0.005,1,0.006
132,Caterpie,0.00000,7,0.034,7,0.043
133,Paras,0.00000,2,0.010,2,0.012
134,Shellder,0.00000,1,0.005,1,0.006
135,Mankey,0.00000,2,0.010,2,0.012
136,NidoranF,0.00000,1,0.005,1,0.006
137,Bellsprout,0.00000,2,0.010,1,0.006
138,Spearow,0.00000,1,0.005,1,0.006
139,Ekans,0.00000,5,0.025,4,0.025
140,Metapod,0.00000,6,0.030,5,0.031
141,Diglett,0.00000,4,0.020,4,0.025
142,Machoke,0.00000,7,0.034,6,0.037
143,Sandshrew,0.00000,1,0.005,1,0.006
144,Poliwhirl,0.00000,5,0.025,4,0.025
145,Machop,0.00000,2,0.010,2,0.012
146,Kakuna,0.00000,2,0.010,2,0.012
