 Total battles: 79370
 Avg. weight/team: 0.037
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Jolteon,12.61125,20120,12.675,7346,14.242
2,Alakazam,11.20793,17910,11.283,6156,11.935
3,Mewtwo,11.09281,17567,11.067,5937,11.510
4,Mew,10.92991,17560,11.062,5954,11.543
5,Chansey,10.91654,16729,10.539,5794,11.233
6,Jynx,10.33694,16674,10.504,5422,10.512
7,Snorlax,10.33692,16548,10.425,5735,11.118
8,Tauros,10.24365,16558,10.431,5795,11.235
9,Gengar,9.19802,14004,8.822,4756,9.220
10,Golem,8.11092,12274,7.732,3627,7.032
11,Rhydon,8.05437,12749,8.031,3783,7.334
12,Lapras,8.00201,11845,7.462,3556,6.894
13,Zapdos,7.73812,12683,7.990,3812,7.390
14,Cloyster,7.70631,11966,7.538,3581,6.942
15,Exeggutor,7.26757,11321,7.132,3163,6.132
16,Pinsir,7.06831,11111,6.999,3955,7.668
17,Magneton,6.69261,10202,6.427,3487,6.760
18,Electabuzz,6.64353,10390,6.545,3559,6.900
19,Raichu,6.59395,10320,6.501,3454,6.696
20,Electrode,6.44476,10313,6.497,3416,6.623
21,Slowbro,6.39585,9739,6.135,2608,5.056
22,Hypno,6.24634,9950,6.268,3323,6.442
23,Kadabra,6.23021,10027,6.317,3230,6.262
24,Mr. Mime,6.16811,9851,6.206,3215,6.233
25,Rapidash,6.12555,9534,6.006,3116,6.041
26,Starmie,6.09635,9688,6.103,2571,4.984
27,Primeape,6.09219,9223,5.810,2898,5.618
28,Machamp,6.03124,9212,5.803,2947,5.713
29,Ninetales,5.97731,9425,5.937,3006,5.828
30,Persian,5.85669,8915,5.616,2979,5.775
31,Hitmonlee,5.80537,9264,5.836,2915,5.651
32,Arcanine,5.79534,9412,5.929,3078,5.967
33,Hitmonchan,5.74379,9342,5.885,3029,5.872
34,Magmar,5.70604,9419,5.934,3141,6.089
35,Wigglytuff,5.69057,8868,5.586,2895,5.613
36,Charmeleon,5.62617,8518,5.366,2751,5.333
37,Clefable,5.61126,8869,5.587,2864,5.552
38,Flareon,5.58632,9322,5.872,3023,5.861
39,Raticate,5.51814,8950,5.638,2952,5.723
40,Kangaskhan,5.47095,8871,5.588,2952,5.723
41,Lickitung,5.36722,8907,5.611,2925,5.671
42,Porygon,5.27973,8913,5.615,2982,5.781
43,Machoke,5.01502,8261,5.204,2492,4.831
44,Tangela,4.95189,7580,4.775,2216,4.296
45,Dragonair,4.92490,7370,4.643,2078,4.029
46,Dugtrio,4.82115,7248,4.566,2194,4.254
47,Marowak,4.75182,7281,4.587,2237,4.337
48,Beedrill,4.67542,7006,4.414,2176,4.219
49,Arbok,4.67108,7335,4.621,2262,4.385
50,Weezing,4.63795,7132,4.493,2210,4.285
51,Muk,4.62100,7232,4.556,2259,4.380
52,Sandslash,4.61887,7371,4.643,2209,4.283
53,Venomoth,4.56791,7018,4.421,2115,4.100
