 Total battles: 144
 Avg. weight/team: 0.108
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Milotic,79.29355,80,27.778,72,29.917
2,Magneton,59.88742,136,47.222,96,39.889
3,Metagross,55.65286,143,49.653,120,49.861
4,Gyarados,53.98250,70,24.306,60,24.931
5,Regice,44.55317,70,24.306,60,24.931
6,Slaking,42.99539,29,10.069,18,7.479
7,Weezing,38.55700,60,20.833,49,20.360
8,Dusclops,35.50507,56,19.444,46,19.114
9,Starmie,34.71409,37,12.847,32,13.296
10,Registeel,32.82768,20,6.944,16,6.648
11,Glalie,32.82768,17,5.903,17,7.064
12,Swampert,13.14565,104,36.111,96,39.889
13,Salamence,12.25468,128,44.444,112,46.537
14,Skarmory,8.19229,84,29.167,78,32.410
15,Ludicolo,7.60077,51,17.708,46,19.114
16,Swellow,7.07413,18,6.250,14,5.817
17,Gardevoir,5.81646,38,13.194,29,12.050
18,Rhydon,5.01066,33,11.458,30,12.465
19,Blaziken,4.60943,76,26.389,63,26.177
20,Alakazam,4.36261,68,23.611,52,21.607
21,Flygon,3.87868,28,9.722,25,10.388
22,Sceptile,2.85768,58,20.139,53,22.022
23,Ninjask,2.85768,38,13.194,34,14.127
24,Donphan,2.56858,14,4.861,13,5.402
25,Cradily,1.32743,16,5.556,12,4.986
26,Crobat,1.21529,21,7.292,16,6.648
27,Claydol,1.15499,29,10.069,28,11.634
28,Absol,1.13537,10,3.472,10,4.155
29,Solrock,0.97582,9,3.125,4,1.662
30,Linoone,0.87874,5,1.736,5,2.078
31,Lanturn,0.79098,13,4.514,10,4.155
32,Grumpig,0.64956,9,3.125,8,3.324
33,Dodrio,0.42241,7,2.431,4,1.662
34,Snorlax,0.10593,5,1.736,5,2.078
35,Marowak,0.10593,5,1.736,3,1.247
36,Steelix,0.10593,5,1.736,4,1.662
37,Zangoose,0.10593,8,2.778,6,2.493
38,Golem,0.00000,2,0.694,2,0.831
39,Wailord,0.00000,1,0.347,1,0.416
40,Cloyster,0.00000,1,0.347,1,0.416
41,Kadabra,0.00000,1,0.347,0,0.000
42,Manectric,0.00000,4,1.389,4,1.662
43,Raikou,0.00000,2,0.694,2,0.831
44,Regirock,0.00000,3,1.042,2,0.831
45,Muk,0.00000,1,0.347,0,0.000
46,Machamp,0.00000,2,0.694,2,0.831
47,Hariyama,0.00000,6,2.083,5,2.078
48,Cacturne,0.00000,1,0.347,1,0.416
49,Raichu,0.00000,5,1.736,4,1.662
50,Exploud,0.00000,1,0.347,1,0.416
51,Whiscash,0.00000,1,0.347,1,0.416
52,Pikachu,0.00000,3,1.042,2,0.831
53,Shiftry,0.00000,1,0.347,1,0.416
54,Aerodactyl,0.00000,1,0.347,1,0.416
55,Huntail,0.00000,1,0.347,1,0.416
56,Medicham,0.00000,3,1.042,3,1.247
57,Armaldo,0.00000,2,0.694,2,0.831
58,Seviper,0.00000,1,0.347,1,0.416
59,Gengar,0.00000,3,1.042,3,1.247
60,Vileplume,0.00000,4,1.389,4,1.662
61,Breloom,0.00000,10,3.472,10,4.155
62,Camerupt,0.00000,4,1.389,2,0.831
63,Sharpedo,0.00000,7,2.431,5,2.078
64,Shedinja,0.00000,1,0.347,0,0.000
65,Sableye,0.00000,3,1.042,3,1.247
66,Ninetales,0.00000,4,1.389,4,1.662
67,Noctowl,0.00000,1,0.347,1,0.416
68,Heracross,0.00000,24,8.333,18,7.479
69,Kingdra,0.00000,5,1.736,4,1.662
70,Aggron,0.00000,6,2.083,5,2.078
71,Roselia,0.00000,1,0.347,1,0.416
72,Blastoise,0.00000,1,0.347,1,0.416
