 Total battles: 361
 Avg. weight/team: 0.155
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Kyogre,70.16142,281,38.920,207,41.290
2,Latios,70.15881,225,31.163,124,24.734
3,Groudon,67.27358,261,36.150,178,35.505
4,Blissey,54.69299,157,21.745,103,20.545
5,Deoxys-Attack,39.45911,149,20.637,90,17.952
6,Mewtwo,33.74897,204,28.255,145,28.923
7,Rayquaza,32.28377,239,33.102,149,29.721
8,Skarmory,25.93973,40,5.540,31,6.184
9,Lugia,19.90589,156,21.607,84,16.755
10,Metagross,14.52443,151,20.914,93,18.551
11,Slaking,14.33329,40,5.540,35,6.981
12,Celebi,14.31268,34,4.709,26,5.186
13,Deoxys-Speed,12.36490,54,7.479,40,7.979
14,Forretress,11.40351,52,7.202,32,6.383
15,Latias,9.92724,100,13.850,63,12.566
16,Salamence,8.91720,77,10.665,58,11.569
17,Tyranitar,7.19248,54,7.479,37,7.380
18,Starmie,6.56021,34,4.709,31,6.184
19,Ludicolo,5.96058,22,3.047,14,2.793
20,Electrode,4.97051,14,1.939,9,1.795
21,Aerodactyl,4.95001,29,4.017,22,4.388
22,Swampert,4.85488,88,12.188,78,15.559
23,Sceptile,4.72038,79,10.942,62,12.367
24,Ninjask,4.01056,17,2.355,14,2.793
25,Blaziken,3.80477,88,12.188,58,11.569
26,Deoxys-Defense,3.77976,61,8.449,52,10.372
27,Milotic,3.63072,32,4.432,25,4.987
28,Venusaur,3.60557,23,3.186,16,3.191
29,Jolteon,3.50931,42,5.817,31,6.184
30,Ho-Oh,3.27751,99,13.712,72,14.362
31,Wobbuffet,2.81049,62,8.587,56,11.170
32,Snorlax,2.72219,47,6.510,44,8.777
33,Registeel,2.68266,8,1.108,8,1.596
34,Exeggutor,2.64828,15,2.078,12,2.394
35,Charizard,2.23683,63,8.726,45,8.976
36,Medicham,2.13153,15,2.078,9,1.795
37,Heracross,1.89619,21,2.909,16,3.191
38,Jirachi,1.78880,19,2.632,13,2.593
39,Vaporeon,1.73018,12,1.662,9,1.795
40,Crobat,1.53168,25,3.463,24,4.787
41,Cradily,1.44704,11,1.524,6,1.197
42,Mew,1.39030,49,6.787,30,5.984
43,Houndoom,1.25023,11,1.524,8,1.596
44,Raichu,1.22602,13,1.801,6,1.197
45,Gardevoir,1.18541,60,8.310,50,9.973
46,Manectric,1.15354,32,4.432,26,5.186
47,Walrein,1.15354,26,3.601,19,3.790
