 Total battles: 48
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Samurott,13.54167,13,13.542,0,0.000
2,Hydreigon,13.54167,13,13.542,0,0.000
3,Charizard,11.45833,11,11.458,0,0.000
4,Infernape,10.41667,10,10.417,0,0.000
5,Gliscor,10.41667,10,10.417,0,0.000
6,Volcarona,9.37500,9,9.375,0,0.000
7,Salamence,9.37500,9,9.375,0,0.000
8,Scizor,9.37500,9,9.375,0,0.000
9,Cresselia,8.33333,8,8.333,0,0.000
10,Lucario,8.33333,8,8.333,0,0.000
11,Chandelure,8.33333,8,8.333,0,0.000
12,Thundurus,7.29167,7,7.292,0,0.000
13,Metagross,7.29167,7,7.292,0,0.000
14,Amoonguss,7.29167,7,7.292,0,0.000
15,Alakazam,7.29167,7,7.292,0,0.000
16,Conkeldurr,7.29167,7,7.292,0,0.000
17,Gengar,7.29167,7,7.292,0,0.000
18,Haxorus,7.29167,7,7.292,0,0.000
19,Kyurem-Black,6.25000,6,6.250,0,0.000
20,Reuniclus,6.25000,6,6.250,0,0.000
21,Swampert,6.25000,6,6.250,0,0.000
22,Electivire,6.25000,6,6.250,0,0.000
23,Tyranitar,6.25000,6,6.250,0,0.000
24,Pikachu,6.25000,6,6.250,0,0.000
25,Zoroark,6.25000,6,6.250,0,0.000
26,Garchomp,5.20833,5,5.208,0,0.000
27,Bisharp,5.20833,5,5.208,0,0.000
28,Celebi,5.20833,5,5.208,0,0.000
29,Mismagius,5.20833,5,5.208,0,0.000
30,Gyarados,5.20833,5,5.208,0,0.000
31,Excadrill,5.20833,5,5.208,0,0.000
32,Ninjask,5.20833,5,5.208,0,0.000
33,Keldeo,5.20833,5,5.208,0,0.000
34,Galvantula,5.20833,5,5.208,0,0.000
35,Snorlax,4.16667,4,4.167,0,0.000
36,Raichu,4.16667,4,4.167,0,0.000
37,Emboar,4.16667,4,4.167,0,0.000
38,Blaziken,4.16667,4,4.167,0,0.000
39,Ferrothorn,4.16667,4,4.167,0,0.000
40,Scrafty,4.16667,4,4.167,0,0.000
41,Lapras,4.16667,4,4.167,0,0.000
42,Krookodile,4.16667,4,4.167,0,0.000
43,Blastoise,4.16667,4,4.167,0,0.000
44,Staraptor,4.16667,4,4.167,0,0.000
45,Chansey,4.16667,4,4.167,0,0.000
46,Skarmory,4.16667,4,4.167,0,0.000
47,Jolteon,4.16667,4,4.167,0,0.000
48,Rotom-Wash,4.16667,4,4.167,0,0.000
49,Dragonite,4.16667,4,4.167,0,0.000
50,Heatran,4.16667,4,4.167,0,0.000
51,Gardevoir,4.16667,4,4.167,0,0.000
52,Unfezant,4.16667,4,4.167,0,0.000
53,Tangrowth,4.16667,4,4.167,0,0.000
54,Shedinja,4.16667,4,4.167,0,0.000
55,Hitmontop,4.16667,4,4.167,0,0.000
56,Stoutland,3.12500,3,3.125,0,0.000
57,Uxie,3.12500,3,3.125,0,0.000
58,Machamp,3.12500,3,3.125,0,0.000
59,Latias,3.12500,3,3.125,0,0.000
60,Zangoose,3.12500,3,3.125,0,0.000
61,Meloetta,3.12500,3,3.125,0,0.000
62,Serperior,3.12500,3,3.125,0,0.000
63,Victini,3.12500,3,3.125,0,0.000
64,Venusaur,3.12500,3,3.125,0,0.000
65,Rotom-Heat,3.12500,3,3.125,0,0.000
66,Empoleon,3.12500,3,3.125,0,0.000
67,Toxicroak,3.12500,3,3.125,0,0.000
68,Terrakion,3.12500,3,3.125,0,0.000
69,Gastrodon,3.12500,3,3.125,0,0.000
70,Thundurus-Therian,3.12500,3,3.125,0,0.000
71,Latios,3.12500,3,3.125,0,0.000
72,Starmie,3.12500,3,3.125,0,0.000
73,Escavalier,3.12500,3,3.125,0,0.000
74,Houndoom,3.12500,3,3.125,0,0.000
75,Azelf,3.12500,3,3.125,0,0.000
76,Bronzong,2.08333,2,2.083,0,0.000
77,Archeops,2.08333,2,2.083,0,0.000
78,Emolga,2.08333,2,2.083,0,0.000
79,Wobbuffet,2.08333,2,2.083,0,0.000
80,Mew,2.08333,2,2.083,0,0.000
81,Exeggutor,2.08333,2,2.083,0,0.000
82,Ditto,2.08333,2,2.083,0,0.000
83,Buizel,2.08333,2,2.083,0,0.000
84,Landorus-Therian,2.08333,2,2.083,0,0.000
85,Mantine,2.08333,2,2.083,0,0.000
86,Jellicent,2.08333,2,2.083,0,0.000
87,Cofagrigus,2.08333,2,2.083,0,0.000
88,Tauros,2.08333,2,2.083,0,0.000
89,Raikou,2.08333,2,2.083,0,0.000
90,Marowak,2.08333,2,2.083,0,0.000
91,Crobat,2.08333,2,2.083,0,0.000
92,Dusknoir,2.08333,2,2.083,0,0.000
93,Blissey,2.08333,2,2.083,0,0.000
94,Kyurem,2.08333,2,2.083,0,0.000
