 Total battles: 1
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Clamperl,50.00000,1,50.000,0,0.000
2,Ferroseed,50.00000,1,50.000,1,60.000
3,Aipom,50.00000,1,50.000,1,60.000
4,Gastly,50.00000,1,50.000,1,60.000
5,Blitzle,50.00000,1,50.000,1,60.000
6,Axew,50.00000,1,50.000,1,60.000
7,Litwick,50.00000,1,50.000,1,60.000
8,Porygon,50.00000,1,50.000,1,60.000
9,Abra,50.00000,1,50.000,1,60.000
10,Munchlax,50.00000,1,50.000,1,60.000
11,Cranidos,50.00000,1,50.000,1,60.000
12,Taillow,50.00000,1,50.000,0,0.000
