 Total battles: 2
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Heatmor,50.00000,2,50.000,1,42.857
2,Floatzel,50.00000,2,50.000,0,0.000
3,Golem,25.00000,1,25.000,0,0.000
4,Banette,25.00000,1,25.000,1,42.857
5,Kadabra,25.00000,1,25.000,1,42.857
6,Fraxure,25.00000,1,25.000,1,42.857
7,Arbok,25.00000,1,25.000,1,42.857
8,Muk,25.00000,1,25.000,0,0.000
9,Shuckle,25.00000,1,25.000,1,42.857
10,Yanma,25.00000,1,25.000,1,42.857
11,Combusken,25.00000,1,25.000,1,42.857
12,Luxray,25.00000,1,25.000,0,0.000
13,Torterra,25.00000,1,25.000,0,0.000
14,Braviary,25.00000,1,25.000,0,0.000
15,Ludicolo,25.00000,1,25.000,0,0.000
16,Eelektross,25.00000,1,25.000,1,42.857
17,Gigalith,25.00000,1,25.000,1,42.857
18,Shelgon,25.00000,1,25.000,1,42.857
19,Shedinja,25.00000,1,25.000,1,42.857
20,Carracosta,25.00000,1,25.000,1,42.857
21,Ampharos,25.00000,1,25.000,0,0.000
22,Unfezant,25.00000,1,25.000,1,42.857
