 Total battles: 15
 Avg. weight/team: 0.594
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Blastoise,44.47161,9,30.000,6,29.268
2,Victini,42.12157,8,26.667,7,34.146
3,Flygon,38.59956,7,23.333,3,14.634
4,Zapdos,38.59956,7,23.333,7,34.146
5,Abomasnow,33.03028,6,20.000,4,19.512
6,Heracross,31.86273,7,23.333,4,19.512
7,Krookodile,17.89366,4,13.333,3,14.634
8,Escavalier,14.79763,6,20.000,3,14.634
9,Mew,13.26119,5,16.667,4,19.512
10,Electabuzz,11.21440,4,13.333,2,9.756
11,Ferroseed,11.21440,4,13.333,3,14.634
12,Seaking,11.21440,4,13.333,3,14.634
13,Castform,11.21440,4,13.333,3,14.634
14,Milotic,10.28559,3,10.000,2,9.756
15,Crobat,9.72728,3,10.000,1,4.878
16,Darmanitan,9.38528,4,13.333,4,19.512
17,Roserade,9.09129,2,6.667,1,4.878
18,Rhyperior,8.22783,3,10.000,3,14.634
19,Ambipom,7.70841,3,10.000,3,14.634
20,Eelektross,7.10524,3,10.000,1,4.878
21,Sableye,7.10524,3,10.000,2,9.756
22,Bronzong,7.03524,3,10.000,2,9.756
23,Weavile,6.83358,2,6.667,2,9.756
24,Mienshao,6.76358,2,6.667,1,4.878
25,Porygon2,6.19953,2,6.667,1,4.878
26,Arcanine,6.19953,2,6.667,1,4.878
27,Kingdra,5.93901,3,10.000,2,9.756
28,Torterra,5.93901,3,10.000,3,14.634
29,Umbreon,5.87779,2,6.667,0,0.000
30,Cofagrigus,5.80779,2,6.667,1,4.878
31,Leavanny,5.60720,2,6.667,1,4.878
32,Cobalion,5.56928,1,3.333,1,4.878
33,Mismagius,5.39676,2,6.667,1,4.878
34,Snorlax,4.73637,2,6.667,1,4.878
35,Bisharp,4.70582,2,6.667,1,4.878
36,Raikou,3.84949,1,3.333,1,4.878
37,Nidoking,3.84949,1,3.333,0,0.000
38,Manectric,3.58323,2,6.667,1,4.878
39,Aerodactyl,3.58323,2,6.667,1,4.878
40,Sawk,3.58323,2,6.667,1,4.878
41,Magmar,3.58323,2,6.667,1,4.878
42,Empoleon,3.58323,2,6.667,2,9.756
43,Porygon-Z,3.52201,1,3.333,0,0.000
44,Gligar,3.52201,1,3.333,1,4.878
45,Registeel,3.52201,1,3.333,1,4.878
46,Druddigon,3.52201,1,3.333,0,0.000
47,Machamp,3.52201,1,3.333,0,0.000
48,Swanna,3.52201,1,3.333,0,0.000
49,Slaking,3.52201,1,3.333,1,4.878
50,Cinccino,3.52201,1,3.333,0,0.000
51,Omastar,3.52201,1,3.333,1,4.878
52,Yanmega,3.52201,1,3.333,1,4.878
53,Unfezant,3.52201,1,3.333,0,0.000
54,Togekiss,3.31157,1,3.333,1,4.878
55,Durant,2.39425,1,3.333,1,4.878
56,Braviary,2.39425,1,3.333,1,4.878
57,Seismitoad,2.39425,1,3.333,1,4.878
58,Aggron,2.39425,1,3.333,1,4.878
59,Serperior,2.39425,1,3.333,1,4.878
60,Ampharos,2.39425,1,3.333,1,4.878
61,Tauros,2.38059,1,3.333,1,4.878
62,Bayleef,2.38059,1,3.333,1,4.878
63,Muk,2.38059,1,3.333,1,4.878
64,Charizard,2.38059,1,3.333,1,4.878
65,Houndoom,2.35578,1,3.333,0,0.000
66,Magneton,2.35578,1,3.333,0,0.000
67,Mr. Mime,2.35578,1,3.333,0,0.000
68,Gallade,2.35578,1,3.333,1,4.878
69,Xatu,2.35004,1,3.333,1,4.878
70,Clefable,2.35004,1,3.333,1,4.878
71,Sceptile,2.35004,1,3.333,1,4.878
72,Lapras,2.35004,1,3.333,1,4.878
73,Spiritomb,2.35004,1,3.333,1,4.878
74,Archeops,2.08519,1,3.333,1,4.878
75,Dewott,2.08519,1,3.333,1,4.878
76,Sigilyph,2.08519,1,3.333,0,0.000
77,Zangoose,2.08519,1,3.333,1,4.878
78,Kabuto,2.04680,1,3.333,1,4.878
79,Kricketune,2.04680,1,3.333,1,4.878
80,Krokorok,2.04680,1,3.333,1,4.878
81,Absol,2.04680,1,3.333,1,4.878
