 Total battles: 191864
 Avg. weight/team: 0.18
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Gyarados-Mega,26.65420,45375,11.523,14689,22.968
2,Kyurem-Black,20.49287,37957,9.639,12935,20.225
3,Charizard-Mega-X,12.01148,33325,8.463,12279,19.200
4,Tapu Koko,10.41895,20706,5.258,7021,10.978
5,Donphan,9.40726,14841,3.769,5327,8.329
6,Mimikyu,9.13127,34179,8.680,13144,20.552
7,Aegislash,8.64660,19134,4.859,6241,9.758
8,Magnezone,7.92791,12810,3.253,4583,7.166
9,Charizard-Mega-Y,7.25288,24101,6.120,8553,13.374
10,Porygon-Z,7.03791,21677,5.505,7755,12.126
11,Metagross-Mega,6.93188,16308,4.141,5400,8.443
12,Tapu Lele,6.26564,14864,3.775,4872,7.618
13,Jirachi,6.04449,16260,4.129,6378,9.973
14,Durant,5.42887,7947,2.018,2595,4.058
15,Golem,5.29159,7061,1.793,2473,3.867
16,Dragonite,5.17562,15629,3.969,5587,8.736
17,Venusaur-Mega,5.08786,14465,3.673,4470,6.989
18,Celesteela,5.08318,12326,3.130,3910,6.114
19,Crustle,4.76763,8854,2.248,3101,4.849
20,Kartana,4.60157,16779,4.261,5257,8.220
21,Greninja,3.93730,19842,5.039,6875,10.750
22,Snorlax,3.56428,10733,2.726,4295,6.716
23,Magearna,3.38889,9061,2.301,2830,4.425
24,Chansey,3.25504,7009,1.780,2370,3.706
25,Sawk,3.21919,6609,1.678,2522,3.943
26,Slowbro-Mega,3.06951,5982,1.519,1792,2.802
27,Pinsir-Mega,3.06572,7419,1.884,2292,3.584
28,Landorus-Therian,3.04018,5121,1.300,1798,2.811
29,Genesect,3.01281,6264,1.591,2308,3.609
30,Primarina,2.83367,8167,2.074,3764,5.885
31,Sableye-Mega,2.77131,8114,2.061,2887,4.514
32,Garchomp,2.71425,11517,2.925,3755,5.871
33,Pheromosa,2.66615,11659,2.961,3903,6.103
34,Buzzwole,2.20690,5140,1.305,1638,2.561
35,Meloetta,2.17920,3654,0.928,1420,2.220
36,Heatran,2.03461,4780,1.214,1588,2.483
37,Alakazam-Mega,2.00224,15739,3.997,5264,8.231
38,Blastoise-Mega,1.90350,6152,1.562,2062,3.224
39,Breloom,1.84764,7713,1.959,2236,3.496
40,Gengar-Mega,1.81074,10177,2.584,3715,5.809
41,Terrakion,1.78748,2642,0.671,780,1.220
42,Whimsicott,1.66498,7790,1.978,2890,4.519
43,Ferrothorn,1.58165,7531,1.912,2624,4.103
44,Hitmonlee,1.53782,3873,0.984,1498,2.342
45,Quagsire,1.40940,2045,0.519,816,1.276
46,Victini,1.35719,6441,1.636,2541,3.973
47,Latios,1.32753,4471,1.135,1372,2.145
48,Landorus,1.31449,1930,0.490,548,0.857
49,Deoxys-Defense,1.29744,3848,0.977,1437,2.247
50,Talonflame,1.25248,4494,1.141,1346,2.105
51,Haxorus,1.22985,6395,1.624,2421,3.785
52,Jumpluff,1.21072,3450,0.876,1257,1.965
53,Hoopa-Unbound,1.19192,4816,1.223,1831,2.863
54,Volcanion,1.16341,3933,0.999,1409,2.203
55,Tapu Bulu,1.07810,4124,1.047,1165,1.822
56,Nihilego,1.07611,2355,0.598,650,1.016
57,Excadrill,1.06510,5068,1.287,1558,2.436
58,Marowak-Alola,1.01836,6292,1.598,2024,3.165
59,Lucario-Mega,0.98870,10553,2.680,3873,6.056
60,Blissey,0.98503,3552,0.902,1155,1.806
61,Scizor-Mega,0.93108,6263,1.590,2135,3.338
62,Deoxys-Speed,0.90554,3238,0.822,1206,1.886
63,Volcarona,0.86357,3398,0.863,1042,1.629
64,Rhyperior,0.83713,2502,0.635,1025,1.603
65,Avalugg,0.83307,3107,0.789,1200,1.876
66,Gastrodon,0.81284,2199,0.558,798,1.248
67,Togekiss,0.78153,4730,1.201,1717,2.685
68,Xurkitree,0.77504,5224,1.327,1918,2.999
69,Aggron,0.77104,3656,0.928,1491,2.331
70,Swampert,0.73613,4024,1.022,1551,2.425
71,Tapu Fini,0.68878,2489,0.632,788,1.232
72,Mew,0.68065,3681,0.935,1582,2.474
73,Pyukumuku,0.67215,5476,1.391,2198,3.437
74,Smeargle,0.67060,8531,2.166,3623,5.665
75,Arcanine,0.62549,3681,0.935,1192,1.864
76,Conkeldurr,0.61089,1810,0.460,609,0.952
77,Cloyster,0.59924,4721,1.199,1843,2.882
78,Salazzle,0.58614,3891,0.988,1341,2.097
79,Umbreon,0.58485,3161,0.803,1198,1.873
80,Thundurus-Therian,0.56192,2252,0.572,811,1.268
81,Azumarill,0.52924,3497,0.888,1280,2.001
82,Slaking,0.51938,3417,0.868,1610,2.517
83,Keldeo,0.51104,1336,0.339,514,0.804
84,Araquanid,0.51056,3026,0.768,1182,1.848
85,Salamence,0.49624,4202,1.067,1381,2.159
86,Chandelure,0.48226,2811,0.714,763,1.193
87,Infernape,0.47653,2904,0.737,1005,1.571
88,Tyranitar,0.47040,3096,0.786,1030,1.611
89,Necrozma,0.46647,1419,0.360,533,0.833
90,Muk-Alola,0.46625,2462,0.625,763,1.193
91,Toxapex,0.44956,6180,1.569,1896,2.965
92,Togedemaru,0.42148,1716,0.436,710,1.110
93,Magnemite,0.41275,5898,1.498,2481,3.879
94,Gigalith,0.40726,1289,0.327,548,0.857
95,Weavile,0.38992,3443,0.874,1125,1.759
96,Entei,0.37976,1188,0.302,381,0.596
97,Carracosta,0.37771,1420,0.361,592,0.926
98,Medicham,0.36315,1733,0.440,590,0.923
99,Aron,0.35348,5747,1.459,2395,3.745
100,Rampardos,0.34670,1968,0.500,823,1.287
101,Cinccino,0.30643,3651,0.927,1384,2.164
102,Mudsdale,0.30471,1116,0.283,401,0.627
103,Darmanitan,0.28829,2570,0.653,930,1.454
104,Shuckle,0.28508,5208,1.323,2290,3.581
105,Greninja-Ash,0.27978,6672,1.694,2426,3.793
106,Bewear,0.27643,1414,0.359,527,0.824
107,Machamp,0.27047,4032,1.024,1503,2.350
108,Mamoswine,0.26799,1877,0.477,714,1.116
109,Vivillon,0.26428,1398,0.355,553,0.865
110,Serperior,0.26308,4812,1.222,1617,2.528
111,Zygarde,0.26168,1659,0.421,648,1.013
112,Minior,0.25887,3209,0.815,1297,2.028
113,Sylveon,0.25128,2266,0.575,799,1.249
114,Ambipom,0.25036,4386,1.114,1760,2.752
115,Gengar,0.24646,2898,0.736,1090,1.704
116,Suicune,0.24228,1946,0.494,519,0.812
117,Porygon2,0.23654,1958,0.497,700,1.095
118,Incineroar,0.23468,4093,1.039,1354,2.117
119,Ditto,0.23036,3769,0.957,1644,2.571
120,Staraptor,0.23028,2351,0.597,941,1.471
121,Golisopod,0.21900,2513,0.638,958,1.498
122,Hippowdon,0.21845,645,0.164,229,0.358
123,Golem-Alola,0.20948,1781,0.452,735,1.149
124,Relicanth,0.20811,615,0.156,272,0.425
125,Garchomp-Mega,0.20650,2517,0.639,885,1.384
126,Manaphy,0.18119,989,0.251,337,0.527
127,Gliscor,0.17307,3381,0.859,1075,1.681
128,Wobbuffet,0.16588,2061,0.523,763,1.193
129,Hawlucha,0.16532,1640,0.416,664,1.038
130,Lickilicky,0.15911,638,0.162,221,0.346
131,Typhlosion,0.15786,1509,0.383,575,0.899
132,Shedinja,0.15760,3135,0.796,1081,1.690
133,Barbaracle,0.15741,723,0.184,203,0.317
