 Total battles: 5914
 Avg. weight/team: 0.186
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Magearna,29.89755,1502,12.699,1147,13.496
2,Chansey,23.81737,1442,12.191,1055,12.414
3,Victini,17.70354,997,8.429,793,9.331
4,Golisopod,17.64929,1285,10.864,936,11.013
5,Chesnaught,17.02131,985,8.328,687,8.084
6,Tapu Fini,16.51254,768,6.493,606,7.131
7,Skarmory,15.92535,1420,12.005,1133,13.332
8,Alakazam-Mega,15.09145,1501,12.690,947,11.143
9,Hoopa-Unbound,14.57257,1256,10.619,822,9.672
10,Celesteela,13.95986,1000,8.455,739,8.695
11,Heatran,13.01957,1113,9.410,825,9.707
12,Zygarde,12.61735,861,7.279,611,7.189
13,Tapu Koko,10.91447,1078,9.114,843,9.919
14,Kartana,10.36844,1187,10.036,804,9.460
15,Weavile,9.89127,1429,12.082,1112,13.084
16,Zapdos,9.88831,703,5.944,540,6.354
17,Terrakion,9.81352,483,4.084,349,4.107
18,Gengar,9.78098,1283,10.847,917,10.790
19,Mew,9.34544,826,6.983,654,7.695
20,Volcarona,9.15213,1498,12.665,1003,11.802
21,Minior,9.07983,485,4.100,355,4.177
22,Entei,9.05269,799,6.755,577,6.789
23,Xurkitree,8.87841,1274,10.771,926,10.896
24,Suicune,8.43406,871,7.364,631,7.425
25,Noivern,8.39627,974,8.235,680,8.001
26,Manaphy,7.65667,663,5.605,479,5.636
27,Muk-Alola,7.64427,642,5.428,450,5.295
28,Ferrothorn,7.04403,949,8.023,766,9.013
29,Landorus-Therian,6.96989,630,5.326,502,5.907
30,Garchomp,6.87987,738,6.239,530,6.236
31,Hippowdon,6.03198,244,2.063,183,2.153
32,Latios,6.00359,503,4.253,335,3.942
33,Buzzwole,5.79505,480,4.058,348,4.095
34,Excadrill,5.50614,369,3.120,278,3.271
35,Blissey,5.35487,429,3.627,295,3.471
36,Keldeo,5.26712,331,2.798,248,2.918
37,Salamence,5.07454,330,2.790,238,2.800
38,Metagross-Mega,4.73363,515,4.354,378,4.448
39,Dugtrio,4.58291,266,2.249,191,2.247
40,Genesect,4.51815,683,5.774,488,5.742
41,Hydreigon,4.33853,211,1.784,158,1.859
42,Toxapex,4.28141,674,5.698,526,6.189
43,Arcanine,4.27134,352,2.976,267,3.142
44,Dhelmise,3.60950,209,1.767,169,1.989
45,Snorlax,3.49189,673,5.690,473,5.566
46,Marowak-Alola,3.29973,466,3.940,335,3.942
47,Gyarados,3.16862,519,4.388,362,4.259
48,Thundurus,3.16472,277,2.342,192,2.259
49,Nihilego,3.08153,375,3.170,263,3.095
50,Lucario,3.01632,675,5.707,455,5.354
51,Darmanitan,2.94518,338,2.858,247,2.906
52,Pikachu,2.93449,314,2.655,202,2.377
53,Mandibuzz,2.80725,183,1.547,129,1.518
54,Drampa,2.76323,286,2.418,209,2.459
55,Doublade,2.74392,289,2.443,209,2.459
56,Charizard-Mega-X,2.73862,471,3.982,325,3.824
57,Shuckle,2.72905,470,3.974,388,4.565
58,Conkeldurr,2.70256,192,1.623,150,1.765
59,Kommo-o,2.60861,336,2.841,227,2.671
