 Total battles: 4200
 Avg. weight/team: 0.022
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Magearna,37.44799,1381,16.440,1080,17.841
2,Alakazam-Mega,25.86766,1364,16.238,848,14.009
3,Hoopa-Unbound,22.82855,921,10.964,572,9.449
4,Ferrothorn,19.26653,799,9.512,666,11.002
5,Chansey,16.42588,829,9.869,558,9.218
6,Skarmory,15.78736,802,9.548,628,10.374
7,Minior,15.65710,258,3.071,205,3.387
8,Latios,14.77933,545,6.488,379,6.261
9,Xurkitree,14.55754,1030,12.262,741,12.241
10,Victini,13.51788,805,9.583,604,9.978
11,Zygarde,12.90950,757,9.012,578,9.548
12,Tapu Fini,12.68666,608,7.238,449,7.417
13,Kartana,12.58083,758,9.024,507,8.376
14,Dragonite,12.15160,993,11.821,693,11.448
15,Zapdos,11.92873,425,5.060,328,5.419
16,Kyurem-Black,10.97904,464,5.524,310,5.121
17,Volcarona,10.72599,940,11.190,624,10.308
18,Tapu Lele,10.23267,256,3.048,190,3.139
19,Garchomp,9.80655,718,8.548,563,9.301
20,Tapu Koko,9.69028,1019,12.131,786,12.985
21,Golisopod,9.68722,934,11.119,646,10.672
22,Blissey,9.12386,285,3.393,183,3.023
23,Manaphy,9.12221,671,7.988,502,8.293
24,Keldeo,8.53670,235,2.798,189,3.122
25,Mew,8.41344,624,7.429,471,7.781
26,Landorus-Therian,8.13189,389,4.631,302,4.989
27,Nihilego,7.94720,332,3.952,269,4.444
28,Terrakion,7.45904,420,5.000,323,5.336
29,Gengar,7.42504,871,10.369,594,9.813
30,Scizor,7.24661,334,3.976,253,4.180
31,Genesect,7.11203,414,4.929,318,5.253
32,Heatran,7.09535,689,8.202,518,8.557
33,Thundurus,7.09476,217,2.583,139,2.296
34,Celesteela,7.03392,823,9.798,593,9.796
35,Noivern,6.87445,738,8.786,552,9.119
36,Greninja,6.72167,137,1.631,111,1.834
37,Weavile,6.56925,855,10.179,652,10.771
38,Gliscor,6.38594,120,1.429,98,1.619
39,Muk-Alola,6.21955,401,4.774,294,4.857
40,Suicune,6.11813,351,4.179,258,4.262
41,Chesnaught,5.64893,479,5.702,342,5.650
42,Mandibuzz,5.64420,154,1.833,103,1.702
43,Lucario,5.18622,503,5.988,355,5.865
44,Dugtrio,4.91040,162,1.929,117,1.933
45,Tyranitar,4.42470,233,2.774,161,2.660
46,Buzzwole,4.33539,355,4.226,233,3.849
47,Alakazam,4.29380,261,3.107,147,2.428
48,Infernape,4.28515,180,2.143,136,2.247
49,Entei,3.91864,408,4.857,276,4.559
50,Celebi,3.47429,175,2.083,119,1.966
51,Smeargle,3.24112,216,2.571,186,3.073
52,Conkeldurr,3.17924,174,2.071,125,2.065
53,Metagross-Mega,3.11756,306,3.643,218,3.601
54,Hydreigon,2.58058,179,2.131,148,2.445
55,Breloom,2.54645,307,3.655,217,3.585
56,Primarina,2.51557,124,1.476,93,1.536
57,Scizor-Mega,2.40551,198,2.357,144,2.379
58,Avalugg,2.29926,75,0.893,49,0.809
59,Hippowdon,2.25527,129,1.536,84,1.388
60,Forretress,2.25420,271,3.226,237,3.915
61,Jynx,2.24651,38,0.452,23,0.380
62,Diancie,2.21169,199,2.369,132,2.181
63,Excadrill,2.19414,104,1.238,72,1.189
64,Vaporeon,2.15268,63,0.750,48,0.793
65,Gourgeist-Super,2.14659,23,0.274,21,0.347
66,Swampert,1.99455,319,3.798,232,3.833
67,Tapu Bulu,1.86345,149,1.774,105,1.735
68,Snorlax,1.83110,352,4.190,245,4.047
69,Chandelure,1.83057,309,3.679,201,3.320
70,Incineroar,1.82643,114,1.357,85,1.404
71,Porygon2,1.68580,114,1.357,79,1.305
72,Jirachi,1.55759,139,1.655,100,1.652
73,Volcanion,1.50872,153,1.821,112,1.850
74,Marowak-Alola,1.44208,298,3.548,231,3.816
75,Tentacruel,1.43505,79,0.940,57,0.942
76,Cobalion,1.34821,53,0.631,41,0.677
77,Umbreon,1.28650,233,2.774,160,2.643
78,Omastar,1.17586,16,0.190,9,0.149
79,Mamoswine,1.16740,234,2.786,178,2.941
80,Crobat,1.13098,188,2.238,128,2.115
81,Venusaur-Mega,1.11968,93,1.107,74,1.222
82,Shiinotic,0.98243,134,1.595,112,1.850
83,Darmanitan,0.91930,178,2.119,135,2.230
84,Gyarados-Mega,0.91411,169,2.012,115,1.900
85,Rotom-Heat,0.90270,19,0.226,18,0.297
86,Magnezone,0.85345,286,3.405,214,3.535
87,Doublade,0.79528,148,1.762,118,1.949
88,Gyarados,0.77752,244,2.905,181,2.990
89,Thundurus-Therian,0.76083,229,2.726,187,3.089
90,Rotom-Wash,0.74542,75,0.893,59,0.975
91,Bisharp,0.70853,329,3.917,232,3.833
92,Raikou,0.68070,241,2.869,170,2.808
93,Shuckle,0.67344,328,3.905,285,4.708
94,Kyurem,0.66177,70,0.833,43,0.710
95,Gastrodon,0.65358,86,1.024,57,0.942
96,Guzzlord,0.64193,156,1.857,114,1.883
97,Cresselia,0.62591,94,1.119,65,1.074
98,Sylveon,0.60836,64,0.762,36,0.595
99,Toxapex,0.57630,496,5.905,407,6.724
100,Ribombee,0.55441,74,0.881,54,0.892
101,Marowak,0.54422,182,2.167,121,1.999
102,Galvantula,0.53347,98,1.167,88,1.454
103,Type: Null,0.52486,43,0.512,37,0.611
104,Toxicroak,0.50732,28,0.333,15,0.248
105,Arcanine,0.48721,231,2.750,166,2.742
106,Dhelmise,0.48677,61,0.726,42,0.694
107,Azelf,0.48478,76,0.905,68,1.123
108,Talonflame,0.48282,58,0.690,39,0.644
109,Latias,0.46314,142,1.690,110,1.817
110,Mantine,0.43444,184,2.190,135,2.230
111,Empoleon,0.36407,87,1.036,62,1.024
112,Moltres,0.36377,106,1.262,70,1.156
113,Slowbro,0.35894,99,1.179,57,0.942
114,Escavalier,0.35818,65,0.774,47,0.776
115,Salamence,0.35663,74,0.881,52,0.859
116,Meloetta,0.35502,82,0.976,64,1.057
117,Garchomp-Mega,0.35392,56,0.667,45,0.743
118,Gardevoir,0.32733,179,2.131,136,2.247
119,Emboar,0.31269,68,0.810,47,0.776
120,Aromatisse,0.30667,12,0.143,11,0.182
121,Jolteon,0.29740,153,1.821,118,1.949
122,Gligar,0.27755,51,0.607,38,0.628
123,Gorebyss,0.27558,7,0.083,6,0.099
124,Haxorus,0.25922,106,1.262,68,1.123
125,Tsareena,0.24930,97,1.155,82,1.355
126,Gigalith,0.24871,42,0.500,34,0.562
127,Accelgor,0.23946,71,0.845,54,0.892
128,Porygon-Z,0.23937,358,4.262,232,3.833
129,Decidueye,0.23392,136,1.619,94,1.553
130,Cofagrigus,0.21883,69,0.821,55,0.909
131,Vikavolt,0.20191,62,0.738,45,0.743
132,Sableye-Mega,0.19533,37,0.440,24,0.396
133,Clefable,0.17894,88,1.048,64,1.057
134,Tornadus,0.17808,106,1.262,85,1.404
135,Greninja-Ash,0.17289,149,1.774,115,1.900
136,Stunfisk,0.16840,50,0.595,38,0.628
137,Roserade,0.16511,57,0.679,42,0.694
138,Rampardos,0.16418,109,1.298,80,1.322
139,Florges,0.16267,56,0.667,45,0.743
140,Beheeyem,0.15468,39,0.464,33,0.545
141,Rhyperior,0.15304,74,0.881,39,0.644
142,Charizard-Mega-Y,0.15182,157,1.869,109,1.801
143,Mienshao,0.15001,16,0.190,9,0.149
144,Scrafty,0.13659,37,0.440,29,0.479
145,Dugtrio-Alola,0.12592,43,0.512,29,0.479
146,Shaymin,0.12446,50,0.595,37,0.611
147,Salazzle,0.12154,132,1.571,101,1.669
148,Uxie,0.11902,31,0.369,25,0.413
149,Tangrowth,0.11870,36,0.429,33,0.545
150,Scolipede,0.11265,35,0.417,30,0.496
151,Pinsir-Mega,0.11043,50,0.595,25,0.413
152,Necrozma,0.10935,47,0.560,39,0.644
153,Zoroark,0.10732,42,0.500,27,0.446
154,Milotic,0.10732,44,0.524,30,0.496
155,Regice,0.10622,51,0.607,38,0.628
156,Kommo-o,0.10527,132,1.571,81,1.338
157,Swellow,0.10489,23,0.274,17,0.281
158,Seismitoad,0.09728,28,0.333,10,0.165
159,Klinklang,0.09256,48,0.571,37,0.611
160,Typhlosion,0.09198,131,1.560,90,1.487
161,Drapion,0.09115,76,0.905,56,0.925
162,Mesprit,0.08967,28,0.333,15,0.248
163,Bewear,0.08752,49,0.583,34,0.562
164,Pangoro,0.08344,111,1.321,78,1.289
165,Camerupt,0.07428,64,0.762,47,0.776
166,Houndoom,0.07404,29,0.345,22,0.363
167,Turtonator,0.07305,71,0.845,60,0.991
168,Togekiss,0.06981,82,0.976,65,1.074
169,Electivire,0.06743,78,0.929,62,1.024
170,Gallade,0.06647,78,0.929,55,0.909
171,Jellicent,0.06543,55,0.655,36,0.595
172,Kingdra,0.06436,41,0.488,28,0.463
173,Sceptile,0.06430,43,0.512,27,0.446
174,Throh,0.06304,52,0.619,42,0.694
175,Regirock,0.06215,50,0.595,42,0.694
176,Aerodactyl,0.06188,58,0.690,38,0.628
177,Tornadus-Therian,0.06151,45,0.536,38,0.628
178,Zygarde-10,0.06134,74,0.881,63,1.041
179,Ditto,0.05888,35,0.417,29,0.479
180,Donphan,0.05369,22,0.262,19,0.314
181,Wobbuffet,0.05327,32,0.381,27,0.446
182,Registeel,0.05118,58,0.690,42,0.694
183,Ludicolo,0.04895,15,0.179,9,0.149
184,Ampharos,0.04675,43,0.512,34,0.562
185,Spiritomb,0.04599,47,0.560,33,0.545
186,Starmie,0.04431,117,1.393,80,1.322
