 Total battles: 6
 Avg. weight/team: 1.333
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Toxapex,43.75000,7,43.750,0,0.000
2,Mimikyu,37.50000,6,37.500,3,69.231
3,Weavile,25.00000,4,25.000,0,0.000
4,Raichu-Alola,25.00000,4,25.000,1,23.077
5,Silvally-Dragon,25.00000,4,25.000,1,23.077
6,Xurkitree,25.00000,4,25.000,2,46.154
7,Garchomp,25.00000,4,25.000,1,23.077
8,Primarina,25.00000,4,25.000,2,46.154
9,Tapu Koko,18.75000,3,18.750,0,0.000
10,Exeggutor-Alola,18.75000,3,18.750,0,0.000
11,Toucannon,18.75000,3,18.750,0,0.000
12,Minior,18.75000,3,18.750,1,23.077
13,Buzzwole,18.75000,3,18.750,0,0.000
14,Decidueye,18.75000,3,18.750,0,0.000
15,Ninetales-Alola,12.50000,2,12.500,2,46.154
16,Incineroar,12.50000,2,12.500,1,23.077
17,Mudsdale,12.50000,2,12.500,1,23.077
18,Golem-Alola,12.50000,2,12.500,1,23.077
19,Turtonator,12.50000,2,12.500,0,0.000
20,Muk-Alola,12.50000,2,12.500,0,0.000
21,Kommo-o,12.50000,2,12.500,1,23.077
22,Marowak-Alola,12.50000,2,12.500,0,0.000
23,Bewear,12.50000,2,12.500,0,0.000
24,Skarmory,12.50000,2,12.500,1,23.077
25,Togedemaru,12.50000,2,12.500,0,0.000
26,Wailord,6.25000,1,6.250,0,0.000
27,Guzzlord,6.25000,1,6.250,1,23.077
28,Lycanroc-Midnight,6.25000,1,6.250,0,0.000
29,Eevee,6.25000,1,6.250,0,0.000
30,Grimer-Alola,6.25000,1,6.250,1,23.077
31,Drampa,6.25000,1,6.250,0,0.000
32,Komala,6.25000,1,6.250,1,23.077
33,Persian-Alola,6.25000,1,6.250,1,23.077
34,Dhelmise,6.25000,1,6.250,1,23.077
35,Vikavolt,6.25000,1,6.250,0,0.000
36,Gengar,6.25000,1,6.250,1,23.077
37,Kartana,6.25000,1,6.250,1,23.077
38,Rampardos,6.25000,1,6.250,1,23.077
39,Tapu Fini,6.25000,1,6.250,0,0.000
40,Shiinotic,6.25000,1,6.250,0,0.000
41,Umbreon,6.25000,1,6.250,0,0.000
42,Graveler-Alola,6.25000,1,6.250,0,0.000
43,Tsareena,6.25000,1,6.250,0,0.000
44,Magnezone,6.25000,1,6.250,0,0.000
