 Total battles: 458934
 Avg. weight/team: 0.031
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Rayquaza-Mega,54.42646,135559,14.769,82652,14.663
2,Arceus,48.24152,65004,7.082,34433,6.109
3,Groudon-Primal,40.13109,116140,12.653,80118,14.213
4,Xerneas,27.30253,79907,8.706,48287,8.566
5,Arceus-Ghost,26.66862,24694,2.690,15358,2.725
6,Yveltal,24.03597,39430,4.296,25488,4.522
7,Deoxys-Attack,19.38707,32821,3.576,17302,3.069
8,Arceus-Steel,18.43400,16922,1.844,10743,1.906
9,Arceus-Fairy,16.92768,19063,2.077,12421,2.204
10,Kyogre-Primal,16.23723,84478,9.204,51498,9.136
11,Arceus-Ground,14.14578,9645,1.051,5765,1.023
12,Ho-Oh,11.29729,19532,2.128,12866,2.283
13,Lunala,10.40048,43841,4.776,26007,4.614
14,Lugia,10.15752,34211,3.727,19846,3.521
15,Arceus-Water,9.28797,8956,0.976,5838,1.036
16,Smeargle,8.82486,73711,8.031,46762,8.296
17,Ferrothorn,8.77422,33534,3.653,25158,4.463
18,Gengar-Mega,8.62549,47375,5.161,30191,5.356
19,Zygarde,8.56986,55711,6.070,33982,6.029
20,Deoxys-Speed,7.16890,15499,1.689,11925,2.116
21,Ditto,6.59015,40670,4.431,15485,2.747
22,Mewtwo,5.77952,37299,4.064,22013,3.905
23,Arceus-Dark,5.56676,7300,0.795,4470,0.793
24,Magearna,5.37424,17996,1.961,11246,1.995
25,Tapu Lele,4.81146,17727,1.931,11149,1.978
26,Aegislash,4.27083,63871,6.959,39491,7.006
27,Darkrai,4.26479,53067,5.782,31916,5.662
28,Solgaleo,4.10284,34926,3.805,20797,3.690
29,Giratina,4.01262,9250,1.008,5754,1.021
30,Arceus-Rock,3.74249,2492,0.271,1654,0.293
31,Chansey,3.65273,20988,2.287,12378,2.196
32,Kyogre,3.45138,8595,0.936,5306,0.941
33,Giratina-Origin,3.35771,21891,2.385,13442,2.385
34,Clefable,3.04859,19998,2.179,11698,2.075
35,Sableye-Mega,2.95446,20857,2.272,14678,2.604
36,Tyranitar,2.86404,28280,3.081,19091,3.387
37,Celesteela,2.85219,25546,2.783,15839,2.810
38,Espeon,2.74685,32263,3.515,19823,3.517
39,Kartana,2.74309,38914,4.240,22735,4.033
40,Skarmory,2.58495,19616,2.137,15142,2.686
41,Mimikyu,2.55088,76520,8.337,48484,8.601
42,Scolipede,2.50423,27870,3.036,20676,3.668
43,Shaymin-Sky,2.36911,20748,2.260,11904,2.112
44,Blaziken,2.36396,48039,5.234,32654,5.793
45,Salamence-Mega,2.34788,33764,3.679,20893,3.707
46,Greninja-Ash,2.28700,94891,10.338,62969,11.171
47,Lucario-Mega,2.24198,50216,5.471,32646,5.792
48,Dialga,2.07838,20161,2.197,12915,2.291
49,Pheromosa,2.07681,18891,2.058,11329,2.010
50,Zekrom,2.07282,16129,1.757,10130,1.797
51,Shuckle,2.06585,24536,2.673,15382,2.729
52,Klefki,2.01324,11518,1.255,7212,1.279
53,Genesect,1.95518,16849,1.836,10108,1.793
54,Arceus-Poison,1.93851,4548,0.495,2841,0.504
55,Excadrill,1.89437,16782,1.828,10729,1.903
56,Kyurem-White,1.87451,12620,1.375,7417,1.316
57,Tapu Koko,1.70447,26493,2.886,17470,3.099
58,Toxapex,1.70439,44891,4.891,30074,5.335
59,Blissey,1.66546,17401,1.896,9870,1.751
60,Whimsicott,1.65030,11461,1.249,7882,1.398
61,Kangaskhan-Mega,1.56768,30125,3.282,19922,3.534
62,Landorus-Therian,1.54774,11245,1.225,7677,1.362
63,Greninja,1.51377,41030,4.470,26681,4.733
64,Garchomp,1.38716,46491,5.065,30084,5.337
65,Quagsire,1.29232,6488,0.707,4112,0.729
66,Pyukumuku,1.27364,13800,1.503,7268,1.289
67,Metagross-Mega,1.27184,33173,3.614,21344,3.787
68,Eevee,1.26564,36876,4.018,29733,5.275
69,Drifblim,1.26070,18281,1.992,13834,2.454
70,Tentacruel,1.23546,5523,0.602,3761,0.667
71,Arceus-Grass,1.23136,2961,0.323,1743,0.309
72,Jirachi,1.21526,13415,1.462,7507,1.332
73,Cloyster,1.16895,28226,3.075,18140,3.218
74,Muk-Alola,1.13206,22108,2.409,14394,2.554
75,Groudon,1.09123,3324,0.362,2252,0.400
76,Scizor-Mega,1.05433,22781,2.482,14700,2.608
77,Dragonite,1.03536,40280,4.388,24941,4.425
78,Gliscor,0.96402,28933,3.152,18925,3.357
79,Tapu Fini,0.95017,10837,1.181,6890,1.222
80,Xurkitree,0.92773,18776,2.046,11165,1.981
81,Mew,0.84361,25158,2.741,12501,2.218
82,Weavile,0.82708,21134,2.303,14610,2.592
83,Arceus-Electric,0.81602,5871,0.640,3450,0.612
84,Breloom,0.79206,23042,2.510,14258,2.529
85,Umbreon,0.77763,23969,2.611,14681,2.605
86,Dugtrio,0.76861,10488,1.143,6820,1.210
87,Charizard-Mega-X,0.74660,52532,5.723,34640,6.145
88,Serperior,0.73328,33111,3.607,19527,3.464
89,Ninetales-Alola,0.73084,25069,2.731,16675,2.958
90,Thundurus,0.72582,3402,0.371,2278,0.404
91,Arceus-Fire,0.72049,5155,0.562,3164,0.561
92,Vaporeon,0.71338,14251,1.553,9008,1.598
93,Nihilego,0.71318,12455,1.357,9120,1.618
94,Sylveon,0.71038,21714,2.366,12238,2.171
95,Heatran,0.69725,11631,1.267,7493,1.329
96,Togekiss,0.68003,22492,2.450,13865,2.460
97,Volcarona,0.65773,24331,2.651,14605,2.591
98,Palkia,0.64853,11125,1.212,6646,1.179
99,Marowak-Alola,0.64137,28059,3.057,17939,3.183
