 Total battles: 64845
 Avg. weight/team: 0.567
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Rayquaza-Mega,33.29896,36889,28.444,20153,27.049
2,Mewtwo-Mega-Y,25.92387,26880,20.726,15947,21.404
3,Chansey,25.50674,23324,17.984,13913,18.674
4,Groudon-Primal,24.06253,23911,18.437,14476,19.429
5,Gengar-Mega,23.76149,25036,19.304,14581,19.570
6,Zygarde-Complete,19.86656,20686,15.950,12934,17.360
7,Kyogre-Primal,19.26904,20463,15.778,11816,15.859
8,Mewtwo-Mega-X,19.09264,21321,16.440,11593,15.560
9,Shedinja,16.82168,21403,16.503,13513,18.137
10,Blissey,14.81623,15822,12.200,8806,11.819
11,Greninja-Ash,14.61024,19701,15.191,11867,15.928
12,Deoxys-Speed,13.94979,15717,12.119,11240,15.086
13,Giratina,13.92000,12549,9.676,8663,11.627
14,Deoxys-Attack,13.13294,13368,10.308,7646,10.262
15,Diancie-Mega,10.58876,10242,7.897,6680,8.966
16,Regigigas,10.40911,10446,8.055,6348,8.520
17,Kyurem-Black,7.88438,7479,5.767,5048,6.775
18,Yveltal,7.47189,7785,6.003,4851,6.511
19,Registeel,6.25679,5461,4.211,3954,5.307
20,Arceus,6.15227,7682,5.923,4391,5.893
21,Kartana,6.09499,6677,5.148,4040,5.422
22,Shuckle,5.96830,8633,6.657,5599,7.515
23,Pheromosa,5.87841,5758,4.440,3765,5.053
24,Arceus-Ghost,5.38967,4976,3.837,2962,3.976
25,Tyranitar-Mega,5.38854,5487,4.231,3409,4.575
26,Slaking,5.20320,5877,4.532,3315,4.449
27,Aegislash,5.17989,6709,5.173,4289,5.757
28,Solgaleo,5.12891,5974,4.606,3889,5.220
29,Dialga,4.86267,5313,4.097,3463,4.648
30,Scizor-Mega,4.64522,5140,3.963,3056,4.102
31,Lugia,4.33143,5158,3.977,3147,4.224
32,Gyarados-Mega,4.21017,4487,3.460,2827,3.794
33,Audino-Mega,3.97794,3943,3.040,2560,3.436
34,Sceptile-Mega,3.90986,6517,5.025,3933,5.279
35,Alakazam-Mega,3.71573,4953,3.819,2766,3.712
36,Lucario-Mega,3.66484,6718,5.180,3954,5.307
37,Aggron-Mega,3.58432,4491,3.463,2867,3.848
38,Deoxys-Defense,3.56558,5157,3.976,3296,4.424
39,Xerneas,3.46057,4902,3.780,2901,3.894
40,Salamence-Mega,3.40908,5304,4.090,2947,3.955
41,Kyurem-White,3.37903,3981,3.070,2292,3.076
42,Marshadow,3.35858,5227,4.030,3077,4.130
43,Heracross-Mega,3.24024,3357,2.588,2081,2.793
44,Metagross-Mega,3.12158,4670,3.601,2722,3.653
45,Aerodactyl-Mega,3.03880,3255,2.510,2116,2.840
46,Zekrom,2.85625,3393,2.616,1978,2.655
47,Darkrai,2.73280,4752,3.664,3085,4.141
48,Lunala,2.64336,4250,3.277,2416,3.243
49,Steelix-Mega,2.51403,2844,2.193,1815,2.436
50,Celesteela,2.49016,2838,2.188,1833,2.460
51,Guzzlord,2.46278,2720,2.097,1814,2.435
52,Xurkitree,2.45376,3015,2.325,1727,2.318
53,Swampert-Mega,2.44527,3357,2.588,2034,2.730
54,Blaziken-Mega,2.43462,4722,3.641,2760,3.704
55,Weavile,2.39784,2713,2.092,1866,2.504
56,Mimikyu,2.32532,3569,2.752,2243,3.010
57,Giratina-Origin,2.16786,3176,2.449,1882,2.526
58,Kangaskhan-Mega,2.02337,2678,2.065,1264,1.697
59,Latios-Mega,1.98342,2291,1.767,1239,1.663
60,Charizard-Mega-X,1.97253,5135,3.959,2995,4.020
61,Hoopa-Unbound,1.95784,3021,2.329,1498,2.011
62,Eevee,1.83315,2978,2.296,2164,2.904
63,Lopunny-Mega,1.82659,2426,1.871,1570,2.107
64,Gardevoir-Mega,1.77361,3422,2.639,2000,2.684
65,Slowbro-Mega,1.74018,1868,1.440,1178,1.581
66,Palkia,1.70662,2146,1.655,1276,1.713
67,Garchomp-Mega,1.67296,2811,2.167,1617,2.170
68,Ho-Oh,1.66523,2126,1.639,1252,1.680
69,Charizard-Mega-Y,1.65344,3178,2.450,1872,2.513
70,Sableye-Mega,1.61321,2243,1.730,1389,1.864
71,Toxapex,1.60279,2349,1.811,1389,1.864
72,Venusaur-Mega,1.57741,2520,1.943,1496,2.008
73,Beedrill-Mega,1.56580,2215,1.708,1375,1.845
74,Genesect,1.56540,2360,1.820,1341,1.800
75,Tapu Koko,1.54690,2401,1.851,1427,1.915
76,Banette-Mega,1.50610,1897,1.463,1186,1.592
77,Skarmory,1.50299,1575,1.214,973,1.306
78,Manectric-Mega,1.47673,1860,1.434,1112,1.492
79,Arceus-Steel,1.34461,1657,1.278,957,1.284
80,Ferrothorn,1.30116,1637,1.262,1129,1.515
81,Ampharos-Mega,1.25150,1488,1.147,985,1.322
82,Magearna,1.24619,1628,1.255,1086,1.458
83,Snorlax,1.20958,2213,1.706,1271,1.706
84,Reshiram,1.16979,1782,1.374,951,1.276
85,Arceus-Fairy,1.16000,1468,1.132,815,1.094
86,Cosmoem,1.15834,1569,1.210,976,1.310
87,Wishiwashi-School,1.13404,1469,1.133,867,1.164
88,Arceus-Dark,1.11156,1120,0.864,789,1.059
89,Gallade-Mega,1.10661,2404,1.854,1300,1.745
90,Pyukumuku,1.03068,1152,0.888,677,0.909
91,Ninjask,1.01469,1632,1.258,1128,1.514
92,Golisopod,0.95637,1322,1.019,835,1.121
93,Pidgeot-Mega,0.95279,1391,1.073,835,1.121
94,Latias-Mega,0.94353,1338,1.032,773,1.037
95,Magikarp,0.89134,2048,1.579,991,1.330
96,Mawile-Mega,0.88599,1265,0.975,622,0.835
97,Arceus-Water,0.86596,997,0.769,557,0.748
98,Absol-Mega,0.84553,1176,0.907,683,0.917
99,Meloetta,0.79941,1092,0.842,612,0.821
100,Marowak-Alola,0.79914,1457,1.123,903,1.212
101,Muk-Alola,0.79333,1080,0.833,723,0.970
102,Umbreon,0.76331,1066,0.822,760,1.020
103,Pikachu,0.74498,1746,1.346,1078,1.447
104,Regice,0.72342,883,0.681,579,0.777
105,Wailord,0.70274,833,0.642,547,0.734
106,Type: Null,0.70105,759,0.585,478,0.642
107,Arceus-Electric,0.68567,996,0.768,532,0.714
108,Buzzwole,0.68221,1030,0.794,578,0.776
109,Tapu Fini,0.66529,828,0.638,525,0.705
110,Altaria-Mega,0.62896,1108,0.854,660,0.886
111,Tapu Lele,0.62249,953,0.735,512,0.687
112,Mew,0.61025,1454,1.121,823,1.105
113,Thundurus-Therian,0.58530,785,0.605,462,0.620
114,Decidueye,0.56638,1316,1.015,776,1.042
115,Blastoise-Mega,0.55978,1307,1.008,771,1.035
116,Houndoom-Mega,0.55730,912,0.703,520,0.698
117,Shaymin-Sky,0.54028,872,0.672,495,0.664
118,Arceus-Fire,0.53725,866,0.668,519,0.697
119,Incineroar,0.53077,1181,0.911,770,1.033
120,Heatran,0.53056,796,0.614,498,0.668
121,Archeops,0.52461,964,0.743,580,0.778
122,Zapdos,0.50231,932,0.719,572,0.768
123,Nihilego,0.50214,776,0.598,542,0.727
124,Dragonite,0.50197,1256,0.968,766,1.028
125,Garchomp,0.48743,1028,0.793,557,0.748
126,Togekiss,0.47871,561,0.433,350,0.470
127,Pinsir-Mega,0.47162,751,0.579,479,0.643
128,Cresselia,0.46716,630,0.486,430,0.577
129,Regirock,0.46279,605,0.466,413,0.554
130,Gyarados,0.43981,795,0.613,450,0.604
131,Volcarona,0.43620,805,0.621,474,0.636
132,Bastiodon,0.43523,524,0.404,395,0.530
133,Arceus-Dragon,0.42598,626,0.483,399,0.536
134,Tapu Bulu,0.41375,740,0.571,398,0.534
135,Infernape,0.41206,1314,1.013,746,1.001
136,Jolteon,0.40627,872,0.672,494,0.663
137,Landorus-Therian,0.40472,582,0.449,380,0.510
138,Arceus-Flying,0.40324,577,0.445,325,0.436
139,Dusclops,0.40057,490,0.378,303,0.407
140,Mewtwo,0.39975,999,0.770,566,0.760
141,Victini,0.39727,885,0.682,531,0.713
142,Primarina,0.39347,882,0.680,494,0.663
143,Mantine,0.37837,395,0.305,228,0.306
144,Arcanine,0.37297,741,0.571,401,0.538
145,Latios,0.37204,588,0.453,320,0.429
146,Salazzle,0.36574,811,0.625,464,0.623
147,Donphan,0.36146,372,0.287,262,0.352
148,Rampardos,0.36136,635,0.490,325,0.436
149,Darmanitan,0.35657,569,0.439,316,0.424
150,Groudon,0.34318,429,0.331,265,0.356
151,Porygon2,0.33921,671,0.517,351,0.471
152,Drifblim,0.33389,364,0.281,218,0.293
153,Espeon,0.33301,588,0.453,359,0.482
154,Kommo-o,0.33116,527,0.406,312,0.419
155,Excadrill,0.32925,533,0.411,307,0.412
156,Arceus-Ice,0.32620,469,0.362,243,0.326
157,Arceus-Psychic,0.31994,401,0.309,231,0.310
158,Noivern,0.31495,907,0.699,540,0.725
159,Ribombee,0.31104,388,0.299,272,0.365
160,Camerupt-Mega,0.30775,539,0.416,339,0.455
161,Goodra,0.30507,804,0.620,489,0.656
162,Electrode,0.30494,404,0.312,317,0.425
163,Arceus-Grass,0.30383,387,0.298,277,0.372
164,Vaporeon,0.30086,522,0.402,281,0.377
165,Vespiquen,0.29668,344,0.265,250,0.336
166,Landorus,0.29600,403,0.311,225,0.302
167,Ditto,0.28567,997,0.769,607,0.815
168,Hydreigon,0.27497,616,0.475,365,0.490
169,Abomasnow-Mega,0.27387,562,0.433,374,0.502
170,Gengar,0.27385,672,0.518,468,0.628
171,Electivire,0.27240,738,0.569,444,0.596
172,Bisharp,0.26498,731,0.564,464,0.623
173,Volcanion,0.26456,650,0.501,368,0.494
174,Sylveon,0.26251,778,0.600,417,0.560
175,Arceus-Poison,0.26212,334,0.258,157,0.211
176,Rattata,0.26206,749,0.578,269,0.361
177,Raichu-Alola,0.25890,794,0.612,447,0.600
178,Mamoswine,0.25661,427,0.329,259,0.348
179,Serperior,0.25661,587,0.453,341,0.458
180,Wobbuffet,0.25528,537,0.414,299,0.401
181,Talonflame,0.25250,849,0.655,524,0.703
182,Blaziken,0.25158,715,0.551,392,0.526
183,Arceus-Ground,0.24381,430,0.332,204,0.274
184,Rhydon,0.24329,322,0.248,190,0.255
185,Zygarde,0.24250,717,0.553,389,0.522
186,Forretress,0.24059,320,0.247,260,0.349
187,Crabominable,0.23996,365,0.281,228,0.306
188,Porygon-Z,0.23752,548,0.423,363,0.487
189,Spiritomb,0.22994,379,0.292,269,0.361
190,Sharpedo-Mega,0.22909,406,0.313,282,0.378
191,Cloyster,0.22867,614,0.473,360,0.483
192,Combee,0.22813,170,0.131,133,0.179
193,Kyogre,0.22688,394,0.304,238,0.319
194,Chandelure,0.22677,483,0.372,266,0.357
195,Arceus-Bug,0.22447,288,0.222,173,0.232
196,Smeargle,0.22196,578,0.446,371,0.498
197,Luxray,0.22036,435,0.335,284,0.381
198,Rayquaza,0.22019,577,0.445,353,0.474
199,Magnezone,0.21941,641,0.494,402,0.540
200,Floette-Eternal,0.21541,460,0.355,246,0.330
201,Krookodile,0.21493,379,0.292,220,0.295
202,Minior,0.21473,307,0.237,169,0.227
203,Eelektross,0.21354,413,0.318,205,0.275
204,Sandslash-Alola,0.21353,369,0.285,227,0.305
205,Staraptor,0.21253,506,0.390,303,0.407
206,Florges,0.21090,384,0.296,248,0.333
207,Suicune,0.21021,434,0.335,239,0.321
208,Gigalith,0.20935,302,0.233,232,0.311
209,Rotom-Wash,0.20837,505,0.389,312,0.419
210,Marowak,0.20338,328,0.253,210,0.282
211,Glalie-Mega,0.20220,677,0.522,360,0.483
212,Gliscor,0.20121,554,0.427,279,0.374
213,Deoxys,0.19785,432,0.333,244,0.327
214,Golurk,0.19359,300,0.231,194,0.260
215,Jirachi,0.19193,471,0.363,260,0.349
216,Tornadus-Therian,0.18675,420,0.324,231,0.310
217,Greninja,0.18507,515,0.397,372,0.499
218,Swampert,0.18066,281,0.217,163,0.219
219,Typhlosion,0.17977,420,0.324,250,0.336
220,Necrozma,0.17811,489,0.377,300,0.403
221,Ninetales-Alola,0.17723,621,0.479,348,0.467
222,Manaphy,0.17312,289,0.223,176,0.236
223,Diancie,0.17277,210,0.162,142,0.191
224,Empoleon,0.16845,369,0.285,204,0.274
225,Zoroark,0.16548,494,0.381,251,0.337
226,Drapion,0.16466,311,0.240,171,0.230
227,Cosmog,0.16321,357,0.275,178,0.239
228,Hariyama,0.16098,183,0.141,118,0.158
229,Aron,0.16050,293,0.226,203,0.272
230,Zygarde-10,0.15991,471,0.363,301,0.404
231,Sunkern,0.15909,408,0.315,203,0.272
232,Bewear,0.15684,360,0.278,198,0.266
233,Turtonator,0.15015,318,0.245,196,0.263
234,Flareon,0.14996,406,0.313,243,0.326
235,Lucario,0.14989,542,0.418,240,0.322
236,Dunsparce,0.14784,334,0.258,110,0.148
237,Claydol,0.14735,141,0.109,95,0.128
238,Keldeo,0.14712,324,0.250,203,0.272
239,Exeggutor-Alola,0.14537,366,0.282,233,0.313
240,Medicham-Mega,0.14438,226,0.174,115,0.154
241,Tyranitar,0.14329,361,0.278,245,0.329
242,Ursaring,0.14274,211,0.163,118,0.158
243,Crobat,0.13931,341,0.263,218,0.293
244,Arceus-Fighting,0.13919,236,0.182,138,0.185
245,Charizard,0.13892,414,0.319,252,0.338
246,Lycanroc,0.13779,279,0.215,162,0.217
247,Vikavolt,0.13684,442,0.341,278,0.373
248,Delphox,0.13574,333,0.257,185,0.248
249,Feraligatr,0.13553,369,0.285,230,0.309
250,Escavalier,0.13543,263,0.203,172,0.231
251,Lapras,0.13423,452,0.349,283,0.380
252,Breloom,0.13262,359,0.277,210,0.282
253,Dusknoir,0.13091,293,0.226,222,0.298
254,Froslass,0.12995,185,0.143,116,0.156
255,Milotic,0.12928,343,0.264,229,0.307
256,Tyrantrum,0.12746,379,0.292,217,0.291
257,Tentacruel,0.12718,159,0.123,102,0.137
258,Machamp,0.12695,373,0.288,233,0.313
259,Golem-Alola,0.12675,256,0.197,187,0.251
260,Haxorus,0.12665,327,0.252,190,0.255
261,Clefable,0.12623,249,0.192,142,0.191
262,Kyurem,0.12615,207,0.160,136,0.183
263,Tsareena,0.12602,269,0.207,146,0.196
264,Ludicolo,0.12599,356,0.275,197,0.264
265,Gastrodon,0.12553,262,0.202,119,0.160
266,Lurantis,0.12480,267,0.206,154,0.207
267,Raikou,0.12277,219,0.169,117,0.157
268,Entei,0.12217,279,0.215,165,0.221
269,Doublade,0.12147,194,0.150,120,0.161
270,Carbink,0.12144,192,0.148,134,0.180
271,Tangrowth,0.12061,211,0.163,138,0.185
272,Cofagrigus,0.11929,240,0.185,168,0.225
273,Hawlucha,0.11809,460,0.355,280,0.376
