 Total battles: 85175
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Rayquaza-Mega,33.64426,57313,33.644,31916,32.414
2,Mewtwo-Mega-Y,22.38274,38129,22.383,22229,22.576
3,Chansey,20.41444,34776,20.414,19825,20.135
4,Groudon-Primal,19.82037,33764,19.820,19749,20.057
5,Gengar-Mega,19.17699,32668,19.177,18860,19.154
6,Kyogre-Primal,17.06017,29062,17.060,17160,17.428
7,Zygarde-Complete,16.64632,28357,16.646,17951,18.231
8,Shedinja,16.63692,28341,16.637,17980,18.261
9,Mewtwo-Mega-X,15.88553,27061,15.886,15149,15.386
10,Greninja-Ash,14.55415,24793,14.554,14696,14.925
11,Blissey,13.48342,22969,13.483,12566,12.762
12,Deoxys-Speed,12.77957,21770,12.780,16210,16.463
13,Giratina,11.66539,19872,11.665,13541,13.752
14,Deoxys-Attack,10.09510,17197,10.095,10110,10.268
15,Diancie-Mega,8.15380,13890,8.154,8871,9.010
16,Regigigas,7.79689,13282,7.797,7841,7.963
17,Shuckle,7.20693,12277,7.207,7635,7.754
18,Kyurem-Black,6.92339,11794,6.923,7533,7.651
19,Arceus,5.85266,9970,5.853,5704,5.793
20,Kartana,5.64426,9615,5.644,6052,6.146
21,Yveltal,5.54505,9446,5.545,5618,5.706
22,Registeel,5.42471,9241,5.425,6667,6.771
23,Aegislash,4.95509,8441,4.955,5353,5.437
24,Solgaleo,4.90461,8355,4.905,5442,5.527
25,Slaking,4.79014,8160,4.790,4530,4.601
26,Lugia,4.54652,7745,4.547,4491,4.561
27,Pheromosa,4.48488,7640,4.485,4994,5.072
28,Alakazam-Mega,4.34400,7400,4.344,4182,4.247
29,Sceptile-Mega,4.24949,7239,4.249,4593,4.665
30,Tyranitar-Mega,4.22366,7195,4.224,4740,4.814
31,Arceus-Ghost,4.15732,7082,4.157,4214,4.280
32,Xerneas,4.15321,7075,4.153,4378,4.446
33,Dialga,4.08923,6966,4.089,4624,4.696
34,Charizard-Mega-X,3.83505,6533,3.835,4031,4.094
35,Metagross-Mega,3.80217,6477,3.802,3870,3.930
36,Scizor-Mega,3.77576,6432,3.776,3871,3.931
37,Audino-Mega,3.74406,6378,3.744,4037,4.100
38,Gyarados-Mega,3.72116,6339,3.721,4183,4.248
39,Deoxys-Defense,3.66363,6241,3.664,3872,3.932
40,Blaziken-Mega,3.62078,6168,3.621,3612,3.668
41,Lucario-Mega,3.46933,5910,3.469,3602,3.658
42,Kyurem-White,3.38597,5768,3.386,3359,3.411
43,Darkrai,3.34312,5695,3.343,3532,3.587
44,Marshadow,3.24567,5529,3.246,3192,3.242
45,Aggron-Mega,3.09011,5264,3.090,3461,3.515
46,Charizard-Mega-Y,2.87760,4902,2.878,2824,2.868
47,Heracross-Mega,2.78485,4744,2.785,2923,2.969
48,Gardevoir-Mega,2.76607,4712,2.766,2892,2.937
49,Salamence-Mega,2.47432,4215,2.474,2338,2.375
50,Swampert-Mega,2.43910,4155,2.439,2511,2.550
51,Giratina-Origin,2.41503,4114,2.415,2496,2.535
52,Zekrom,2.41092,4107,2.411,2593,2.633
53,Mimikyu,2.40974,4105,2.410,2544,2.584
54,Steelix-Mega,2.39155,4074,2.392,2705,2.747
55,Celesteela,2.28647,3895,2.286,2432,2.470
56,Lunala,2.27649,3878,2.276,2347,2.384
57,Guzzlord,2.27649,3878,2.276,2674,2.716
58,Aerodactyl-Mega,2.25301,3838,2.253,2622,2.663
59,Eevee,2.21192,3768,2.212,2806,2.850
60,Garchomp-Mega,2.08042,3544,2.080,2125,2.158
61,Hoopa-Unbound,2.07631,3537,2.076,2099,2.132
62,Xurkitree,2.03581,3468,2.036,2062,2.094
63,Weavile,1.95715,3334,1.957,2117,2.150
64,Lopunny-Mega,1.86968,3185,1.870,2048,2.080
65,Venusaur-Mega,1.86087,3170,1.861,1842,1.871
66,Beedrill-Mega,1.70883,2911,1.709,1819,1.847
67,Ho-Oh,1.69592,2889,1.696,1733,1.760
68,Tapu Koko,1.65776,2824,1.658,1768,1.796
69,Genesect,1.58439,2699,1.584,1550,1.574
70,Latios-Mega,1.54505,2632,1.545,1435,1.457
71,Slowbro-Mega,1.54388,2630,1.544,1661,1.687
72,Gallade-Mega,1.53860,2621,1.539,1543,1.567
73,Toxapex,1.48400,2528,1.484,1567,1.591
74,Palkia,1.48166,2524,1.482,1574,1.599
75,Kangaskhan-Mega,1.46698,2499,1.467,1168,1.186
76,Sableye-Mega,1.32551,2258,1.326,1510,1.534
77,Ampharos-Mega,1.29087,2199,1.291,1497,1.520
78,Ferrothorn,1.28324,2186,1.283,1495,1.518
79,Pikachu,1.26798,2160,1.268,1294,1.314
80,Magikarp,1.26093,2148,1.261,1032,1.048
81,Magearna,1.24626,2123,1.246,1330,1.351
82,Reshiram,1.21984,2078,1.220,1175,1.193
83,Ninjask,1.17640,2004,1.176,1345,1.366
84,Snorlax,1.16525,1985,1.165,1256,1.276
85,Pidgeot-Mega,1.10068,1875,1.101,1097,1.114
86,Banette-Mega,1.09833,1871,1.098,1161,1.179
87,Arceus-Fairy,1.09657,1868,1.097,1210,1.229
88,Manectric-Mega,1.07250,1827,1.072,1103,1.120
89,Marowak-Alola,1.06780,1819,1.068,1110,1.127
90,Decidueye,1.04373,1778,1.044,1058,1.075
91,Arceus-Electric,1.02436,1745,1.024,1049,1.065
92,Arceus-Steel,1.01438,1728,1.014,1084,1.101
93,Buzzwole,1.00029,1704,1.000,940,0.955
94,Cosmoem,0.99384,1693,0.994,1187,1.206
95,Skarmory,0.98327,1675,0.983,1038,1.054
96,Blastoise-Mega,0.96272,1640,0.963,1022,1.038
97,Arceus-Dark,0.94218,1605,0.942,1033,1.049
98,Absol-Mega,0.90578,1543,0.906,901,0.915
99,Golisopod,0.88113,1501,0.881,952,0.967
100,Infernape,0.84473,1439,0.845,824,0.837
101,Shaymin-Sky,0.82301,1402,0.823,829,0.842
102,Garchomp,0.81068,1381,0.811,802,0.815
103,Latias-Mega,0.80951,1379,0.810,821,0.834
104,Mew,0.80423,1370,0.804,808,0.821
105,Pinsir-Mega,0.80247,1367,0.802,767,0.779
106,Dragonite,0.77194,1315,0.772,811,0.824
107,Incineroar,0.77018,1312,0.770,776,0.788
108,Wishiwashi-School,0.75844,1292,0.758,767,0.779
109,Zapdos,0.71265,1214,0.713,732,0.743
110,Altaria-Mega,0.70150,1195,0.701,748,0.760
111,Victini,0.69856,1190,0.699,722,0.733
112,Arceus-Water,0.69680,1187,0.697,683,0.694
113,Umbreon,0.68036,1159,0.680,748,0.760
114,Tapu Fini,0.66393,1131,0.664,722,0.733
115,Volcarona,0.65571,1117,0.656,578,0.587
116,Mewtwo,0.65571,1117,0.656,665,0.675
117,Heatran,0.65277,1112,0.653,667,0.677
118,Archeops,0.63692,1085,0.637,598,0.607
119,Porygon-Z,0.63223,1077,0.632,663,0.673
120,Regirock,0.62636,1067,0.626,765,0.777
121,Wailord,0.61873,1054,0.619,598,0.607
122,Muk-Alola,0.61755,1052,0.618,648,0.658
123,Talonflame,0.61697,1051,0.617,664,0.674
124,Type: Null,0.60816,1036,0.608,695,0.706
125,Tapu Bulu,0.60699,1034,0.607,587,0.596
126,Pyukumuku,0.60522,1031,0.605,645,0.655
127,Goodra,0.59818,1019,0.598,587,0.596
128,Ditto,0.59348,1011,0.593,676,0.687
129,Salazzle,0.58703,1000,0.587,527,0.535
130,Nihilego,0.56765,967,0.568,536,0.544
131,Primarina,0.56648,965,0.566,558,0.567
132,Tapu Lele,0.56296,959,0.563,513,0.521
133,Bisharp,0.56061,955,0.561,594,0.603
134,Mawile-Mega,0.56002,954,0.560,504,0.512
135,Houndoom-Mega,0.55533,946,0.555,586,0.595
136,Thundurus-Therian,0.54535,929,0.545,530,0.538
137,Glalie-Mega,0.54300,925,0.543,560,0.569
138,Arceus-Fire,0.54006,920,0.540,547,0.556
139,Raichu-Alola,0.52539,895,0.525,544,0.552
140,Drifblim,0.51717,881,0.517,511,0.519
141,Togekiss,0.51071,870,0.511,540,0.548
142,Landorus-Therian,0.50954,868,0.510,536,0.544
143,Gyarados,0.50837,866,0.508,549,0.558
144,Regice,0.50191,855,0.502,551,0.560
145,Arceus-Ice,0.50015,852,0.500,473,0.480
146,Noivern,0.49310,840,0.493,478,0.485
147,Gengar,0.49017,835,0.490,489,0.497
148,Wobbuffet,0.48430,825,0.484,537,0.545
149,Rattata,0.47960,817,0.480,418,0.425
150,Abomasnow-Mega,0.47667,812,0.477,525,0.533
151,Arceus-Dragon,0.47373,807,0.474,502,0.510
152,Arcanine,0.46493,792,0.465,474,0.481
153,Arceus-Grass,0.45377,773,0.454,539,0.547
154,Sylveon,0.45201,770,0.452,448,0.455
155,Jolteon,0.45201,770,0.452,535,0.543
156,Meloetta,0.44966,766,0.450,493,0.501
157,Dusclops,0.44262,754,0.443,421,0.428
