 Total battles: 58436
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Tapu Koko,15.63505,18273,15.635,0,0.000
2,Landorus-Therian,14.11373,16495,14.114,0,0.000
3,Tapu Lele,13.73383,16051,13.734,0,0.000
4,Garchomp,11.56051,13511,11.561,0,0.000
5,Tapu Fini,10.68776,12491,10.688,0,0.000
6,Oranguru,9.83384,11493,9.834,0,0.000
7,Marowak-Alola,9.71918,11359,9.719,0,0.000
8,Charizard-Mega-Y,9.70292,11340,9.703,0,0.000
9,Muk-Alola,9.12793,10668,9.128,0,0.000
10,Arcanine,9.10826,10645,9.108,0,0.000
11,Salamence-Mega,8.39551,9812,8.396,0,0.000
12,Kartana,7.91721,9253,7.917,0,0.000
13,Mimikyu,7.89240,9224,7.892,0,0.000
14,Tyranitar,7.62800,8915,7.628,0,0.000
15,Celesteela,7.49880,8764,7.499,0,0.000
16,Pelipper,7.33452,8572,7.335,0,0.000
17,Kangaskhan-Mega,7.17708,8388,7.177,0,0.000
18,Heatran,7.16510,8374,7.165,0,0.000
19,Ninetales-Alola,6.93066,8100,6.931,0,0.000
20,Cresselia,6.84510,8000,6.845,0,0.000
21,Tapu Bulu,6.60124,7715,6.601,0,0.000
22,Aegislash,6.26241,7319,6.262,0,0.000
23,Porygon2,6.17513,7217,6.175,0,0.000
24,Volcarona,5.57020,6510,5.570,0,0.000
25,Greninja,5.51800,6449,5.518,0,0.000
26,Whimsicott,4.95670,5793,4.957,0,0.000
27,Gengar-Mega,4.89253,5718,4.893,0,0.000
28,Politoed,4.85317,5672,4.853,0,0.000
29,Metagross-Mega,4.83007,5645,4.830,0,0.000
30,Snorlax,4.72312,5520,4.723,0,0.000
31,Araquanid,4.68632,5477,4.686,0,0.000
32,Excadrill,4.52204,5285,4.522,0,0.000
33,Gastrodon,4.31155,5039,4.312,0,0.000
34,Torkoal,4.19861,4907,4.199,0,0.000
35,Milotic,4.03433,4715,4.034,0,0.000
36,Amoonguss,4.03262,4713,4.033,0,0.000
37,Smeargle,3.87860,4533,3.879,0,0.000
38,Togekiss,3.53464,4131,3.535,0,0.000
39,Rotom-Wash,3.52608,4121,3.526,0,0.000
40,Eevee,3.51581,4109,3.516,0,0.000
41,Sylveon,3.41656,3993,3.417,0,0.000
42,Ferrothorn,3.37891,3949,3.379,0,0.000
43,Comfey,3.33356,3896,3.334,0,0.000
44,Zapdos,3.25313,3802,3.253,0,0.000
45,Gyarados,3.25228,3801,3.252,0,0.000
46,Pheromosa,3.07516,3594,3.075,0,0.000
47,Kingdra,3.05976,3576,3.060,0,0.000
48,Oricorio-Pom-Pom,2.90232,3392,2.902,0,0.000
49,Toxapex,2.85783,3340,2.858,0,0.000
50,Weavile,2.78253,3252,2.783,0,0.000
51,Vikavolt,2.69269,3147,2.693,0,0.000
52,Raichu-Alola,2.65419,3102,2.654,0,0.000
53,Lilligant,2.59857,3037,2.599,0,0.000
54,Charizard-Mega-X,2.54210,2971,2.542,0,0.000
55,Lucario-Mega,2.52670,2953,2.527,0,0.000
56,Golem-Alola,2.52584,2952,2.526,0,0.000
57,Venusaur-Mega,2.51900,2944,2.519,0,0.000
58,Gyarados-Mega,2.49675,2918,2.497,0,0.000
59,Xurkitree,2.46338,2879,2.463,0,0.000
60,Gigalith,2.45824,2873,2.458,0,0.000
61,Ludicolo,2.43857,2850,2.439,0,0.000
62,Porygon-Z,2.39065,2794,2.391,0,0.000
63,Mamoswine,2.33931,2734,2.339,0,0.000
64,Scizor-Mega,2.32990,2723,2.330,0,0.000
65,Venusaur,2.31963,2711,2.320,0,0.000
66,Hydreigon,2.31108,2701,2.311,0,0.000
67,Clefable,2.28455,2670,2.285,0,0.000
68,Alakazam-Mega,2.27172,2655,2.272,0,0.000
69,Nidoking,2.26059,2642,2.261,0,0.000
70,Shuckle,2.23150,2608,2.232,0,0.000
71,Shedinja,2.22722,2603,2.227,0,0.000
72,Nihilego,2.18102,2549,2.181,0,0.000
73,Blaziken,2.14850,2511,2.149,0,0.000
74,Raichu,2.14508,2507,2.145,0,0.000
75,Magnezone,2.14423,2506,2.144,0,0.000
76,Krookodile,2.10401,2459,2.104,0,0.000
77,Drampa,2.05524,2402,2.055,0,0.000
78,Mudsdale,2.01845,2359,2.018,0,0.000
79,Thundurus,1.99791,2335,1.998,0,0.000
80,Serperior,1.98850,2324,1.989,0,0.000
81,Salamence,1.96796,2300,1.968,0,0.000
82,Scrafty,1.94657,2275,1.947,0,0.000
83,Goodra,1.92518,2250,1.925,0,0.000
84,Blastoise-Mega,1.91320,2236,1.913,0,0.000
85,Dragonite,1.91064,2233,1.911,0,0.000
86,Salazzle,1.90978,2232,1.910,0,0.000
87,Talonflame,1.86786,2183,1.868,0,0.000
88,Gengar,1.85588,2169,1.856,0,0.000
89,Hariyama,1.83791,2148,1.838,0,0.000
90,Slowbro-Mega,1.81309,2119,1.813,0,0.000
91,Ribombee,1.80454,2109,1.805,0,0.000
92,Togedemaru,1.80283,2107,1.803,0,0.000
93,Bisharp,1.79855,2102,1.799,0,0.000
94,Persian-Alola,1.79342,2096,1.793,0,0.000
95,Conkeldurr,1.78999,2092,1.790,0,0.000
96,Azumarill,1.74379,2038,1.744,0,0.000
97,Clefairy,1.72924,2021,1.729,0,0.000
98,Metagross,1.64026,1917,1.640,0,0.000
99,Primarina,1.63170,1907,1.632,0,0.000
100,Breloom,1.55298,1815,1.553,0,0.000
101,Murkrow,1.54785,1809,1.548,0,0.000
102,Bronzong,1.52475,1782,1.525,0,0.000
103,Sandslash-Alola,1.51619,1772,1.516,0,0.000
104,Sableye-Mega,1.51105,1766,1.511,0,0.000
105,Garchomp-Mega,1.50335,1757,1.503,0,0.000
106,Chandelure,1.49480,1747,1.495,0,0.000
107,Machamp,1.48710,1738,1.487,0,0.000
108,Hitmontop,1.46057,1707,1.461,0,0.000
109,Suicune,1.41693,1656,1.417,0,0.000
110,Sableye,1.38613,1620,1.386,0,0.000
111,Buzzwole,1.36645,1597,1.366,0,0.000
112,Thundurus-Therian,1.35875,1588,1.359,0,0.000
113,Gardevoir,1.34677,1574,1.347,0,0.000
114,Chansey,1.34592,1573,1.346,0,0.000
115,Noivern,1.33308,1558,1.333,0,0.000
116,Aerodactyl-Mega,1.32367,1547,1.324,0,0.000
117,Palossand,1.29800,1517,1.298,0,0.000
118,Incineroar,1.29715,1516,1.297,0,0.000
119,Golisopod,1.29458,1513,1.295,0,0.000
120,Espeon,1.28089,1497,1.281,0,0.000
121,Cofagrigus,1.27490,1490,1.275,0,0.000
122,Crobat,1.26891,1483,1.269,0,0.000
123,Exeggutor-Alola,1.25009,1461,1.250,0,0.000
124,Infernape,1.21329,1418,1.213,0,0.000
