 Total battles: 186306
 Avg. weight/team: 0.188
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Mimikyu,42.40117,96994,25.348,39148,24.576
2,Tapu Lele,34.09123,84312,22.034,32717,20.539
3,Kangaskhan-Mega,30.92949,58826,15.373,26905,16.890
4,Garchomp,28.66605,75395,19.704,30679,19.259
5,Tapu Fini,24.78735,53395,13.954,21523,13.512
6,Volcarona,23.84644,47124,12.315,17968,11.280
7,Salamence-Mega,21.52821,65301,17.066,27234,17.097
8,Celesteela,18.17733,48888,12.776,20494,12.866
9,Thundurus-Therian,16.82247,37191,9.719,13607,8.542
10,Blaziken,16.80789,53616,14.012,26261,16.486
11,Landorus-Therian,16.53921,45097,11.786,22959,14.413
12,Metagross-Mega,13.95130,32009,8.365,14975,9.401
13,Tapu Koko,13.74159,56865,14.861,24624,15.458
14,Hippowdon,12.45355,27397,7.160,13867,8.705
15,Cloyster,11.58189,34037,8.895,14454,9.074
16,Ferrothorn,11.51516,37138,9.706,17882,11.226
17,Charizard-Mega-X,10.89502,34414,8.994,15755,9.891
18,Gengar-Mega,10.70789,30959,8.091,12087,7.588
19,Excadrill,10.36343,32623,8.526,15091,9.474
20,Suicune,8.47444,18354,4.797,7232,4.540
21,Greninja,8.45121,38311,10.012,17387,10.915
22,Mamoswine,7.94056,29992,7.838,14495,9.100
23,Charizard-Mega-Y,7.50491,30743,8.034,14903,9.356
24,Tyranitar,7.39910,24425,6.383,10808,6.785
25,Breloom,7.18267,22744,5.944,10115,6.350
26,Aegislash,7.01106,39731,10.383,14333,8.998
27,Cresselia,6.97750,16091,4.205,6534,4.102
28,Heatran,6.41896,19316,5.048,8334,5.232
29,Gyarados-Mega,5.70808,26078,6.815,11566,7.261
30,Porygon2,5.63220,25097,6.559,9311,5.845
31,Thundurus,5.49528,11596,3.030,4294,2.696
32,Primarina,5.37432,12095,3.161,5516,3.463
33,Venusaur-Mega,5.28355,20542,5.368,8692,5.457
34,Serperior,5.17615,16653,4.352,6654,4.177
35,Tapu Bulu,5.13840,18449,4.821,7251,4.552
36,Kartana,5.10383,16841,4.401,7132,4.477
37,Lucario-Mega,4.26643,24981,6.528,10063,6.317
38,Dragonite,4.11735,20361,5.321,7527,4.725
