 Total battles: 1256
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Mimikyu,19.62580,493,19.626,196,18.708
2,Charizard-Mega-X,16.91879,425,16.919,235,22.431
3,Greninja,15.56529,391,15.565,184,17.563
4,Garchomp,12.65924,318,12.659,159,15.177
5,Lucario-Mega,11.74363,295,11.744,122,11.645
6,Salamence-Mega,9.83280,247,9.833,108,10.309
7,Rayquaza-Mega,9.19586,231,9.196,175,16.704
8,Aegislash,8.75796,220,8.758,66,6.300
9,Celesteela,8.59873,216,8.599,68,6.491
10,Tapu Lele,7.96178,200,7.962,57,5.441
11,Tyranitar,7.40446,186,7.404,81,7.731
12,Tapu Koko,7.20541,181,7.205,71,6.777
13,Pheromosa,7.04618,177,7.046,79,7.541
14,Metagross-Mega,7.04618,177,7.046,65,6.204
15,Blaziken,6.84713,172,6.847,84,8.018
16,Toxapex,6.05096,152,6.051,68,6.491
17,Groudon-Primal,6.05096,152,6.051,125,11.931
18,Marowak-Alola,5.97134,150,5.971,61,5.822
19,Gengar-Mega,5.85191,147,5.852,60,5.727
20,Muk-Alola,5.61306,141,5.613,42,4.009
21,Gyarados-Mega,5.41401,136,5.414,65,6.204
22,Ninetales-Alola,5.37420,135,5.374,49,4.677
23,Dragonite,4.89650,123,4.896,46,4.391
24,Kangaskhan-Mega,4.69745,118,4.697,45,4.295
25,Ferrothorn,4.57803,115,4.578,30,2.864
26,Salazzle,4.25955,107,4.260,33,3.150
27,Kartana,4.21975,106,4.220,36,3.436
28,Incineroar,4.14013,104,4.140,47,4.486
29,Volcarona,4.10032,103,4.100,29,2.768
30,Arceus,4.10032,103,4.100,59,5.632
31,Excadrill,4.02070,101,4.021,36,3.436
32,Gengar,3.86146,97,3.861,41,3.913
33,Primarina,3.86146,97,3.861,55,5.250
34,Decidueye,3.86146,97,3.861,45,4.295
35,Alakazam-Mega,3.82166,96,3.822,39,3.723
36,Raichu-Alola,3.82166,96,3.822,50,4.773
37,Scizor-Mega,3.70223,93,3.702,39,3.723
38,Latios,3.62261,91,3.623,33,3.150
39,Charizard-Mega-Y,3.58280,90,3.583,56,5.345
40,Infernape,3.50318,88,3.503,53,5.059
41,Venusaur-Mega,3.46338,87,3.463,39,3.723
42,Tapu Fini,3.46338,87,3.463,36,3.436
43,Charizard,3.46338,87,3.463,53,5.059
44,Gardevoir,3.46338,87,3.463,34,3.245
45,Mewtwo,3.34395,84,3.344,67,6.395
46,Jolteon,3.30414,83,3.304,24,2.291
47,Chansey,3.22452,81,3.225,24,2.291
48,Mudsdale,3.18471,80,3.185,29,2.768
49,Turtonator,3.14490,79,3.145,23,2.195
50,Sceptile,3.10510,78,3.105,32,3.054
51,Salamence,3.10510,78,3.105,30,2.864
52,Landorus-Therian,3.06529,77,3.065,46,4.391
53,Kyogre,3.02548,76,3.025,57,5.441
54,Xerneas,2.98567,75,2.986,47,4.486
55,Porygon-Z,2.90605,73,2.906,37,3.532
56,Hippowdon,2.90605,73,2.906,32,3.054
57,Zygarde,2.90605,73,2.906,44,4.200
58,Sylveon,2.74682,69,2.747,24,2.291
59,Arcanine,2.66720,67,2.667,31,2.959
60,Cloyster,2.66720,67,2.667,24,2.291
61,Mamoswine,2.58758,65,2.588,34,3.245
62,Rotom-Wash,2.58758,65,2.588,17,1.623
63,Pyukumuku,2.50796,63,2.508,14,1.336
64,Pikachu,2.42834,61,2.428,26,2.482
65,Gyarados,2.42834,61,2.428,29,2.768
66,Heatran,2.42834,61,2.428,26,2.482
67,Magnezone,2.38854,60,2.389,18,1.718
68,Blastoise-Mega,2.34873,59,2.349,30,2.864
69,Magearna,2.30892,58,2.309,30,2.864
70,Tapu Bulu,2.26911,57,2.269,24,2.291
71,Buzzwole,2.26911,57,2.269,20,1.909
72,Goodra,2.22930,56,2.229,24,2.291
73,Garchomp-Mega,2.18949,55,2.189,22,2.100
74,Lapras,2.07006,52,2.070,19,1.814
75,Ditto,2.07006,52,2.070,28,2.673
76,Absol-Mega,2.03025,51,2.030,12,1.145
77,Xurkitree,1.99045,50,1.990,18,1.718
78,Thundurus-Therian,1.99045,50,1.990,16,1.527
79,Eevee,1.95064,49,1.951,46,4.391
80,Snorlax,1.95064,49,1.951,19,1.814
81,Lucario,1.95064,49,1.951,27,2.577
82,Venusaur,1.91083,48,1.911,14,1.336
83,Blastoise,1.91083,48,1.911,26,2.482
84,Espeon,1.91083,48,1.911,16,1.527
85,Togekiss,1.87102,47,1.871,26,2.482
86,Sableye-Mega,1.87102,47,1.871,18,1.718
87,Skarmory,1.87102,47,1.871,11,1.050
88,Metagross,1.87102,47,1.871,19,1.814
89,Latias,1.83121,46,1.831,20,1.909
90,Lunala,1.79140,45,1.791,34,3.245
91,Nihilego,1.79140,45,1.791,24,2.291
92,Serperior,1.79140,45,1.791,18,1.718
93,Talonflame,1.79140,45,1.791,21,2.004
94,Solgaleo,1.75159,44,1.752,23,2.195
95,Cradily,1.71178,43,1.712,18,1.718
96,Articuno,1.67197,42,1.672,21,2.004
97,Porygon2,1.67197,42,1.672,17,1.623
98,Gliscor,1.63217,41,1.632,23,2.195
99,Weavile,1.63217,41,1.632,16,1.527
100,Zapdos,1.63217,41,1.632,18,1.718
101,Cresselia,1.59236,40,1.592,10,0.955
102,Noivern,1.55255,39,1.553,18,1.718
103,Pelipper,1.55255,39,1.553,15,1.432
104,Dugtrio,1.47293,37,1.473,8,0.764
105,Abomasnow,1.43312,36,1.433,10,0.955
106,Breloom,1.39331,35,1.393,18,1.718
107,Shaymin-Sky,1.39331,35,1.393,20,1.909
108,Feraligatr,1.35350,34,1.354,8,0.764
109,Type: Null,1.31369,33,1.314,9,0.859
110,Rotom-Heat,1.31369,33,1.314,10,0.955
111,Kingdra,1.31369,33,1.314,14,1.336
112,Crobat,1.27389,32,1.274,11,1.050
113,Staraptor,1.27389,32,1.274,14,1.336
114,Drampa,1.27389,32,1.274,8,0.764
115,Electivire,1.27389,32,1.274,14,1.336
116,Suicune,1.27389,32,1.274,15,1.432
117,Machamp,1.23408,31,1.234,6,0.573
118,Umbreon,1.23408,31,1.234,15,1.432
119,Pinsir-Mega,1.23408,31,1.234,12,1.145
120,Chandelure,1.19427,30,1.194,11,1.050
121,Typhlosion,1.11465,28,1.115,10,0.955
122,Smeargle,1.07484,27,1.075,14,1.336
123,Dusclops,1.07484,27,1.075,9,0.859
124,Raticate-Alola,1.07484,27,1.075,9,0.859
125,Ninetales,1.03503,26,1.035,16,1.527
126,Houndoom,1.03503,26,1.035,7,0.668
127,Minior,1.03503,26,1.035,11,1.050
128,Zekrom,1.03503,26,1.035,11,1.050
129,Gastrodon,1.03503,26,1.035,12,1.145
130,Vikavolt,0.99522,25,0.995,9,0.859
131,Yveltal,0.99522,25,0.995,14,1.336
132,Hawlucha,0.95541,24,0.955,9,0.859
133,Krookodile,0.91561,23,0.916,2,0.191
134,Togedemaru,0.91561,23,0.916,8,0.764
135,Lycanroc,0.91561,23,0.916,5,0.477
136,Manaphy,0.91561,23,0.916,14,1.336
137,Raichu,0.91561,23,0.916,11,1.050
138,Milotic,0.91561,23,0.916,5,0.477
139,Kommo-o,0.91561,23,0.916,7,0.668
140,Swampert,0.91561,23,0.916,11,1.050
141,Araquanid,0.87580,22,0.876,10,0.955
142,Golisopod,0.87580,22,0.876,11,1.050
143,Braviary,0.87580,22,0.876,10,0.955
144,Vanilluxe,0.87580,22,0.876,9,0.859
145,Flygon,0.87580,22,0.876,13,1.241
146,Exeggutor-Alola,0.87580,22,0.876,6,0.573
147,Kyogre-Primal,0.87580,22,0.876,16,1.527
148,Aggron,0.83599,21,0.836,6,0.573
149,Empoleon,0.83599,21,0.836,15,1.432
150,Sandslash-Alola,0.83599,21,0.836,6,0.573
151,Azumarill,0.83599,21,0.836,16,1.527
152,Hydreigon,0.83599,21,0.836,10,0.955
153,Golem-Alola,0.83599,21,0.836,8,0.764
154,Hariyama,0.83599,21,0.836,11,1.050
155,Scolipede,0.83599,21,0.836,9,0.859
156,Haxorus,0.83599,21,0.836,10,0.955
157,Mew,0.83599,21,0.836,13,1.241
158,Barbaracle,0.83599,21,0.836,7,0.668
159,Gallade,0.79618,20,0.796,6,0.573
160,Bisharp,0.79618,20,0.796,6,0.573
161,Whimsicott,0.79618,20,0.796,16,1.527
162,Dugtrio-Alola,0.79618,20,0.796,3,0.286
163,Bewear,0.75637,19,0.756,6,0.573
164,Darmanitan,0.75637,19,0.756,8,0.764
165,Clefable,0.75637,19,0.756,10,0.955
166,Oranguru,0.75637,19,0.756,7,0.668
167,Steelix,0.75637,19,0.756,8,0.764
168,Gigalith,0.75637,19,0.756,8,0.764
169,Leafeon,0.75637,19,0.756,6,0.573
170,Kyurem-Black,0.75637,19,0.756,10,0.955
171,Scizor,0.75637,19,0.756,5,0.477
172,Moltres,0.75637,19,0.756,8,0.764
173,Luxray,0.75637,19,0.756,9,0.859
174,Darkrai,0.75637,19,0.756,7,0.668
175,Aerodactyl-Mega,0.75637,19,0.756,11,1.050
176,Reuniclus,0.71656,18,0.717,11,1.050
177,Victreebel,0.71656,18,0.717,6,0.573
178,Shuckle,0.71656,18,0.717,8,0.764
179,Emboar,0.71656,18,0.717,7,0.668
180,Amoonguss,0.71656,18,0.717,1,0.095
181,Landorus,0.71656,18,0.717,8,0.764
182,Victini,0.71656,18,0.717,11,1.050
183,Samurott,0.71656,18,0.717,8,0.764
184,Alakazam,0.67675,17,0.677,4,0.382
185,Crustle,0.67675,17,0.677,12,1.145
186,Torterra,0.67675,17,0.677,11,1.050
187,Rhyperior,0.67675,17,0.677,7,0.668
188,Conkeldurr,0.67675,17,0.677,11,1.050
189,Flareon,0.67675,17,0.677,1,0.095
190,Archeops,0.63694,16,0.637,12,1.145
191,Tyrantrum,0.63694,16,0.637,8,0.764
192,Accelgor,0.63694,16,0.637,5,0.477
193,Shedinja,0.63694,16,0.637,8,0.764
194,Wishiwashi,0.63694,16,0.637,10,0.955
195,Regigigas,0.59713,15,0.597,8,0.764
196,Jirachi,0.59713,15,0.597,6,0.573
197,Chesnaught,0.59713,15,0.597,6,0.573
198,Absol,0.55732,14,0.557,3,0.286
199,Zoroark,0.55732,14,0.557,7,0.668
200,Silvally-Steel,0.55732,14,0.557,6,0.573
201,Scyther,0.55732,14,0.557,6,0.573
202,Palossand,0.55732,14,0.557,5,0.477
203,Ampharos,0.51752,13,0.518,7,0.668
204,Vespiquen,0.51752,13,0.518,2,0.191
205,Palkia,0.51752,13,0.518,12,1.145
206,Tsareena,0.51752,13,0.518,4,0.382
207,Ambipom,0.51752,13,0.518,7,0.668
208,Guzzlord,0.51752,13,0.518,5,0.477
209,Slowbro-Mega,0.51752,13,0.518,9,0.859
210,Politoed,0.51752,13,0.518,10,0.955
211,Vaporeon,0.51752,13,0.518,5,0.477
212,Thundurus,0.51752,13,0.518,5,0.477
213,Reshiram,0.51752,13,0.518,9,0.859
214,Rayquaza,0.51752,13,0.518,11,1.050
215,Wobbuffet,0.47771,12,0.478,3,0.286
216,Slowbro,0.47771,12,0.478,6,0.573
217,Tornadus,0.47771,12,0.478,2,0.191
218,Torkoal,0.47771,12,0.478,8,0.764
219,Trevenant,0.47771,12,0.478,5,0.477
220,Arceus-Ghost,0.47771,12,0.478,10,0.955
221,Hoopa-Unbound,0.47771,12,0.478,6,0.573
222,Glalie-Mega,0.47771,12,0.478,9,0.859
223,Rattata,0.47771,12,0.478,7,0.668
224,Kabutops,0.47771,12,0.478,3,0.286
225,Nidoking,0.47771,12,0.478,8,0.764
226,Ninjask,0.47771,12,0.478,4,0.382
227,Registeel,0.47771,12,0.478,6,0.573
228,Ludicolo,0.47771,12,0.478,6,0.573
229,Lycanroc-Midnight,0.43790,11,0.438,3,0.286
230,Eelektross,0.43790,11,0.438,7,0.668
231,Klefki,0.43790,11,0.438,4,0.382
232,Comfey,0.43790,11,0.438,4,0.382
233,Clawitzer,0.43790,11,0.438,7,0.668
234,Raikou,0.43790,11,0.438,5,0.477
235,Glaceon,0.43790,11,0.438,4,0.382
236,Passimian,0.43790,11,0.438,3,0.286
237,Persian-Alola,0.39809,10,0.398,1,0.095
238,Shiinotic,0.39809,10,0.398,3,0.286
239,Wailord,0.39809,10,0.398,6,0.573
240,Rhydon,0.39809,10,0.398,4,0.382
241,Hippopotas,0.39809,10,0.398,0,0.000
242,Drapion,0.39809,10,0.398,3,0.286
243,Magmortar,0.39809,10,0.398,3,0.286
244,Deoxys-Attack,0.39809,10,0.398,4,0.382
245,Silvally-Dragon,0.39809,10,0.398,3,0.286
246,Lurantis,0.39809,10,0.398,4,0.382
247,Lanturn,0.39809,10,0.398,3,0.286
248,Delphox,0.39809,10,0.398,6,0.573
249,Pidgeot,0.39809,10,0.398,4,0.382
250,Blissey,0.35828,9,0.358,4,0.382
251,Crawdaunt,0.35828,9,0.358,4,0.382
252,Camerupt,0.35828,9,0.358,3,0.286
253,Altaria,0.35828,9,0.358,3,0.286
254,Hitmonlee,0.35828,9,0.358,4,0.382
255,Aerodactyl,0.35828,9,0.358,3,0.286
256,Primeape,0.35828,9,0.358,5,0.477
257,Froslass,0.35828,9,0.358,6,0.573
258,Toucannon,0.35828,9,0.358,4,0.382
259,Tornadus-Therian,0.35828,9,0.358,6,0.573
260,Jellicent,0.35828,9,0.358,5,0.477
261,Rowlet,0.35828,9,0.358,1,0.095
262,Regice,0.35828,9,0.358,2,0.191
263,Exploud,0.31847,8,0.318,4,0.382
264,Seismitoad,0.31847,8,0.318,5,0.477
265,Floatzel,0.31847,8,0.318,2,0.191
266,Galvantula,0.31847,8,0.318,5,0.477
267,Tangrowth,0.31847,8,0.318,1,0.095
268,Cobalion,0.31847,8,0.318,3,0.286
269,Dedenne,0.31847,8,0.318,3,0.286
270,Lopunny,0.31847,8,0.318,4,0.382
271,Dialga,0.31847,8,0.318,7,0.668
272,Silvally,0.31847,8,0.318,2,0.191
273,Dhelmise,0.31847,8,0.318,3,0.286
274,Arbok,0.31847,8,0.318,5,0.477
275,Golduck,0.31847,8,0.318,5,0.477
276,Terrakion,0.31847,8,0.318,5,0.477
277,Palpitoad,0.31847,8,0.318,5,0.477
