 Total battles: 7957
 Avg. weight/team: 0.266
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Tomohawk,36.65696,3371,21.183,2428,21.743
2,Colossoil,32.06996,4090,25.701,2954,26.453
3,Crucibelle-Mega,21.41040,4638,29.144,3179,28.468
4,Cawmodore,21.27904,3809,23.935,2805,25.119
5,Volkraken,20.59268,2526,15.873,1744,15.618
6,Aurumoth,19.90166,3844,24.155,2307,20.659
7,Metagross-Mega,16.37957,1267,7.962,916,8.203
8,Cyclohm,14.46980,2856,17.946,1958,17.534
9,Stratagem,14.37912,2496,15.684,1838,16.459
10,Tapu Lele,14.32708,873,5.486,614,5.498
11,Kerfluffle,14.15936,2433,15.288,1673,14.982
12,Syclant,13.14431,2653,16.671,1751,15.680
13,Mollux,12.58685,1604,10.079,1125,10.074
14,Pyroak,12.07196,2228,14.000,1590,14.239
15,Fidgit,11.65051,1499,9.419,1254,11.230
16,Pheromosa,10.99562,676,4.248,487,4.361
17,Necturna,10.94913,1641,10.312,1190,10.657
18,Ferrothorn,10.69440,683,4.292,526,4.710
19,Landorus-Therian,10.23360,789,4.958,651,5.830
20,Plasmanta,10.06805,2232,14.025,1514,13.558
21,Kitsunoh,9.74065,1936,12.165,1436,12.860
22,Krilowatt,8.56271,1321,8.301,940,8.418
23,Tapu Fini,8.11918,577,3.626,383,3.430
24,Naviathan,7.83819,1645,10.337,1134,10.155
25,Celesteela,7.67579,615,3.865,461,4.128
26,Tapu Koko,7.51762,652,4.097,478,4.281
27,Malaconda,7.06243,1967,12.360,1271,11.382
28,Revenankh,6.82559,1642,10.318,1111,9.949
29,Dugtrio,6.57885,400,2.514,282,2.525
30,Scizor-Mega,6.22472,612,3.846,441,3.949
31,Tapu Bulu,6.03527,421,2.645,275,2.463
32,Chansey,5.99937,426,2.677,323,2.892
33,Magearna,5.95181,409,2.570,308,2.758
34,Pinsir-Mega,5.51256,393,2.470,264,2.364
35,Slowbro-Mega,5.09623,302,1.898,232,2.078
36,Garchomp,5.02206,557,3.500,410,3.672
37,Greninja-Ash,4.68752,1397,8.778,1081,9.680
38,Marowak-Alola,4.37131,477,2.997,361,3.233
39,Heatran,4.12823,318,1.998,231,2.069
40,Kartana,4.02999,408,2.564,260,2.328
41,Arghonaut,4.00777,1190,7.478,818,7.325
42,Gyarados,3.85240,296,1.860,204,1.827
43,Charizard-Mega-X,3.83115,1041,6.541,762,6.824
