 Total battles: 110027
 Avg. weight/team: 0.099
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Kricketot,0.85805,1854,0.778,66,0.180
2,Smeargle,0.85382,1832,0.769,285,0.777
3,Blastoise,0.85206,1828,0.767,505,1.377
4,Salamence,0.84787,1788,0.751,671,1.830
5,Magcargo,0.84752,1829,0.768,288,0.785
6,Marshadow,0.84236,1775,0.745,861,2.348
7,Electivire,0.84054,1886,0.792,525,1.431
8,Flygon,0.83827,1872,0.786,544,1.483
9,Reshiram,0.83584,1836,0.771,796,2.170
10,Swadloon,0.83567,1839,0.772,106,0.289
11,Exploud,0.83486,1796,0.754,440,1.200
12,Claydol,0.83411,1861,0.781,260,0.709
13,Aromatisse,0.83392,1821,0.765,253,0.690
14,Horsea,0.83205,1838,0.772,152,0.414
15,Archeops,0.83104,1853,0.778,418,1.140
16,Walrein,0.82999,1911,0.802,407,1.110
17,Rhyperior,0.82912,1792,0.752,517,1.410
18,Lunatone,0.82800,1842,0.773,219,0.597
19,Audino,0.82730,1752,0.736,170,0.464
20,Haxorus,0.82696,1778,0.747,616,1.680
21,Gumshoos,0.82641,1798,0.755,259,0.706
22,Jellicent,0.82543,1830,0.768,396,1.080
23,Cresselia,0.82474,1850,0.777,357,0.973
24,Larvitar,0.82344,1829,0.768,157,0.428
25,Trubbish,0.82298,1794,0.753,85,0.232
26,Gastrodon,0.82184,1780,0.747,413,1.126
27,Reuniclus,0.82170,1852,0.778,283,0.772
28,Turtonator,0.82026,1819,0.764,514,1.401
29,Togedemaru,0.81762,1865,0.783,282,0.769
30,Fletchinder,0.81660,1829,0.768,194,0.529
31,Tyrogue,0.81538,1803,0.757,109,0.297
32,Swirlix,0.81488,1787,0.750,114,0.311
33,Slugma,0.81453,1856,0.779,137,0.374
34,Tornadus,0.81338,1783,0.749,518,1.412
35,Clawitzer,0.81307,1793,0.753,505,1.377
36,Cubone,0.81204,1800,0.756,174,0.474
37,Hypno,0.81198,1777,0.746,230,0.627
38,Rhydon,0.81145,1826,0.767,396,1.080
39,Groudon,0.81141,1889,0.793,794,2.165
40,Garbodor,0.81112,1817,0.763,265,0.723
41,Eelektrik,0.80920,1815,0.762,272,0.742
42,Toxapex,0.80903,1836,0.771,464,1.265
43,Kingdra,0.80894,1807,0.759,462,1.260
44,Tapu Bulu,0.80816,1803,0.757,572,1.560
45,Drifblim,0.80815,1872,0.786,212,0.578
46,Vanillite,0.80738,1785,0.749,114,0.311
47,Slakoth,0.80694,1834,0.770,91,0.248
48,Octillery,0.80680,1774,0.745,385,1.050
49,Chinchou,0.80574,1785,0.749,181,0.494
50,Zorua,0.80539,1868,0.784,146,0.398
51,Silvally,0.80538,1905,0.800,534,1.456
52,Litten,0.80495,1786,0.750,187,0.510
53,Porygon,0.80453,1809,0.760,246,0.671
54,Pumpkaboo,0.80429,1846,0.775,185,0.504
55,Meowstic,0.80398,1864,0.783,219,0.597
56,Surskit,0.80391,1840,0.773,88,0.240
57,Krookodile,0.80362,1787,0.750,467,1.273
58,Kartana,0.80361,1788,0.751,639,1.742
59,Mantine,0.80338,1825,0.766,312,0.851
60,Magmortar,0.80332,1802,0.757,482,1.314
61,Duskull,0.80317,1755,0.737,100,0.273
62,Bunnelby,0.80311,1816,0.762,137,0.374
63,Seedot,0.80307,1840,0.773,85,0.232
64,Barbaracle,0.80302,1793,0.753,387,1.055
65,Kyogre,0.80263,1759,0.739,712,1.941
66,Genesect,0.80198,1857,0.780,719,1.960
67,Pyukumuku,0.80159,1830,0.768,117,0.319
68,Yveltal,0.80148,1769,0.743,664,1.810
69,Banette,0.80078,1882,0.790,294,0.802
70,Simisear,0.80076,1775,0.745,317,0.864
