 Total battles: 30201
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Groudon-Primal,31.96417,19307,31.964,11713,35.093
2,Kyogre-Primal,26.48422,15997,26.484,9194,27.546
3,Xerneas,24.56376,14837,24.564,7652,22.926
4,Rayquaza-Mega,20.31224,12269,20.312,6334,18.977
5,Magearna,10.80262,6525,10.803,3790,11.355
6,Darkrai,9.49472,5735,9.495,2966,8.886
7,Greninja-Ash,8.63713,5217,8.637,2861,8.572
8,Kangaskhan-Mega,7.71498,4660,7.715,2491,7.463
9,Mewtwo,7.70008,4651,7.700,2200,6.591
10,Zygarde,7.35075,4440,7.351,2537,7.601
11,Lunala,7.13718,4311,7.137,2369,7.098
12,Arceus,7.03785,4251,7.038,2385,7.146
13,Aegislash,6.01636,3634,6.016,2154,6.454
14,Eevee,5.99483,3621,5.995,1980,5.932
15,Yveltal,5.84914,3533,5.849,1981,5.935
16,Oranguru,5.81769,3514,5.818,2117,6.343
17,Ho-Oh,5.73160,3462,5.732,2122,6.358
18,Tapu Koko,5.66538,3422,5.665,1866,5.591
19,Solgaleo,5.65379,3415,5.654,1825,5.468
20,Smeargle,5.51968,3334,5.520,1872,5.609
21,Lugia,5.47664,3308,5.477,1820,5.453
22,Gengar-Mega,5.46340,3300,5.463,1761,5.276
23,Mimikyu,5.44187,3287,5.442,1902,5.699
24,Salamence-Mega,5.30115,3202,5.301,1734,5.195
25,Lucario-Mega,4.83593,2921,4.836,1512,4.530
26,Mew,4.77302,2883,4.773,1843,5.522
27,Shedinja,4.47502,2703,4.475,1543,4.623
28,Dialga,4.32436,2612,4.324,1539,4.611
29,Garchomp,4.25317,2569,4.253,1393,4.174
30,Tapu Lele,4.22171,2550,4.222,1394,4.177
31,Greninja,4.05119,2447,4.051,1319,3.952
32,Charizard-Mega-X,4.02139,2429,4.021,1356,4.063
33,Charizard-Mega-Y,3.92040,2368,3.920,1207,3.616
34,Tapu Fini,3.91709,2366,3.917,1397,4.186
35,Whimsicott,3.89722,2354,3.897,1167,3.496
36,Giratina-Origin,3.82769,2312,3.828,1373,4.114
37,Celesteela,3.56942,2156,3.569,1348,4.039
38,Kartana,3.55121,2145,3.551,1162,3.481
39,Zekrom,3.51147,2121,3.511,1141,3.419
40,Blaziken,3.48995,2108,3.490,1226,3.673
41,Palkia,3.42207,2067,3.422,1144,3.428
42,Arcanine,3.41048,2060,3.410,1258,3.769
43,Genesect,3.29294,1989,3.293,1138,3.410
44,Metagross-Mega,3.29128,1988,3.291,1188,3.559
45,Marowak-Alola,3.23168,1952,3.232,1206,3.613
46,Toxapex,3.01977,1824,3.020,1063,3.185
47,Volcarona,2.94361,1778,2.944,847,2.538
48,Muk-Alola,2.84924,1721,2.849,961,2.879
49,Alakazam-Mega,2.73004,1649,2.730,899,2.693
50,Arceus-Ghost,2.72508,1646,2.725,956,2.864
51,Ferrothorn,2.62409,1585,2.624,899,2.693
52,Shaymin-Sky,2.62243,1584,2.622,912,2.732
53,Golem-Alola,2.61581,1580,2.616,1048,3.140
54,Kyurem-White,2.49826,1509,2.498,874,2.619
55,Landorus-Therian,2.49329,1506,2.493,891,2.670
56,Deoxys-Attack,2.43038,1468,2.430,759,2.274
57,Xurkitree,2.31780,1400,2.318,771,2.310
58,Reshiram,2.24993,1359,2.250,737,2.208
59,Ninetales-Alola,2.19695,1327,2.197,677,2.028
60,Raichu-Alola,2.15887,1304,2.159,724,2.169
61,Audino,2.13569,1290,2.136,793,2.376
62,Togekiss,2.13404,1289,2.134,805,2.412
63,Dragonite,2.13072,1287,2.131,797,2.388
64,Cresselia,2.12245,1282,2.122,752,2.253
65,Weavile,2.08271,1258,2.083,689,2.064
66,Gardevoir,2.08106,1257,2.081,709,2.124
67,Sylveon,2.07775,1255,2.078,752,2.253
68,Tapu Bulu,2.07112,1251,2.071,696,2.085
69,Pheromosa,1.97676,1194,1.977,627,1.879
70,Hoopa-Unbound,1.95358,1180,1.954,662,1.983
71,Clefable,1.94861,1177,1.949,686,2.055
72,Comfey,1.90888,1153,1.909,601,1.801
73,Kyogre,1.90888,1153,1.909,691,2.070
74,Snorlax,1.90557,1151,1.906,702,2.103
75,Venusaur-Mega,1.88404,1138,1.884,649,1.944
76,Gyarados-Mega,1.82941,1105,1.829,622,1.864
77,Tyranitar,1.80789,1092,1.808,608,1.822
78,Espeon,1.80789,1092,1.808,577,1.729
79,Pelipper,1.73670,1049,1.737,575,1.723
80,Shuckle,1.69862,1026,1.699,598,1.792
81,Serperior,1.68869,1020,1.689,541,1.621
82,Clefairy,1.62909,984,1.629,638,1.912
83,Scizor-Mega,1.62412,981,1.624,577,1.729
84,Chansey,1.61418,975,1.614,573,1.717
85,Jirachi,1.60260,968,1.603,585,1.753
86,Linoone,1.58770,959,1.588,720,2.157
87,Decidueye,1.58107,955,1.581,576,1.726
88,Sableye-Mega,1.51485,915,1.515,507,1.519
89,Victini,1.50161,907,1.502,467,1.399
90,Arceus-Steel,1.47677,892,1.477,487,1.459
91,Bronzong,1.46518,885,1.465,437,1.309
92,Araquanid,1.46022,882,1.460,539,1.615
93,Zapdos,1.44863,875,1.449,500,1.498
94,Gastrodon,1.44035,870,1.440,541,1.621
95,Hitmontop,1.39730,844,1.397,578,1.732
96,Porygon-Z,1.34764,814,1.348,481,1.441
97,Ditto,1.33439,806,1.334,456,1.366
98,Deoxys-Defense,1.27479,770,1.275,377,1.130
99,Landorus,1.26817,766,1.268,400,1.198
100,Porygon2,1.22678,741,1.227,402,1.204
101,Oricorio-Pom-Pom,1.21354,733,1.214,403,1.207
102,Primarina,1.19864,724,1.199,426,1.276
103,Giratina,1.19698,723,1.197,436,1.306
104,Venusaur,1.19367,721,1.194,484,1.450
105,Lickilicky,1.18042,713,1.180,424,1.270
106,Raichu,1.16884,706,1.169,417,1.249
107,Kyurem-Black,1.15890,700,1.159,394,1.180
108,Latios,1.15559,698,1.156,372,1.115
109,Scolipede,1.14566,692,1.146,422,1.264
110,Talonflame,1.14566,692,1.146,392,1.174
111,Incineroar,1.14400,691,1.144,433,1.297
112,Rotom-Wash,1.13572,686,1.136,418,1.252
113,Buzzwole,1.12413,679,1.124,387,1.159
114,Gengar,1.11917,676,1.119,358,1.073
115,Umbreon,1.09268,660,1.093,376,1.127
116,Spinda,1.08937,658,1.089,394,1.180
117,Thundurus-Therian,1.08606,656,1.086,363,1.088
118,Sceptile,1.07943,652,1.079,350,1.049
119,Salamence,1.04963,634,1.050,363,1.088
120,Noivern,1.04632,632,1.046,352,1.055
121,Gyarados,1.04301,630,1.043,381,1.142
122,Infernape,1.04301,630,1.043,348,1.043
123,Jolteon,1.03805,627,1.038,360,1.079
124,Gliscor,1.02646,620,1.026,384,1.151
125,Golduck,1.02149,617,1.021,365,1.094
126,Excadrill,1.01652,614,1.017,350,1.049
127,Manaphy,1.01487,613,1.015,349,1.046
128,Salazzle,1.00493,607,1.005,246,0.737
