 Total battles: 54172
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Pikipek,0.81592,884,0.816,608,0.806
2,Wimpod,0.81315,881,0.813,603,0.799
3,Buneary,0.81038,878,0.810,615,0.815
4,Meditite,0.80854,876,0.809,615,0.815
5,Slurpuff,0.80761,875,0.808,604,0.800
6,Sawsbuck,0.80761,875,0.808,603,0.799
7,Meloetta,0.80669,874,0.807,599,0.794
8,Morelull,0.80577,873,0.806,597,0.791
9,Kingdra,0.80300,870,0.803,622,0.824
10,Spearow,0.80207,869,0.802,597,0.791
11,Golbat,0.80207,869,0.802,627,0.831
12,Xerneas,0.80115,868,0.801,619,0.820
13,Wooper,0.80023,867,0.800,589,0.780
14,Paras,0.80023,867,0.800,571,0.757
15,Smoochum,0.80023,867,0.800,566,0.750
16,Barbaracle,0.80023,867,0.800,596,0.790
17,Druddigon,0.79931,866,0.799,609,0.807
18,Ralts,0.79931,866,0.799,586,0.776
19,Throh,0.79931,866,0.799,607,0.804
20,Lilligant,0.79931,866,0.799,597,0.791
21,Talonflame,0.79931,866,0.799,625,0.828
22,Psyduck,0.79838,865,0.798,579,0.767
23,Toxapex,0.79838,865,0.798,624,0.827
24,Tepig,0.79746,864,0.797,606,0.803
25,Suicune,0.79746,864,0.797,615,0.815
26,Scatterbug,0.79746,864,0.797,582,0.771
27,Pyroar,0.79654,863,0.797,608,0.806
28,Tornadus,0.79561,862,0.796,608,0.806
29,Tropius,0.79561,862,0.796,581,0.770
30,Lopunny,0.79561,862,0.796,599,0.794
31,Ekans,0.79561,862,0.796,596,0.790
32,Pikachu,0.79469,861,0.795,587,0.778
33,Kakuna,0.79469,861,0.795,598,0.792
34,Magnemite,0.79377,860,0.794,594,0.787
35,Skuntank,0.79377,860,0.794,594,0.787
36,Deino,0.79377,860,0.794,588,0.779
37,Snorunt,0.79285,859,0.793,558,0.739
38,Latios,0.79285,859,0.793,597,0.791
39,Politoed,0.79285,859,0.793,608,0.806
40,Dewgong,0.79285,859,0.793,601,0.796
41,Shelgon,0.79192,858,0.792,594,0.787
42,Passimian,0.79100,857,0.791,589,0.780
43,Articuno,0.79100,857,0.791,600,0.795
44,Bayleef,0.79008,856,0.790,606,0.803
45,Heatmor,0.79008,856,0.790,594,0.787
46,Bidoof,0.79008,856,0.790,604,0.800
47,Spinarak,0.79008,856,0.790,578,0.766
48,Xurkitree,0.78915,855,0.789,600,0.795
49,Swadloon,0.78915,855,0.789,616,0.816
50,Cryogonal,0.78915,855,0.789,584,0.774
51,Azurill,0.78823,854,0.788,589,0.780
52,Alakazam,0.78823,854,0.788,591,0.783
53,Salandit,0.78823,854,0.788,621,0.823
54,Jellicent,0.78823,854,0.788,615,0.815
55,Sliggoo,0.78823,854,0.788,599,0.794
56,Azelf,0.78731,853,0.787,588,0.779
57,Umbreon,0.78731,853,0.787,623,0.826
58,Zigzagoon,0.78731,853,0.787,605,0.802
59,Croconaw,0.78731,853,0.787,572,0.758
60,Gothita,0.78638,852,0.786,557,0.738
61,Solosis,0.78638,852,0.786,626,0.829
62,Incineroar,0.78546,851,0.785,598,0.792
63,Horsea,0.78546,851,0.785,580,0.769
64,Rowlet,0.78454,850,0.785,578,0.766
65,Taillow,0.78454,850,0.785,590,0.782
66,Medicham,0.78454,850,0.785,597,0.791
67,Pineco,0.78454,850,0.785,571,0.757
68,Tynamo,0.78454,850,0.785,613,0.812
69,Cubchoo,0.78362,849,0.784,555,0.735
70,Blitzle,0.78362,849,0.784,602,0.798
71,Glameow,0.78362,849,0.784,588,0.779
72,Charizard,0.78362,849,0.784,620,0.822
73,Electivire,0.78362,849,0.784,594,0.787
74,Mandibuzz,0.78269,848,0.783,589,0.780
75,Larvitar,0.78269,848,0.783,581,0.770
76,Infernape,0.78269,848,0.783,585,0.775
77,Kangaskhan,0.78269,848,0.783,586,0.776
78,Clauncher,0.78269,848,0.783,572,0.758
79,Hypno,0.78269,848,0.783,595,0.788
80,Litwick,0.78269,848,0.783,608,0.806
81,Gligar,0.78177,847,0.782,606,0.803
82,Spoink,0.78177,847,0.782,547,0.725
83,Aurorus,0.78177,847,0.782,571,0.757
84,Flabebe,0.78177,847,0.782,569,0.754
