 Total battles: 32154
 Avg. weight/team: 0.57
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Kartana,31.74592,19126,29.741,14078,29.626
2,Pheromosa,31.20559,19148,29.775,14609,30.743
3,Celesteela,20.77967,11821,18.382,9454,19.895
4,Heatran,16.01674,9208,14.319,6819,14.350
5,Chansey,15.96424,9155,14.236,6888,14.495
6,Tapu Koko,15.41100,9450,14.695,7379,15.528
7,Hoopa-Unbound,13.78614,8275,12.868,5763,12.128
8,Garchomp,13.12720,7942,12.350,5828,12.264
9,Pinsir-Mega,12.86944,7467,11.611,5058,10.644
10,Tapu Fini,12.46397,6698,10.416,5238,11.023
11,Xurkitree,12.41791,7729,12.019,5741,12.081
12,Suicune,12.26775,7202,11.199,5488,11.549
13,Buzzwole,11.68804,6102,9.489,4695,9.880
14,Landorus-Therian,10.67714,6110,9.501,4546,9.567
15,Gyarados-Mega,10.61510,5361,8.336,3847,8.096
16,Snorlax,10.49493,5752,8.944,4393,9.245
17,Magearna,9.18741,5312,8.260,4096,8.620
18,Cresselia,9.03312,5056,7.862,3822,8.043
19,Archeops,8.79397,5941,9.238,4400,9.259
20,Alakazam,8.66289,5347,8.315,3500,7.365
21,Metagross-Mega,8.38858,4774,7.424,3382,7.117
22,Muk-Alola,8.22316,4872,7.576,3856,8.115
23,Doublade,7.96864,3957,6.153,3111,6.547
24,Terrakion,7.87442,4794,7.455,3478,7.319
25,Alakazam-Mega,7.66455,5173,8.044,3445,7.250
26,Swampert,6.93837,3919,6.094,3191,6.715
27,Keldeo,6.62679,3615,5.621,2608,5.488
28,Gengar,6.41053,4046,6.292,2846,5.989
29,Weavile,5.97680,3886,6.043,2953,6.214
30,Ferrothorn,5.18575,3105,4.828,2504,5.269
31,Zapdos,4.85398,2864,4.454,2209,4.649
32,Tyranitar,4.72343,3231,5.024,2298,4.836
33,Marowak-Alola,4.71732,2954,4.594,2242,4.718
34,Blissey,4.36131,2938,4.569,2094,4.407
35,Thundurus-Therian,4.21842,2953,4.592,2218,4.668
36,Raikou,4.14995,2217,3.447,1723,3.626
37,Salazzle,4.01730,2827,4.396,2058,4.331
38,Jolteon,3.92941,2700,4.199,2143,4.510
39,Registeel,3.76194,2497,3.883,2014,4.238
40,Latios,3.55056,2350,3.654,1584,3.333
41,Bewear,3.47204,2359,3.668,1681,3.538
42,Glalie-Mega,3.43872,2260,3.514,1554,3.270
43,Guzzlord,3.43526,2211,3.438,1658,3.489
44,Kyurem,3.23558,1995,3.102,1439,3.028
45,Toxapex,3.18182,2210,3.437,1668,3.510
46,Thundurus,3.14809,1815,2.822,1348,2.837
47,Venusaur-Mega,2.91895,1873,2.913,1460,3.072
48,Golisopod,2.90120,2064,3.210,1614,3.397
49,Aerodactyl,2.83270,1849,2.875,1533,3.226
50,Shuckle,2.81025,2153,3.348,1700,3.577
51,Tapu Lele,2.73608,1754,2.727,1201,2.527
52,Garchomp-Mega,2.71182,1806,2.808,1267,2.666
53,Nihilego,2.67763,1945,3.025,1401,2.948
54,Ninjask,2.66165,1864,2.899,1640,3.451
55,Skarmory,2.63843,1617,2.514,1319,2.776
56,Charizard-Mega-Y,2.58574,1666,2.591,1239,2.607
57,Charizard-Mega-X,2.57643,1559,2.424,1151,2.422
58,Type: Null,2.57470,1562,2.429,1258,2.647
59,Hydreigon,2.55380,1565,2.434,1172,2.466
60,Mandibuzz,2.53165,1238,1.925,989,2.081
61,Porygon-Z,2.46809,1681,2.614,1222,2.572
62,Sceptile,2.43451,1816,2.824,1238,2.605
63,Kommo-o,2.35643,1571,2.443,1131,2.380
64,Magnezone,2.28101,1767,2.748,1391,2.927
65,Tapu Bulu,2.22034,1601,2.490,1141,2.401
66,Scizor,2.21044,1424,2.214,1143,2.405
67,Chandelure,2.12939,1697,2.639,1308,2.753
