 Total battles: 226314
 Avg. weight/team: 0.563
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Magearna,9.68463,33486,7.398,23936,7.318
2,Heatran,9.57053,33826,7.473,25816,7.893
3,Volcarona,9.21162,38678,8.545,26106,7.982
4,Tapu Koko,8.75865,31971,7.063,25596,7.826
5,Scizor-Mega,8.63103,32453,7.170,22117,6.762
6,Venusaur-Mega,8.12525,33857,7.480,24770,7.573
7,Excadrill,8.09620,27934,6.172,19908,6.087
8,Skarmory,7.94086,28904,6.386,23864,7.296
9,Muk-Alola,7.72522,31846,7.036,23806,7.279
10,Celesteela,7.41453,26030,5.751,19517,5.967
11,Mimikyu,7.37403,35144,7.764,24877,7.606
12,Charizard-Mega-Y,7.16563,28779,6.358,20929,6.399
13,Dragonite,7.11319,27777,6.137,19435,5.942
14,Zapdos,6.79818,24121,5.329,18001,5.504
15,Toxapex,6.73820,29617,6.543,22727,6.949
16,Ferrothorn,6.41069,25197,5.567,20617,6.303
17,Greninja,6.12626,26075,5.761,18261,5.583
18,Nihilego,6.07204,22897,5.059,16864,5.156
19,Azumarill,5.99449,22914,5.062,16101,4.923
20,Galvantula,5.93208,24022,5.307,19756,6.040
21,Sableye-Mega,5.43719,24661,5.448,19828,6.062
22,Tapu Bulu,5.33211,19364,4.278,12934,3.954
23,Araquanid,5.30978,22887,5.056,15714,4.804
24,Infernape,5.21285,20752,4.585,15740,4.812
25,Tyranitar,5.14902,21323,4.711,16172,4.944
26,Hydreigon,5.10063,22259,4.918,15629,4.778
27,Mamoswine,5.09788,21930,4.845,16300,4.984
28,Togekiss,5.06800,20728,4.579,14505,4.435
29,Kyurem-Black,4.99667,17461,3.858,12488,3.818
30,Ninetales-Alola,4.88699,23595,5.213,19136,5.851
31,Rotom-Wash,4.87746,19742,4.362,15152,4.633
32,Garchomp,4.82585,19372,4.280,15066,4.606
33,Landorus-Therian,4.81802,16397,3.623,12848,3.928
34,Magnezone,4.78208,19279,4.259,13508,4.130
35,Nidoking,4.75332,19531,4.315,14098,4.310
36,Gengar,4.73029,22466,4.963,15081,4.611
37,Volcanion,4.67038,17329,3.829,12456,3.808
38,Marowak-Alola,4.57196,21769,4.809,15538,4.751
39,Victini,4.50792,16269,3.594,11807,3.610
40,Breloom,4.33934,18372,4.059,13241,4.048
41,Pinsir-Mega,4.32898,16511,3.648,10903,3.334
42,Staraptor,4.25522,17656,3.901,12720,3.889
43,Mandibuzz,3.99775,15296,3.379,11171,3.415
44,Jirachi,3.98450,14224,3.143,10171,3.110
45,Terrakion,3.95682,13665,3.019,8965,2.741
46,Buzzwole,3.91677,14502,3.204,9853,3.012
47,Raichu-Alola,3.90518,16858,3.724,11764,3.597
48,Crobat,3.87723,16796,3.711,12032,3.679
49,Pelipper,3.85143,17243,3.810,14835,4.536
50,Latios,3.80407,13877,3.066,9427,2.882
51,Keldeo,3.78449,13460,2.974,9183,2.808
52,Torkoal,3.78218,14513,3.206,12764,3.902
53,Weavile,3.75321,19935,4.404,13667,4.179
54,Cradily,3.71698,15130,3.343,11203,3.425
55,Tapu Fini,3.69730,14850,3.281,10771,3.293
56,Kingdra,3.48126,17020,3.760,12049,3.684
57,Bisharp,3.47203,15692,3.467,10671,3.263
58,Hippowdon,3.40755,12152,2.685,10692,3.269
