 Total battles: 804373
 Avg. weight/team: 0.053
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Landorus-Therian,43.73734,411501,25.579,345696,28.808
2,Metagross-Mega,31.44045,280466,17.434,204415,17.034
3,Tapu Fini,26.08509,270461,16.812,214461,17.872
4,Pheromosa,22.05219,214597,13.339,161271,13.439
5,Tapu Lele,19.48642,217901,13.545,150054,12.504
6,Greninja-Ash,18.55772,251042,15.605,186220,15.518
7,Ferrothorn,18.45359,211905,13.172,179618,14.968
8,Garchomp,18.15170,226485,14.078,171033,14.253
9,Tapu Koko,14.47977,208941,12.988,156476,13.040
10,Magearna,14.27064,127953,7.954,96908,8.076
11,Heatran,12.01296,163012,10.133,131184,10.932
12,Greninja,11.87271,125460,7.799,92274,7.689
13,Excadrill,11.87090,154329,9.593,115305,9.609
14,Toxapex,11.05010,150267,9.341,113974,9.498
15,Celesteela,10.55068,151554,9.421,116549,9.712
16,Skarmory,9.93738,117729,7.318,96643,8.054
17,Magnezone,9.02073,128320,7.976,99047,8.254
18,Scizor-Mega,8.86367,124129,7.716,93304,7.775
19,Chansey,8.23610,93270,5.798,69677,5.806
20,Marowak-Alola,8.00662,165675,10.298,123850,10.321
21,Tangrowth,7.97474,78561,4.883,59842,4.987
22,Volcarona,7.54636,115245,7.164,82339,6.862
23,Zygarde,7.49934,50068,3.112,37209,3.101
24,Tapu Bulu,7.26933,105797,6.576,75889,6.324
25,Hoopa-Unbound,6.92813,69096,4.295,46850,3.904
26,Sableye-Mega,6.57438,64721,4.023,55752,4.646
27,Charizard-Mega-X,6.57033,136303,8.473,98906,8.242
28,Charizard-Mega-Y,6.49583,127519,7.927,97567,8.131
29,Kartana,6.44872,106574,6.625,75230,6.269
30,Nihilego,5.99731,76825,4.775,59151,4.929
31,Pinsir-Mega,5.86780,69598,4.326,47346,3.945
32,Rotom-Wash,5.76903,103349,6.424,84144,7.012
33,Tyranitar,5.76775,104075,6.469,80809,6.734
34,Mimikyu,5.67331,138016,8.579,95223,7.935
35,Latios,5.60766,88230,5.484,59977,4.998
36,Venusaur-Mega,5.04191,99165,6.164,74599,6.217
37,Scolipede,5.00800,57771,3.591,46427,3.869
38,Gengar,4.80570,58688,3.648,40406,3.367
39,Mamoswine,4.78521,85442,5.311,70743,5.895
40,Muk-Alola,4.51039,90967,5.655,68454,5.704
41,Clefable,4.50041,49273,3.063,34486,2.874
42,Xurkitree,4.47406,74884,4.655,51942,4.328
43,Zapdos,4.40317,65957,4.100,51557,4.296
44,Manaphy,4.25513,39508,2.456,27289,2.274
45,Gyarados-Mega,3.61213,71417,4.439,52642,4.387
46,Keldeo,3.54221,30931,1.923,22955,1.913
47,Salamence,3.42328,65007,4.041,44441,3.703
48,Buzzwole,3.40615,60307,3.749,41722,3.477
49,Alakazam-Mega,3.25409,79946,4.969,52410,4.367
50,Pelipper,3.09137,61076,3.796,54053,4.504
51,Jirachi,3.02943,47097,2.928,35267,2.939
52,Gyarados,3.02776,41509,2.580,31689,2.641
53,Dragonite,2.84991,70254,4.367,48890,4.074
54,Thundurus-Therian,2.68508,38147,2.371,29167,2.431
55,Serperior,2.66134,58948,3.664,41980,3.498
56,Hippowdon,2.57766,26654,1.657,22648,1.887
57,Weavile,2.26330,51494,3.201,36196,3.016
58,Kyurem-Black,2.13000,35369,2.199,25048,2.087
59,Kingdra,2.10530,37485,2.330,26931,2.244
60,Bisharp,2.07919,29698,1.846,20775,1.731
61,Terrakion,2.04393,22983,1.429,16184,1.349
62,Hydreigon,2.00514,32599,2.026,23830,1.986
63,Quagsire,1.99046,17687,1.099,12981,1.082
64,Victini,1.89478,32312,2.009,25062,2.088
65,Tornadus-Therian,1.84262,24739,1.538,18733,1.561
66,Azelf,1.68173,17763,1.104,16877,1.406
67,Porygon-Z,1.54708,46060,2.863,31285,2.607
68,Azumarill,1.52944,31325,1.947,23359,1.947
69,Thundurus,1.45387,15952,0.992,12015,1.001
70,Diglett,1.45180,4489,0.279,2972,0.248
71,Sharpedo-Mega,1.37261,15794,0.982,10210,0.851
72,Mandibuzz,1.35870,28415,1.766,21542,1.795
73,Mantine,1.29855,20624,1.282,16184,1.349
74,Tentacruel,1.28395,22048,1.371,16900,1.408
75,Bronzong,1.26532,15138,0.941,12844,1.070
76,Breloom,1.18799,33234,2.066,23979,1.998
77,Ditto,1.16275,16336,1.015,11921,0.993
78,Smeargle,1.12737,19998,1.243,17727,1.477
79,Amoonguss,1.09804,12659,0.787,9521,0.793
80,Alomomola,1.06912,8469,0.526,6462,0.538
81,Porygon2,1.04795,30681,1.907,23508,1.959
82,Gastrodon,1.03492,24784,1.541,19072,1.589
83,Reuniclus,1.02907,16220,1.008,10637,0.886
84,Mew,1.02386,20260,1.259,15616,1.301
85,Gliscor,1.01021,41506,2.580,31515,2.626
86,Starmie,0.99529,26446,1.644,18613,1.551
87,Togekiss,0.96291,24708,1.536,17282,1.440
88,Nidoking,0.95419,20731,1.289,15518,1.293
89,Scizor,0.92172,22953,1.427,16896,1.408
90,Shedinja,0.91588,8665,0.539,5961,0.497
91,Primarina,0.90798,23763,1.477,17588,1.466
92,Ninetales-Alola,0.90579,34616,2.152,26880,2.240
93,Necrozma,0.90541,13541,0.842,10245,0.854
94,Chandelure,0.84390,25070,1.558,18327,1.527
95,Zygarde-10,0.81794,10922,0.679,7706,0.642
96,Volcanion,0.81333,16942,1.053,13056,1.088
97,Latias,0.74524,17631,1.096,11804,0.984
98,Staraptor,0.74277,28098,1.747,20028,1.669
99,Salazzle,0.70717,37978,2.361,27289,2.274
100,Galvantula,0.70629,22096,1.373,19332,1.611
101,Cloyster,0.69222,31392,1.951,22625,1.885
102,Goodra,0.68937,36638,2.277,26637,2.220
103,Seismitoad,0.68873,8424,0.524,6812,0.568
