 Total battles: 65
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Azumarill,26.92308,35,26.923,23,22.848
2,Marowak-Alola,23.07692,30,23.077,24,23.841
3,Porygon-Z,20.00000,26,20.000,17,16.887
4,Conkeldurr,19.23077,25,19.231,17,16.887
5,Clefable,19.23077,25,19.231,20,19.868
6,Cinccino,16.92308,22,16.923,17,16.887
7,Pelipper,16.92308,22,16.923,19,18.874
8,Goodra,16.92308,22,16.923,19,18.874
9,Salamence,13.07692,17,13.077,12,11.921
10,Yanmega,13.07692,17,13.077,14,13.907
11,Toxapex,12.30769,16,12.308,14,13.907
12,Golurk,10.00000,13,10.000,12,11.921
13,Gyarados-Mega,9.23077,12,9.231,11,10.927
14,Metagross-Mega,9.23077,12,9.231,8,7.947
15,Ursaring,9.23077,12,9.231,10,9.934
16,Tapu Lele,9.23077,12,9.231,9,8.940
17,Tapu Koko,9.23077,12,9.231,10,9.934
18,Gigalith,9.23077,12,9.231,11,10.927
19,Mienshao,9.23077,12,9.231,10,9.934
20,Kingdra,9.23077,12,9.231,9,8.940
21,Magnezone,8.46154,11,8.462,8,7.947
22,Bronzong,7.69231,10,7.692,8,7.947
23,Hippowdon,7.69231,10,7.692,8,7.947
24,Gliscor,6.92308,9,6.923,6,5.960
25,Kommo-o,6.92308,9,6.923,8,7.947
26,Scrafty,6.92308,9,6.923,7,6.954
27,Landorus-Therian,6.92308,9,6.923,8,7.947
28,Jirachi,6.92308,9,6.923,8,7.947
29,Exeggutor,6.15385,8,6.154,6,5.960
30,Politoed,6.15385,8,6.154,7,6.954
31,Greninja,6.15385,8,6.154,5,4.967
32,Alomomola,6.15385,8,6.154,7,6.954
33,Muk-Alola,6.15385,8,6.154,7,6.954
34,Galvantula,6.15385,8,6.154,8,7.947
35,Stoutland,5.38462,7,5.385,7,6.954
36,Ferrothorn,5.38462,7,5.385,7,6.954
37,Seismitoad,5.38462,7,5.385,4,3.974
38,Mandibuzz,4.61538,6,4.615,5,4.967
39,Volcarona,4.61538,6,4.615,5,4.967
40,Snorlax,4.61538,6,4.615,5,4.967
41,Tapu Bulu,4.61538,6,4.615,6,5.960
42,Reuniclus,4.61538,6,4.615,5,4.967
43,Blissey,4.61538,6,4.615,4,3.974
44,Honchkrow,4.61538,6,4.615,5,4.967
45,Tapu Fini,4.61538,6,4.615,6,5.960
46,Ditto,3.84615,5,3.846,2,1.987
47,Arcanine,3.84615,5,3.846,4,3.974
48,Charizard-Mega-Y,3.84615,5,3.846,5,4.967
49,Rotom-Wash,3.84615,5,3.846,3,2.980
50,Scizor-Mega,3.84615,5,3.846,3,2.980
51,Torkoal,3.84615,5,3.846,5,4.967
52,Comfey,3.84615,5,3.846,4,3.974
53,Lycanroc-Midnight,3.84615,5,3.846,3,2.980
54,Bruxish,3.84615,5,3.846,2,1.987
55,Tsareena,3.84615,5,3.846,3,2.980
56,Togekiss,3.07692,4,3.077,2,1.987
57,Araquanid,3.07692,4,3.077,4,3.974
58,Porygon2,3.07692,4,3.077,3,2.980
59,Lanturn,3.07692,4,3.077,3,2.980
60,Heliolisk,3.07692,4,3.077,3,2.980
61,Alakazam,3.07692,4,3.077,3,2.980
62,Dugtrio,3.07692,4,3.077,3,2.980
63,Miltank,3.07692,4,3.077,3,2.980
64,Mimikyu,2.30769,3,2.308,2,1.987
65,Machamp,2.30769,3,2.308,3,2.980
66,Mantine,2.30769,3,2.308,3,2.980
67,Serperior,2.30769,3,2.308,2,1.987
68,Gothitelle,2.30769,3,2.308,3,2.980
69,Charizard-Mega-X,2.30769,3,2.308,2,1.987
70,Zygarde,2.30769,3,2.308,2,1.987
71,Heracross,2.30769,3,2.308,1,0.993
72,Masquerain,2.30769,3,2.308,2,1.987
73,Dragonite,2.30769,3,2.308,3,2.980
74,Breloom,2.30769,3,2.308,2,1.987
75,Vanilluxe,2.30769,3,2.308,2,1.987
76,Smeargle,2.30769,3,2.308,3,2.980
77,Nidoking,2.30769,3,2.308,3,2.980
78,Tropius,2.30769,3,2.308,3,2.980
79,Sigilyph,2.30769,3,2.308,1,0.993
80,Shiftry,2.30769,3,2.308,1,0.993
81,Tangrowth,2.30769,3,2.308,2,1.987
82,Latias,2.30769,3,2.308,1,0.993
83,Emboar,1.53846,2,1.538,1,0.993
84,Raticate,1.53846,2,1.538,1,0.993
85,Aggron,1.53846,2,1.538,1,0.993
86,Mamoswine,1.53846,2,1.538,0,0.000
87,Relicanth,1.53846,2,1.538,2,1.987
88,Pinsir-Mega,1.53846,2,1.538,1,0.993
89,Scyther,1.53846,2,1.538,2,1.987
90,Feraligatr,1.53846,2,1.538,1,0.993
91,Quagsire,1.53846,2,1.538,2,1.987
92,Staraptor,1.53846,2,1.538,1,0.993
93,Braviary,1.53846,2,1.538,2,1.987
94,Lickilicky,1.53846,2,1.538,1,0.993
95,Greninja-Ash,1.53846,2,1.538,2,1.987
96,Leavanny,1.53846,2,1.538,2,1.987
97,Sceptile,1.53846,2,1.538,1,0.993
98,Ninetales-Alola,1.53846,2,1.538,2,1.987
99,Beartic,1.53846,2,1.538,2,1.987
100,Gumshoos,1.53846,2,1.538,2,1.987
101,Raichu-Alola,0.76923,1,0.769,1,0.993
102,Xurkitree,0.76923,1,0.769,1,0.993
103,Mew,0.76923,1,0.769,1,0.993
104,Diggersby,0.76923,1,0.769,1,0.993
105,Magearna,0.76923,1,0.769,0,0.000
106,Garchomp,0.76923,1,0.769,1,0.993
107,Persian-Alola,0.76923,1,0.769,1,0.993
108,Vikavolt,0.76923,1,0.769,1,0.993
109,Krookodile,0.76923,1,0.769,1,0.993
