 Total battles: 369322
 Avg. weight/team: 0.691
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Mimikyu,1.40733,10288,1.393,0,0.000
2,Froslass,1.38037,10231,1.385,0,0.000
3,Magearna,1.37752,10063,1.362,0,0.000
4,Ninetales-Alola,1.37594,10093,1.366,0,0.000
5,Crabominable,1.37284,10081,1.365,0,0.000
6,Mamoswine,1.37197,10116,1.370,0,0.000
7,Krookodile,1.37177,10114,1.369,0,0.000
8,Ninetales,1.37113,10015,1.356,0,0.000
9,Torkoal,1.36837,10070,1.363,0,0.000
10,Heatran,1.36666,10108,1.368,0,0.000
11,Golem-Alola,1.36410,10011,1.355,0,0.000
12,Registeel,1.36116,10135,1.372,0,0.000
13,Magnezone,1.36071,10023,1.357,0,0.000
14,Nidoking,1.36069,9965,1.349,0,0.000
15,Weavile,1.35919,10009,1.355,0,0.000
16,Shedinja,1.35882,10004,1.354,0,0.000
17,Mismagius,1.35877,10047,1.360,0,0.000
18,Terrakion,1.35848,10042,1.360,0,0.000
19,Nihilego,1.35785,9976,1.351,0,0.000
20,Delphox,1.35752,9980,1.351,0,0.000
21,Diggersby,1.35692,9989,1.352,0,0.000
22,Vanilluxe,1.35569,9915,1.342,0,0.000
23,Cofagrigus,1.35537,10041,1.359,0,0.000
24,Sandslash-Alola,1.35525,10050,1.361,0,0.000
25,Skuntank,1.35525,10113,1.369,0,0.000
26,Rampardos,1.35493,9932,1.345,0,0.000
27,Dialga,1.35448,10027,1.357,0,0.000
28,Lycanroc-Midnight,1.35410,10049,1.360,0,0.000
29,Bisharp,1.35200,9951,1.347,0,0.000
30,Cryogonal,1.35170,9955,1.348,0,0.000
31,Turtonator,1.35123,10001,1.354,0,0.000
32,Klinklang,1.35095,9915,1.342,0,0.000
33,Aurorus,1.35043,9944,1.346,0,0.000
34,Ribombee,1.35036,9949,1.347,0,0.000
35,Doublade,1.35013,9973,1.350,0,0.000
36,Druddigon,1.34975,10017,1.356,0,0.000
37,Muk-Alola,1.34966,9969,1.350,0,0.000
38,Zygarde,1.34941,9799,1.327,0,0.000
39,Zygarde-10,1.34904,9912,1.342,0,0.000
40,Dedenne,1.34857,10017,1.356,0,0.000
41,Solrock,1.34857,9883,1.338,0,0.000
42,Infernape,1.34855,9979,1.351,0,0.000
43,Golurk,1.34847,9983,1.352,0,0.000
44,Arbok,1.34757,9950,1.347,0,0.000
45,Hydreigon,1.34755,9952,1.347,0,0.000
46,Victini,1.34720,9864,1.335,0,0.000
47,Giratina-Origin,1.34702,10001,1.354,0,0.000
48,Kartana,1.34656,9821,1.330,0,0.000
49,Guzzlord,1.34650,9944,1.346,0,0.000
50,Tapu Koko,1.34637,9888,1.339,0,0.000
51,Kyurem,1.34611,9967,1.349,0,0.000
52,Spiritomb,1.34589,9954,1.348,0,0.000
53,Gigalith,1.34543,9955,1.348,0,0.000
54,Cradily,1.34498,9860,1.335,0,0.000
55,Mudsdale,1.34414,9890,1.339,0,0.000
56,Drapion,1.34337,9937,1.345,0,0.000
57,Seviper,1.34332,9962,1.349,0,0.000
58,Aegislash,1.34317,9866,1.336,0,0.000
59,Haxorus,1.34278,9941,1.346,0,0.000
60,Togedemaru,1.34275,9970,1.350,0,0.000
61,Klefki,1.34232,9876,1.337,0,0.000
62,Scrafty,1.34202,9901,1.340,0,0.000
63,Muk,1.34173,9929,1.344,0,0.000
64,Tapu Bulu,1.34171,9852,1.334,0,0.000
65,Palossand,1.34171,9998,1.354,0,0.000
66,Dugtrio-Alola,1.34166,9837,1.332,0,0.000
67,Magcargo,1.34151,9839,1.332,0,0.000
68,Raticate-Alola,1.34127,9822,1.330,0,0.000
69,Umbreon,1.34108,9906,1.341,0,0.000
70,Sudowoodo,1.34101,9994,1.353,0,0.000
71,Kommo-o,1.34056,9965,1.349,0,0.000
72,Wormadam-Sandy,1.34036,9886,1.338,0,0.000
73,Tyrantrum,1.33993,9960,1.348,0,0.000
74,Crustle,1.33862,9863,1.335,0,0.000
75,Toxicroak,1.33843,9889,1.339,0,0.000
76,Dhelmise,1.33834,9945,1.346,0,0.000
77,Regice,1.33830,9951,1.347,0,0.000
78,Chandelure,1.33753,9861,1.335,0,0.000
79,Torterra,1.33733,9908,1.341,0,0.000
80,Heliolisk,1.33723,9835,1.331,0,0.000
81,Zekrom,1.33690,9867,1.336,0,0.000
82,Marowak-Alola,1.33645,9877,1.337,0,0.000
83,Garbodor,1.33628,9891,1.339,0,0.000
84,Incineroar,1.33570,9815,1.329,0,0.000
85,Hippowdon,1.33568,9863,1.335,0,0.000
86,Pangoro,1.33542,9914,1.342,0,0.000
87,Kyurem-White,1.33527,9806,1.328,0,0.000
88,Donphan,1.33500,9832,1.331,0,0.000
89,Shiftry,1.33470,9876,1.337,0,0.000
90,Giratina,1.33467,9939,1.346,0,0.000
91,Stunfisk,1.33371,9841,1.332,0,0.000
92,Salazzle,1.33340,9947,1.347,0,0.000
93,Granbull,1.33261,9796,1.326,0,0.000
94,Rhyperior,1.33234,9877,1.337,0,0.000
95,Roserade,1.33168,9780,1.324,0,0.000
96,Goodra,1.33133,9993,1.353,0,0.000
97,Illumise,1.33103,9834,1.331,0,0.000
98,Weezing,1.33103,9837,1.332,0,0.000
99,Jellicent,1.33084,9768,1.322,0,0.000
100,Mandibuzz,1.33036,9722,1.316,0,0.000
101,Galvantula,1.32995,9783,1.324,0,0.000
102,Venomoth,1.32879,9807,1.328,0,0.000
103,Dusknoir,1.32857,9908,1.341,0,0.000
104,Flygon,1.32758,9798,1.326,0,0.000
105,Qwilfish,1.32740,9720,1.316,0,0.000
106,Kyurem-Black,1.32736,9800,1.327,0,0.000
107,Avalugg,1.32725,9785,1.325,0,0.000
108,Chesnaught,1.32719,9816,1.329,0,0.000
109,Slurpuff,1.32718,9803,1.327,0,0.000
110,Dragalge,1.32642,9871,1.336,0,0.000
