 Total battles: 127166
 Avg. weight/team: 0.141
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Donphan,25.02992,48681,19.141,41376,21.026
2,Crawdaunt,13.23387,21420,8.422,16442,8.355
3,Darmanitan,13.00454,28504,11.207,21817,11.087
4,Entei,12.32577,20153,7.924,15136,7.692
5,Nidoking,9.87891,18811,7.396,14603,7.421
6,Gligar,9.55713,14073,5.533,11667,5.929
7,Kyurem,9.35807,14567,5.728,10895,5.536
8,Chesnaught,9.24772,16286,6.403,13148,6.681
9,Bronzong,8.95277,18147,7.135,15993,8.127
10,Haxorus,8.56227,14275,5.613,9717,4.938
11,Heracross,7.95833,11416,4.489,8454,4.296
12,Lucario,7.56975,13742,5.403,10046,5.105
13,Swellow,7.56778,15874,6.241,11973,6.084
14,Nidoqueen,7.48206,10530,4.140,8921,4.533
15,Blastoise,7.46410,17729,6.971,14610,7.424
16,Roserade,7.42984,12244,4.814,9741,4.950
17,Alomomola,7.39288,14409,5.665,11171,5.677
18,Escavalier,6.96861,10427,4.100,8531,4.335
19,Gigalith,6.85156,11597,4.560,10561,5.367
20,Espeon,6.62971,15647,6.152,11950,6.073
21,Heliolisk,6.30492,14458,5.685,10658,5.416
22,Honchkrow,6.21738,10610,4.172,7875,4.002
23,Reuniclus,6.17706,9370,3.684,6937,3.525
24,Doublade,6.11027,10609,4.171,8392,4.265
25,Araquanid,6.04798,19904,7.826,15382,7.817
26,Venusaur,5.96134,12930,5.084,10207,5.187
27,Diancie,5.90080,10004,3.933,8389,4.263
28,Florges,5.59098,13336,5.244,9772,4.966
29,Suicune,5.52487,7092,2.788,5573,2.832
30,Hawlucha,5.28398,9571,3.763,6947,3.530
31,Feraligatr,5.26934,10585,4.162,7723,3.925
32,Comfey,5.05833,11915,4.685,8723,4.433
33,Goodra,5.00432,14389,5.658,11096,5.639
34,Torkoal,4.99475,12062,4.743,11032,5.606
35,Galvantula,4.60881,12949,5.091,11383,5.784
36,Dragalge,4.57122,8303,3.265,6483,3.294
37,Toxicroak,4.51044,8034,3.159,6249,3.176
38,Cloyster,4.40405,11616,4.567,8704,4.423
39,Golisopod,4.36812,11074,4.354,9042,4.595
40,Umbreon,4.29610,8874,3.489,6834,3.473
41,Tyrantrum,4.24874,8833,3.473,6253,3.178
42,Cresselia,4.17561,8743,3.438,6321,3.212
43,Porygon2,4.11673,8849,3.479,6964,3.539
44,Shaymin,4.10633,7195,2.829,5504,2.797
45,Jolteon,4.05552,15456,6.077,11715,5.953
46,Aerodactyl,3.99695,10027,3.942,8363,4.250
47,Registeel,3.99263,6837,2.688,5887,2.992
48,Milotic,3.97097,9646,3.793,7640,3.882
49,Rotom-Heat,3.94750,8885,3.493,7427,3.774
50,Gardevoir,3.86683,8866,3.486,6487,3.296
51,Stoutland,3.83254,5383,2.117,3995,2.030
52,Lycanroc,3.59426,7576,2.979,6043,3.071
53,Rhyperior,3.57596,6307,2.480,5158,2.621
54,Slowbro,3.56358,8160,3.208,6346,3.225
55,Venomoth,3.49042,6031,2.371,4409,2.241
56,Zoroark,3.48969,7790,3.063,3280,1.667
57,Whimsicott,3.39119,5917,2.326,4787,2.433
58,Hoopa,3.34970,7109,2.795,5195,2.640
59,Glalie-Mega,3.34449,9906,3.895,7271,3.695
60,Snorlax,3.31229,6348,2.496,4725,2.401
61,Tornadus,3.28970,5366,2.110,4068,2.067
62,Slowking,3.28899,6596,2.593,5188,2.636
63,Silvally-Ghost,3.23095,5345,2.102,4193,2.131
64,Seismitoad,3.22891,5306,2.086,4673,2.375
65,Jellicent,3.22884,6492,2.553,5237,2.661
66,Komala,3.12105,7777,3.058,6025,3.062
67,Rotom-Mow,3.09759,6378,2.508,5296,2.691
68,Hitmontop,3.07216,8734,3.434,7135,3.626
69,Dodrio,2.97370,8047,3.164,5764,2.929
70,Golbat,2.96725,6144,2.416,4866,2.473
71,Minior,2.82360,8170,3.212,6092,3.096
72,Salazzle,2.80265,8705,3.423,6424,3.264
73,Froslass,2.77344,5694,2.239,4931,2.506
74,Absol-Mega,2.72961,4649,1.828,3460,1.758
75,Uxie,2.70863,5092,2.002,4631,2.353
76,Durant,2.57159,6586,2.590,4898,2.489
77,Persian-Alola,2.56591,8096,3.183,6467,3.286
78,Mismagius,2.53845,6301,2.477,4740,2.409
79,Metagross,2.43777,4530,1.781,3673,1.867
80,Lurantis,2.40494,7012,2.757,5335,2.711
81,Cofagrigus,2.39330,8829,3.471,7152,3.634
82,Slurpuff,2.30096,4887,1.922,3256,1.655
83,Machamp,2.17092,5470,2.151,4357,2.214
84,Talonflame,2.14092,3870,1.522,2892,1.470
85,Bruxish,2.09749,6972,2.741,5070,2.576
86,Crobat,2.05856,3993,1.570,3134,1.593
87,Pyukumuku,2.04501,3455,1.358,2850,1.448
88,Virizion,1.96461,4674,1.838,3513,1.785
89,Hitmonlee,1.95371,7129,2.803,5329,2.708
90,Steelix,1.94283,3880,1.526,3341,1.698
91,Braviary,1.94113,7024,2.762,5301,2.694
92,Claydol,1.93279,6975,2.742,5718,2.906
93,Ninetales,1.91489,4500,1.769,3750,1.906
94,Shuckle,1.90050,5619,2.209,5131,2.607
95,Noivern,1.86935,4856,1.909,3728,1.894
