 Total battles: 1433
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Tapu Lele,20.37683,584,20.377,374,18.324
2,Pinsir-Mega,19.81856,568,19.819,352,17.246
3,Serperior,17.93440,514,17.934,362,17.736
4,Landorus-Therian,12.90998,370,12.910,303,14.846
5,Greninja-Ash,12.90998,370,12.910,274,13.425
6,Kartana,12.63084,362,12.631,245,12.004
7,Mimikyu,12.42149,356,12.421,255,12.494
8,Porygon-Z,12.03768,345,12.038,206,10.093
9,Tapu Koko,12.00279,344,12.003,245,12.004
10,Pheromosa,11.93301,342,11.933,262,12.837
11,Garchomp,10.29309,295,10.293,217,10.632
12,Chansey,9.87439,283,9.874,213,10.436
13,Heatran,9.80461,281,9.805,224,10.975
14,Greninja,9.63015,276,9.630,192,9.407
15,Celesteela,8.65318,248,8.653,190,9.309
16,Tyranitar,8.58339,246,8.583,196,9.603
17,Metagross-Mega,8.40893,241,8.409,166,8.133
18,Jirachi,8.19958,235,8.200,162,7.937
19,Muk-Alola,8.06001,231,8.060,157,7.692
20,Excadrill,7.50174,215,7.502,166,8.133
21,Slaking,7.29239,209,7.292,137,6.712
22,Swoobat,7.25750,208,7.258,144,7.055
23,Malamar,6.69923,192,6.699,137,6.712
24,Tapu Fini,6.59456,189,6.595,135,6.614
25,Golem-Alola,6.00140,172,6.001,121,5.928
26,Alakazam-Mega,5.93161,170,5.932,107,5.243
27,Scizor-Mega,5.86183,168,5.862,122,5.977
28,Dugtrio,5.72226,164,5.722,121,5.928
29,Shedinja,5.16399,148,5.164,103,5.047
30,Skarmory,4.95464,142,4.955,118,5.781
31,Charizard-Mega-Y,4.91975,141,4.920,96,4.704
32,Toxapex,4.91975,141,4.920,109,5.341
33,Diggersby,4.88486,140,4.885,80,3.920
34,Mantine,4.78018,137,4.780,96,4.704
35,Doublade,4.67551,134,4.676,97,4.753
36,Magnezone,4.53594,130,4.536,94,4.606
37,Sableye-Mega,4.50105,129,4.501,115,5.634
38,Charizard-Mega-X,4.43126,127,4.431,97,4.753
39,Marowak-Alola,4.25680,122,4.257,84,4.116
40,Cloyster,3.73343,107,3.733,74,3.626
41,Clefable,3.62875,104,3.629,82,4.018
42,Tapu Bulu,3.59386,103,3.594,69,3.381
43,Magearna,3.59386,103,3.594,77,3.773
44,Nihilego,3.52408,101,3.524,86,4.214
45,Snorlax,3.48918,100,3.489,68,3.332
46,Ferrothorn,3.48918,100,3.489,84,4.116
47,Zapdos,3.45429,99,3.454,74,3.626
48,Sylveon,3.38451,97,3.385,67,3.283
49,Aerodactyl,3.31472,95,3.315,90,4.410
50,Rotom-Wash,3.27983,94,3.280,81,3.969
51,Zygarde,3.27983,94,3.280,66,3.234
52,Venusaur-Mega,3.07048,88,3.070,64,3.136
53,Keldeo,2.93091,84,2.931,54,2.646
54,Xurkitree,2.89602,83,2.896,74,3.626
55,Kyurem-Black,2.72156,78,2.722,53,2.597
56,Tangrowth,2.61689,75,2.617,65,3.185
57,Mienshao,2.61689,75,2.617,64,3.136
58,Salamence,2.61689,75,2.617,52,2.548
59,Buzzwole,2.58200,74,2.582,52,2.548
60,Thundurus,2.58200,74,2.582,52,2.548
61,Gliscor,2.51221,72,2.512,61,2.989
62,Shuckle,2.51221,72,2.512,57,2.793
63,Weavile,2.44243,70,2.442,54,2.646
64,Gyarados-Mega,2.40754,69,2.408,43,2.107
65,Klefki,2.30286,66,2.303,58,2.842
66,Latios,2.19819,63,2.198,36,1.764
67,Aerodactyl-Mega,2.19819,63,2.198,42,2.058
68,Staraptor,2.12840,61,2.128,40,1.960
69,Porygon2,2.09351,60,2.094,42,2.058
70,Slowbro-Mega,2.02373,58,2.024,36,1.764
71,Latias,2.02373,58,2.024,36,1.764
72,Whimsicott,1.98883,57,1.989,50,2.450
73,Krookodile,1.91905,55,1.919,41,2.009
74,Thundurus-Therian,1.88416,54,1.884,35,1.715
75,Araquanid,1.81438,52,1.814,39,1.911
76,Rotom-Heat,1.81438,52,1.814,39,1.911
77,Togekiss,1.77948,51,1.779,33,1.617
78,Volcarona,1.77948,51,1.779,30,1.470
79,Chandelure,1.77948,51,1.779,37,1.813
80,Slowbro,1.74459,50,1.745,41,2.009
81,Gengar,1.63992,47,1.640,33,1.617
82,Infernape,1.60502,46,1.605,36,1.764
83,Tornadus-Therian,1.60502,46,1.605,33,1.617
84,Talonflame,1.60502,46,1.605,31,1.519
85,Blissey,1.57013,45,1.570,36,1.764
86,Arcanine,1.50035,43,1.500,34,1.666
87,Garchomp-Mega,1.50035,43,1.500,29,1.421
88,Goodra,1.46546,42,1.465,31,1.519
89,Galvantula,1.46546,42,1.465,35,1.715
90,Quagsire,1.46546,42,1.465,30,1.470
91,Dragonite,1.43057,41,1.431,34,1.666
92,Ninetales,1.39567,40,1.396,32,1.568
93,Hoopa-Unbound,1.39567,40,1.396,27,1.323
94,Breloom,1.36078,39,1.361,23,1.127
95,Pikachu,1.36078,39,1.361,30,1.470
96,Salazzle,1.36078,39,1.361,25,1.225
97,Pelipper,1.36078,39,1.361,33,1.617
98,Manaphy,1.32589,38,1.326,24,1.176
99,Hawlucha,1.29100,37,1.291,26,1.274
100,Jolteon,1.29100,37,1.291,27,1.323
101,Lurantis,1.29100,37,1.291,32,1.568
102,Pyukumuku,1.25611,36,1.256,24,1.176
103,Suicune,1.25611,36,1.256,27,1.323
104,Blastoise-Mega,1.22121,35,1.221,23,1.127
105,Decidueye,1.18632,34,1.186,25,1.225
106,Nidoking,1.18632,34,1.186,24,1.176
107,Accelgor,1.18632,34,1.186,32,1.568
108,Electrode,1.15143,33,1.151,28,1.372
109,Dhelmise,1.15143,33,1.151,21,1.029
110,Virizion,1.15143,33,1.151,27,1.323
