 Total battles: 1126
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Aerodactyl-Mega,13.45471,303,13.455,228,12.660
2,Scizor,12.03375,271,12.034,235,13.048
3,Hydreigon,11.14565,251,11.146,212,11.771
4,Latias,10.34636,233,10.346,167,9.273
5,Azumarill,10.21314,230,10.213,173,9.606
6,Crobat,9.99112,225,9.991,177,9.828
7,Absol-Mega,9.76909,220,9.769,170,9.439
8,Gliscor,9.59147,216,9.591,179,9.939
9,Forretress,8.39254,189,8.393,170,9.439
10,Primarina,8.34813,188,8.348,163,9.051
11,Krookodile,7.85968,177,7.860,145,8.051
12,Raikou,7.77087,175,7.771,138,7.662
13,Volcanion,7.72647,174,7.726,145,8.051
14,Arcanine,7.68206,173,7.682,137,7.607
15,Gengar,7.46004,168,7.460,126,6.996
16,Infernape,7.46004,168,7.460,140,7.773
17,Tentacruel,7.01599,158,7.016,134,7.440
18,Ninetales-Alola,6.79396,153,6.794,130,7.218
19,Tsareena,6.74956,152,6.750,123,6.830
20,Hippowdon,6.66075,150,6.661,135,7.496
21,Chandelure,6.66075,150,6.661,121,6.718
22,Keldeo,6.61634,149,6.616,112,6.219
23,Cobalion,6.57194,148,6.572,122,6.774
24,Conkeldurr,6.26110,141,6.261,111,6.163
25,Dhelmise,6.12789,138,6.128,105,5.830
26,Sharpedo-Mega,6.03908,136,6.039,106,5.886
27,Araquanid,5.95027,134,5.950,108,5.997
28,Sylveon,5.86146,132,5.861,94,5.219
29,Bisharp,5.77265,130,5.773,105,5.830
30,Swampert,5.77265,130,5.773,117,6.496
31,Azelf,5.68384,128,5.684,115,6.385
32,Metagross,5.63943,127,5.639,108,5.997
33,Goodra,5.63943,127,5.639,96,5.330
34,Alakazam,5.55062,125,5.551,93,5.164
35,Necrozma,5.37300,121,5.373,99,5.497
36,Empoleon,4.88455,110,4.885,96,5.330
37,Salazzle,4.88455,110,4.885,88,4.886
38,Haxorus,4.88455,110,4.885,79,4.386
39,Porygon2,4.84014,109,4.840,74,4.109
40,Togekiss,4.66252,105,4.663,82,4.553
41,Mandibuzz,4.61812,104,4.618,81,4.498
42,Bewear,4.57371,103,4.574,77,4.275
43,Blissey,4.48490,101,4.485,80,4.442
44,Zygarde-10,4.44050,100,4.440,70,3.887
45,Blastoise-Mega,4.17407,94,4.174,78,4.331
46,Feraligatr,4.12966,93,4.130,80,4.442
47,Kommo-o,3.99645,90,3.996,64,3.554
48,Roserade,3.99645,90,3.996,67,3.720
49,Decidueye,3.90764,88,3.908,68,3.776
50,Flygon,3.90764,88,3.908,67,3.720
51,Gastrodon,3.81883,86,3.819,71,3.942
52,Thundurus,3.81883,86,3.819,65,3.609
53,Lucario,3.81883,86,3.819,62,3.443
54,Mienshao,3.77442,85,3.774,66,3.665
55,Nidoking,3.68561,83,3.686,70,3.887
56,Jolteon,3.50799,79,3.508,62,3.443
57,Victini,3.50799,79,3.508,65,3.609
58,Entei,3.41918,77,3.419,58,3.220
59,Mudsdale,3.41918,77,3.419,64,3.554
60,Cloyster,3.33037,75,3.330,53,2.943
61,Staraptor,3.28597,74,3.286,64,3.554
62,Heracross,3.24156,73,3.242,59,3.276
63,Donphan,3.24156,73,3.242,67,3.720
64,Tornadus,3.19716,72,3.197,52,2.887
65,Heliolisk,3.19716,72,3.197,61,3.387
66,Umbreon,3.19716,72,3.197,56,3.109
67,Suicune,3.19716,72,3.197,64,3.554
68,Gardevoir,3.15275,71,3.153,53,2.943
69,Rotom-Heat,3.15275,71,3.153,57,3.165
70,Mew,3.10835,70,3.108,61,3.387
71,Politoed,3.06394,69,3.064,64,3.554
72,Starmie,3.01954,68,3.020,52,2.887
73,Klefki,3.01954,68,3.020,62,3.443
74,Galvantula,2.88632,65,2.886,63,3.498
75,Amoonguss,2.84192,64,2.842,50,2.776
76,Crawdaunt,2.79751,63,2.798,53,2.943
77,Raichu-Alola,2.79751,63,2.798,47,2.610
78,Golisopod,2.75311,62,2.753,52,2.887
79,Milotic,2.75311,62,2.753,50,2.776
80,Toxicroak,2.70870,61,2.709,51,2.832
81,Minior,2.70870,61,2.709,46,2.554
82,Espeon,2.70870,61,2.709,47,2.610
83,Persian-Alola,2.53108,57,2.531,48,2.665
84,Glalie-Mega,2.53108,57,2.531,44,2.443
85,Kabutops,2.53108,57,2.531,42,2.332
86,Doublade,2.48668,56,2.487,44,2.443
87,Magneton,2.48668,56,2.487,47,2.610
88,Darmanitan,2.44227,55,2.442,48,2.665
89,Alomomola,2.39787,54,2.398,43,2.388
90,Incineroar,2.39787,54,2.398,41,2.277
91,Whimsicott,2.35346,53,2.353,45,2.499
92,Comfey,2.30906,52,2.309,41,2.277
93,Celebi,2.26465,51,2.265,44,2.443
94,Lycanroc,2.17584,49,2.176,40,2.221
95,Exeggutor-Alola,2.17584,49,2.176,35,1.943
96,Nidoqueen,2.13144,48,2.131,35,1.943
97,Bronzong,2.04263,46,2.043,44,2.443
98,Slowbro,1.99822,45,1.998,36,1.999
99,Guzzlord,1.99822,45,1.998,38,2.110
100,Pangoro,1.99822,45,1.998,38,2.110
101,Snorlax,1.90941,43,1.909,27,1.499
102,Swellow,1.86501,42,1.865,28,1.555
103,Smeargle,1.86501,42,1.865,41,2.277
104,Eelektross,1.82060,41,1.821,34,1.888
105,Granbull,1.82060,41,1.821,38,2.110
106,Cresselia,1.77620,40,1.776,28,1.555
107,Vaporeon,1.77620,40,1.776,33,1.832
108,Komala,1.73179,39,1.732,28,1.555
109,Venusaur,1.68739,38,1.687,27,1.499
110,Silvally,1.68739,38,1.687,33,1.832
111,Ambipom,1.68739,38,1.687,35,1.943
112,Noivern,1.64298,37,1.643,33,1.832
113,Kyurem,1.64298,37,1.643,32,1.777
114,Gigalith,1.64298,37,1.643,27,1.499
115,Torkoal,1.59858,36,1.599,36,1.999
116,Florges,1.59858,36,1.599,29,1.610
117,Togedemaru,1.50977,34,1.510,28,1.555
118,Reuniclus,1.42096,32,1.421,24,1.333
119,Rotom-Mow,1.42096,32,1.421,29,1.610
120,Zoroark,1.37655,31,1.377,11,0.611
121,Quagsire,1.37655,31,1.377,22,1.222
122,Slurpuff,1.33215,30,1.332,23,1.277
123,Mismagius,1.33215,30,1.332,18,0.999
124,Vikavolt,1.33215,30,1.332,26,1.444
125,Dugtrio-Alola,1.28774,29,1.288,21,1.166
126,Chesnaught,1.28774,29,1.288,18,0.999
127,Talonflame,1.28774,29,1.288,23,1.277
128,Golem-Alola,1.24334,28,1.243,22,1.222
129,Wishiwashi,1.24334,28,1.243,22,1.222
130,Shuckle,1.19893,27,1.199,24,1.333
131,Golurk,1.19893,27,1.199,24,1.333
132,Drampa,1.19893,27,1.199,16,0.888
133,Machamp,1.15453,26,1.155,21,1.166
134,Palossand,1.11012,25,1.110,17,0.944
135,Bastiodon,1.11012,25,1.110,24,1.333
136,Steelix,1.06572,24,1.066,22,1.222
137,Accelgor,1.06572,24,1.066,18,0.999
138,Ninetales,1.02131,23,1.021,19,1.055
139,Weezing,1.02131,23,1.021,23,1.277
140,Ribombee,1.02131,23,1.021,20,1.110
141,Yanmega,0.97691,22,0.977,17,0.944
142,Cofagrigus,0.97691,22,0.977,20,1.110
143,Froslass,0.97691,22,0.977,22,1.222
144,Turtonator,0.93250,21,0.933,18,0.999
145,Dodrio,0.93250,21,0.933,15,0.833
146,Sableye,0.93250,21,0.933,16,0.888
147,Sandslash-Alola,0.88810,20,0.888,16,0.888
148,Shiinotic,0.88810,20,0.888,17,0.944
149,Honchkrow,0.88810,20,0.888,16,0.888
150,Bruxish,0.88810,20,0.888,17,0.944
151,Ludicolo,0.88810,20,0.888,15,0.833
152,Tyrantrum,0.88810,20,0.888,12,0.666
153,Hawlucha,0.79929,18,0.799,11,0.611
154,Gumshoos,0.79929,18,0.799,17,0.944
155,Aggron,0.75488,17,0.755,9,0.500
156,Ditto,0.75488,17,0.755,12,0.666
157,Slowking,0.75488,17,0.755,15,0.833
158,Xatu,0.75488,17,0.755,14,0.777
159,Crabominable,0.75488,17,0.755,13,0.722
160,Aerodactyl,0.75488,17,0.755,15,0.833
161,Charizard,0.71048,16,0.710,9,0.500
162,Cinccino,0.71048,16,0.710,11,0.611
163,Shaymin,0.71048,16,0.710,13,0.722
164,Kecleon,0.71048,16,0.710,12,0.666
165,Trevenant,0.66607,15,0.666,10,0.555
166,Leafeon,0.66607,15,0.666,11,0.611
167,Rhyperior,0.66607,15,0.666,15,0.833
168,Scrafty,0.66607,15,0.666,8,0.444
169,Silvally-Dark,0.62167,14,0.622,10,0.555
170,Hoopa,0.62167,14,0.622,13,0.722
171,Butterfree,0.57726,13,0.577,10,0.555
172,Lurantis,0.57726,13,0.577,12,0.666
173,Omastar,0.57726,13,0.577,12,0.666
174,Claydol,0.57726,13,0.577,13,0.722
175,Hariyama,0.57726,13,0.577,13,0.722
176,Braviary,0.57726,13,0.577,11,0.611
177,Typhlosion,0.57726,13,0.577,4,0.222
178,Lanturn,0.57726,13,0.577,11,0.611
179,Seismitoad,0.53286,12,0.533,12,0.666
180,Treecko,0.53286,12,0.533,12,0.666
181,Blastoise,0.53286,12,0.533,11,0.611
182,Jellicent,0.53286,12,0.533,10,0.555
183,Lilligant,0.53286,12,0.533,6,0.333
184,Pyukumuku,0.53286,12,0.533,11,0.611
185,Electivire,0.53286,12,0.533,9,0.500
186,Hitmontop,0.53286,12,0.533,12,0.666
187,Sceptile,0.48845,11,0.488,8,0.444
188,Sigilyph,0.48845,11,0.488,8,0.444
189,Qwilfish,0.48845,11,0.488,8,0.444
190,Malamar,0.48845,11,0.488,9,0.500
