 Total battles: 238
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Abra,29.41176,140,29.412,93,26.546
2,Mienfoo,16.17647,77,16.176,56,15.985
3,Pawniard,14.49580,69,14.496,53,15.128
4,Chinchou,12.81513,61,12.815,43,12.274
5,Gastly,11.97479,57,11.975,40,11.418
6,Archen,11.76471,56,11.765,44,12.559
7,Porygon,11.13445,53,11.134,35,9.990
8,Ferroseed,10.08403,48,10.084,35,9.990
9,Aipom,9.87395,47,9.874,41,11.703
10,Axew,9.66387,46,9.664,31,8.849
11,Onix,9.45378,45,9.454,37,10.561
12,Ponyta,9.03361,43,9.034,30,8.563
13,Munchlax,8.19328,39,8.193,27,7.707
14,Bulbasaur,7.98319,38,7.983,22,6.280
15,Chimchar,7.98319,38,7.983,29,8.278
16,Carvanha,7.98319,38,7.983,28,7.992
17,Fletchling,7.77311,37,7.773,24,6.851
18,Zorua,7.35294,35,7.353,15,4.282
19,Diglett,6.93277,33,6.933,28,7.992
20,Lileep,6.72269,32,6.723,29,8.278
21,Aron,6.51261,31,6.513,29,8.278
22,Bunnelby,6.51261,31,6.513,24,6.851
23,Cranidos,6.30252,30,6.303,23,6.565
24,Vullaby,5.88235,28,5.882,22,6.280
25,Honedge,5.88235,28,5.882,22,6.280
26,Totodile,5.67227,27,5.672,19,5.423
27,Elekid,5.67227,27,5.672,21,5.994
28,Houndour,5.25210,25,5.252,22,6.280
29,Anorith,5.25210,25,5.252,18,5.138
30,Scraggy,5.25210,25,5.252,16,4.567
31,Frillish,5.04202,24,5.042,19,5.423
32,Eevee,5.04202,24,5.042,21,5.994
33,Dratini,5.04202,24,5.042,18,5.138
34,Snivy,5.04202,24,5.042,17,4.853
35,Hippopotas,4.62185,22,4.622,16,4.567
36,Pichu,4.62185,22,4.622,20,5.709
37,Buneary,4.20168,20,4.202,18,5.138
38,Croagunk,4.20168,20,4.202,15,4.282
39,Cottonee,4.20168,20,4.202,18,5.138
40,Bronzor,4.20168,20,4.202,16,4.567
41,Larvesta,4.20168,20,4.202,16,4.567
42,Staryu,4.20168,20,4.202,15,4.282
43,Wailmer,3.99160,19,3.992,16,4.567
44,Shellder,3.99160,19,3.992,16,4.567
45,Pansear,3.99160,19,3.992,15,4.282
46,Meowth,3.99160,19,3.992,19,5.423
47,Charmander,3.99160,19,3.992,19,5.423
48,Drowzee,3.78151,18,3.782,12,3.425
49,Amaura,3.78151,18,3.782,13,3.711
50,Froakie,3.78151,18,3.782,12,3.425
51,Buizel,3.78151,18,3.782,15,4.282
52,Bagon,3.78151,18,3.782,10,2.854
53,Rufflet,3.57143,17,3.571,13,3.711
54,Solosis,3.57143,17,3.571,10,2.854
55,Tirtouga,3.57143,17,3.571,11,3.140
56,NidoranM,3.57143,17,3.571,12,3.425
57,Drilbur,3.57143,17,3.571,13,3.711
58,Foongus,3.57143,17,3.571,12,3.425
59,Magnemite,3.36134,16,3.361,12,3.425
60,Growlithe,3.36134,16,3.361,12,3.425
61,Gible,3.36134,16,3.361,11,3.140
62,Teddiursa,3.36134,16,3.361,13,3.711
63,Skiddo,3.36134,16,3.361,14,3.996
64,Cyndaquil,3.36134,16,3.361,13,3.711
65,Baltoy,3.15126,15,3.151,14,3.996
66,Lickitung,3.15126,15,3.151,10,2.854
67,Inkay,3.15126,15,3.151,10,2.854
68,Spritzee,3.15126,15,3.151,10,2.854
69,Cacnea,2.94118,14,2.941,11,3.140
70,Duskull,2.73109,13,2.731,9,2.569
71,Clamperl,2.73109,13,2.731,10,2.854
72,Tentacool,2.52101,12,2.521,8,2.284
73,Vulpix,2.52101,12,2.521,9,2.569
74,Torchic,2.52101,12,2.521,9,2.569
75,Omanyte,2.31092,11,2.311,9,2.569
76,Rattata,2.31092,11,2.311,8,2.284
77,Nosepass,2.31092,11,2.311,9,2.569
78,Blitzle,2.31092,11,2.311,9,2.569
79,Natu,2.31092,11,2.311,9,2.569
80,Cubone,2.31092,11,2.311,9,2.569
81,Mantyke,2.10084,10,2.101,8,2.284
82,Chespin,2.10084,10,2.101,6,1.713
83,Helioptile,2.10084,10,2.101,5,1.427
84,Azurill,1.89076,9,1.891,6,1.713
85,Cleffa,1.89076,9,1.891,7,1.998
86,Geodude,1.89076,9,1.891,8,2.284
87,Tyrunt,1.89076,9,1.891,7,1.998
88,Darumaka,1.89076,9,1.891,6,1.713
89,Squirtle,1.89076,9,1.891,7,1.998
90,Taillow,1.89076,9,1.891,8,2.284
91,Dwebble,1.89076,9,1.891,8,2.284
92,Slowpoke,1.68067,8,1.681,6,1.713
93,Pumpkaboo-Super,1.68067,8,1.681,7,1.998
94,Binacle,1.68067,8,1.681,7,1.998
95,Deerling,1.68067,8,1.681,6,1.713
96,Happiny,1.68067,8,1.681,6,1.713
97,Noibat,1.68067,8,1.681,7,1.998
98,Mime Jr.,1.68067,8,1.681,7,1.998
99,Espurr,1.68067,8,1.681,4,1.142
100,Larvitar,1.68067,8,1.681,5,1.427
101,Pancham,1.68067,8,1.681,5,1.427
102,Togepi,1.68067,8,1.681,4,1.142
103,Glameow,1.68067,8,1.681,7,1.998
104,Venonat,1.68067,8,1.681,6,1.713
105,Cherubi,1.68067,8,1.681,8,2.284
106,Snover,1.68067,8,1.681,7,1.998
107,Treecko,1.68067,8,1.681,7,1.998
108,Deino,1.47059,7,1.471,4,1.142
109,Koffing,1.47059,7,1.471,5,1.427
110,Starly,1.47059,7,1.471,4,1.142
111,Cubchoo,1.47059,7,1.471,6,1.713
112,Chingling,1.47059,7,1.471,6,1.713
113,Purrloin,1.47059,7,1.471,7,1.998
114,Trubbish,1.47059,7,1.471,5,1.427
115,Beldum,1.47059,7,1.471,6,1.713
116,Timburr,1.47059,7,1.471,5,1.427
117,Yamask,1.47059,7,1.471,5,1.427
118,Machop,1.47059,7,1.471,4,1.142
119,Spinarak,1.47059,7,1.471,6,1.713
120,Voltorb,1.47059,7,1.471,6,1.713
121,Mareep,1.26050,6,1.261,5,1.427
122,Grimer,1.26050,6,1.261,2,0.571
123,Clauncher,1.26050,6,1.261,5,1.427
124,Woobat,1.26050,6,1.261,4,1.142
125,Skorupi,1.26050,6,1.261,5,1.427
126,Surskit,1.26050,6,1.261,4,1.142
127,Venipede,1.26050,6,1.261,6,1.713
128,Litwick,1.26050,6,1.261,2,0.571
129,Joltik,1.26050,6,1.261,6,1.713
130,Exeggcute,1.26050,6,1.261,5,1.427
131,Chikorita,1.26050,6,1.261,5,1.427
132,Bidoof,1.26050,6,1.261,3,0.856
133,Gothita,1.26050,6,1.261,2,0.571
134,Rhyhorn,1.26050,6,1.261,6,1.713
135,Budew,1.26050,6,1.261,4,1.142
136,Zigzagoon,1.26050,6,1.261,1,0.285
137,Barboach,1.05042,5,1.050,3,0.856
138,Mankey,1.05042,5,1.050,2,0.571
139,Tepig,1.05042,5,1.050,4,1.142
140,Shelmet,1.05042,5,1.050,4,1.142
141,Doduo,1.05042,5,1.050,2,0.571
142,Pansage,1.05042,5,1.050,5,1.427
143,Bellsprout,1.05042,5,1.050,3,0.856
144,Remoraid,1.05042,5,1.050,5,1.427
145,Sandile,1.05042,5,1.050,3,0.856
146,Minccino,1.05042,5,1.050,3,0.856
147,Sandshrew,1.05042,5,1.050,4,1.142
148,Stunky,1.05042,5,1.050,4,1.142
149,Krabby,1.05042,5,1.050,5,1.427
150,Turtwig,1.05042,5,1.050,5,1.427
151,Lotad,1.05042,5,1.050,4,1.142
152,Ralts,1.05042,5,1.050,4,1.142
153,Riolu,1.05042,5,1.050,3,0.856
154,Goomy,1.05042,5,1.050,2,0.571
