 Total battles: 2311
 Avg. weight/team: 0.259
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Audino-Mega,35.32175,1067,23.085,766,21.372
2,Skuntank,20.87316,484,10.472,386,10.770
3,Archeops,20.07910,591,12.787,509,14.201
4,Xatu,17.91112,564,12.203,459,12.806
5,Hitmonchan,16.92496,763,16.508,593,16.545
6,Mesprit,16.52628,668,14.453,554,15.457
7,Swellow,16.00542,591,12.787,435,12.137
8,Lanturn,15.91693,537,11.618,427,11.914
9,Samurott,15.89777,541,11.705,384,10.714
10,Gastrodon,15.63155,509,11.013,420,11.718
11,Claydol,15.47724,613,13.263,502,14.006
12,Liepard,14.04951,487,10.537,408,11.383
13,Malamar,13.72296,550,11.900,437,12.193
14,Pyroar,13.51338,493,10.666,361,10.072
15,Vivillon,13.04360,482,10.428,372,10.379
16,Leafeon,12.53187,194,4.197,133,3.711
17,Miltank,12.20933,453,9.801,356,9.933
18,Weezing,11.63983,548,11.856,450,12.555
19,Rhydon,10.76874,350,7.572,273,7.617
20,Vileplume,10.59411,414,8.957,325,9.068
21,Tauros,10.10995,495,10.710,352,9.821
22,Gourgeist-Super,9.73545,177,3.830,139,3.878
23,Hariyama,9.25492,438,9.476,359,10.016
24,Garbodor,9.10286,354,7.659,291,8.119
25,Steelix,8.73314,406,8.784,356,9.933
26,Magmortar,8.63755,692,14.972,497,13.867
27,Zangoose,8.38642,423,9.152,302,8.426
28,Mantine,7.84324,342,7.399,268,7.477
29,Rotom,7.76009,217,4.695,185,5.162
30,Mismagius,7.67839,428,9.260,328,9.151
31,Charizard,7.02362,510,11.034,396,11.049
32,Regirock,6.69249,341,7.378,282,7.868
33,Scyther,6.50342,341,7.378,260,7.254
34,Throh,6.29206,116,2.510,86,2.399
35,Cradily,6.20501,370,8.005,284,7.924
36,Ferroseed,6.11307,181,3.916,165,4.604
37,Quagsire,6.01080,208,4.500,179,4.994
38,Barbaracle,5.55117,303,6.556,238,6.640
39,Kangaskhan,5.36713,187,4.046,146,4.073
40,Electivire,5.02431,491,10.623,372,10.379
41,Golurk,4.82653,281,6.080,227,6.333
42,Jynx,4.78634,187,4.046,141,3.934
43,Shiftry,4.71728,201,4.349,155,4.325
44,Torterra,4.35265,241,5.214,182,5.078
45,Manectric,4.23784,233,5.041,168,4.687
46,Pinsir,3.96064,162,3.505,122,3.404
47,Dusknoir,3.68062,108,2.337,91,2.539
48,Kecleon,3.62486,242,5.236,174,4.855
49,Primeape,3.50846,172,3.721,137,3.822
50,Walrein,3.42196,57,1.233,42,1.172
51,Aurorus,3.41161,193,4.176,159,4.436
52,Raichu,3.39507,87,1.882,68,1.897
53,Lilligant,3.36220,259,5.604,189,5.273
54,Dodrio,3.31216,72,1.558,54,1.507
55,Gurdurr,3.16693,193,4.176,156,4.352
56,Poliwrath,3.09891,159,3.440,132,3.683
57,Piloswine,2.71824,115,2.488,101,2.818
58,Rapidash,2.51664,57,1.233,47,1.311
59,Basculin,2.28306,50,1.082,35,0.977
60,Pelipper,2.07156,84,1.817,68,1.897
61,Haunter,1.99185,237,5.128,167,4.659
62,Kabutops,1.91622,149,3.224,112,3.125
63,Exeggutor,1.88434,169,3.656,131,3.655
64,Aggron,1.86872,340,7.356,275,7.673
65,Combusken,1.81387,65,1.406,45,1.256
66,Grumpig,1.66468,56,1.212,37,1.032
67,Abomasnow,1.63596,115,2.488,88,2.455
68,Klinklang,1.52911,194,4.197,141,3.934
69,Rampardos,1.38141,135,2.921,96,2.678
70,Trevenant,1.33872,90,1.947,70,1.953
71,Floatzel,1.32006,43,0.930,34,0.949
72,Pawniard,1.27002,34,0.736,26,0.725
73,Sandslash,1.22574,104,2.250,85,2.372
74,Ludicolo,1.18492,155,3.354,119,3.320
75,Musharna,1.16661,90,1.947,63,1.758
76,Omastar,1.15126,151,3.267,116,3.236
77,Leavanny,1.11390,44,0.952,37,1.032
78,Dusclops,1.08928,62,1.341,54,1.507
79,Victreebel,1.07266,106,2.293,90,2.511
80,Rotom-Frost,1.04239,48,1.039,40,1.116
81,Probopass,0.98990,37,0.801,34,0.949
82,Solrock,0.96953,25,0.541,21,0.586
83,Mr. Mime,0.94795,39,0.844,31,0.865
84,Glaceon,0.87437,64,1.385,45,1.256
85,Masquerain,0.84371,51,1.103,44,1.228
86,Clefairy,0.84346,23,0.498,22,0.614
87,Gigalith,0.81892,50,1.082,44,1.228
88,Drifblim,0.81244,56,1.212,41,1.144
89,Magmar,0.79226,63,1.363,50,1.395
90,Smeargle,0.76952,84,1.817,75,2.093
91,Cacturne,0.74305,50,1.082,40,1.116
92,Roselia,0.73962,43,0.930,34,0.949
93,Linoone,0.71699,32,0.692,23,0.642
94,Lickilicky,0.65620,48,1.039,39,1.088
95,Dragonair,0.64934,33,0.714,22,0.614
96,Audino,0.62830,17,0.368,12,0.335
97,Tangela,0.62570,26,0.563,25,0.698
98,Aron,0.62331,19,0.411,12,0.335
99,Cottonee,0.61740,19,0.411,13,0.363
100,Torkoal,0.59383,75,1.623,60,1.674
101,Drilbur,0.57820,13,0.281,11,0.307
102,Flareon,0.57488,43,0.930,36,1.004
103,Jumpluff,0.55580,29,0.627,26,0.725
104,Frogadier,0.55413,21,0.454,19,0.530
105,Carbink,0.55259,34,0.736,28,0.781
106,Mawile,0.54159,89,1.926,73,2.037
107,Ninetales,0.49606,53,1.147,37,1.032
108,Vigoroth,0.46899,27,0.584,20,0.558
109,Corsola,0.44633,11,0.238,11,0.307
110,Muk,0.44604,74,1.601,58,1.618
111,Armaldo,0.43515,41,0.887,28,0.781
112,Simisage,0.42318,11,0.238,7,0.195
113,Relicanth,0.40967,22,0.476,12,0.335
114,Swanna,0.40538,14,0.303,9,0.251
115,Gabite,0.40198,8,0.173,8,0.223
116,Regice,0.40016,73,1.579,56,1.562
117,Wormadam-Trash,0.39353,14,0.303,13,0.363
118,Altaria,0.38646,47,1.017,35,0.977
119,Crustle,0.34749,39,0.844,33,0.921
120,Lapras,0.34553,65,1.406,53,1.479
121,Meowstic,0.33691,42,0.909,38,1.060
122,Gorebyss,0.33350,34,0.736,18,0.502
123,Avalugg,0.33308,57,1.233,45,1.256
124,Swoobat,0.32781,11,0.238,7,0.195
125,Swirlix,0.32781,9,0.195,4,0.112
126,Ditto,0.31999,70,1.514,55,1.535
127,Volbeat,0.30801,14,0.303,11,0.307
128,Marowak,0.29394,37,0.801,32,0.893
129,Beheeyem,0.27850,25,0.541,18,0.502
130,Hippopotas,0.26836,18,0.389,18,0.502
131,Stoutland,0.26053,15,0.325,12,0.335
132,Chatot,0.23180,55,1.190,46,1.283
133,Machoke,0.22067,31,0.671,25,0.698
134,Luxray,0.21878,40,0.865,27,0.753
135,Trapinch,0.21720,3,0.065,2,0.056
136,Arbok,0.21572,39,0.844,32,0.893
137,Stunfisk,0.21259,25,0.541,23,0.642
138,Golduck,0.19199,11,0.238,7,0.195
139,Bastiodon,0.19165,57,1.233,44,1.228
140,Cryogonal,0.18679,29,0.627,23,0.642
141,Mightyena,0.18279,14,0.303,9,0.251
142,Fraxure,0.17317,19,0.411,13,0.363
143,Persian,0.17278,40,0.865,28,0.781
144,Duosion,0.16547,9,0.195,8,0.223
145,Ampharos,0.15872,56,1.212,41,1.144
146,Solosis,0.15795,2,0.043,2,0.056
147,Prinplup,0.14946,9,0.195,6,0.167
148,Shedinja,0.14927,45,0.974,29,0.809
149,Dedenne,0.14748,37,0.801,29,0.809
150,Electrode,0.14490,27,0.584,18,0.502
151,Misdreavus,0.14389,21,0.454,17,0.474
152,Meganium,0.14373,15,0.325,12,0.335
153,Kadabra,0.14027,35,0.757,25,0.698
154,Articuno,0.13490,30,0.649,25,0.698
155,Ninjask,0.13312,19,0.411,18,0.502
156,Whiscash,0.12963,17,0.368,13,0.363
157,Sliggoo,0.11908,34,0.736,24,0.670
158,Pikachu,0.10956,45,0.974,36,1.004
159,Zebstrika,0.10601,17,0.368,14,0.391
160,Carracosta,0.10466,74,1.601,55,1.535
161,Slaking,0.10209,37,0.801,25,0.698
162,Kingler,0.10080,23,0.498,21,0.586
163,Rotom-Fan,0.08406,33,0.714,26,0.725
164,Bronzor,0.08239,15,0.325,14,0.391
165,Monferno,0.07193,14,0.303,8,0.223
166,Wartortle,0.07059,35,0.757,24,0.670
167,Ariados,0.06894,59,1.277,48,1.339
168,Vanilluxe,0.06834,16,0.346,15,0.419
169,Floette,0.06634,2,0.043,1,0.028
170,Hypno,0.06345,16,0.346,12,0.335
171,Ursaring,0.05651,17,0.368,12,0.335
172,Delibird,0.04783,9,0.195,7,0.195
173,Beartic,0.04676,6,0.130,4,0.112
174,Stantler,0.04676,2,0.043,2,0.056
175,Seadra,0.03864,6,0.130,3,0.084
176,Seaking,0.03581,6,0.130,6,0.167
177,Golem,0.03535,38,0.822,29,0.809
178,Camerupt,0.03250,27,0.584,21,0.586
179,Beedrill,0.03139,7,0.151,4,0.112
180,Bouffalant,0.02457,10,0.216,9,0.251
181,Sawsbuck,0.02274,27,0.584,19,0.530
182,Dwebble,0.02094,4,0.087,2,0.056
183,Spinarak,0.02093,3,0.065,3,0.084
184,Purugly,0.01998,5,0.108,3,0.084
185,Delcatty,0.01722,14,0.303,6,0.167
186,Zweilous,0.01700,4,0.087,3,0.084
187,Munchlax,0.01605,6,0.130,5,0.140
188,Gourgeist,0.01460,10,0.216,7,0.195
189,Wobbuffet,0.01402,10,0.216,7,0.195
190,Growlithe,0.01395,2,0.043,2,0.056
191,Cacnea,0.01395,1,0.022,1,0.028
192,Meowth,0.01395,9,0.195,9,0.251
193,Ledian,0.01383,13,0.281,9,0.251
194,Parasect,0.01338,13,0.281,8,0.223
195,Vullaby,0.01338,12,0.260,7,0.195
196,Maractus,0.01182,11,0.238,5,0.140
197,Emolga,0.01146,12,0.260,6,0.167
