 Total battles: 201962
 Avg. weight/team: 0.065
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Landorus-Therian,34.26896,47643,11.795,39578,13.354
2,Heatran,21.65396,39822,9.859,31873,10.754
3,Rotom-Wash,20.33596,39732,9.837,32153,10.848
4,Clefable,20.16102,38303,9.483,28001,9.448
5,Latios,19.61252,30097,7.451,20734,6.996
6,Excadrill,17.07987,35910,8.890,25597,8.636
7,Keldeo,16.83352,23246,5.755,17269,5.827
8,Garchomp,13.46007,43539,10.779,33074,11.159
9,Tyranitar,13.18161,33059,8.184,25237,8.515
10,Skarmory,12.99666,31101,7.700,25914,8.743
11,Ferrothorn,12.94733,42495,10.521,35164,11.864
12,Medicham-Mega,12.48961,18077,4.475,14568,4.915
13,Bisharp,11.55482,31255,7.738,22154,7.475
14,Lopunny-Mega,11.13307,26761,6.625,21005,7.087
15,Talonflame,10.67402,35799,8.863,25885,8.734
16,Tornadus-Therian,10.40129,11470,2.840,8903,3.004
17,Manaphy,9.11832,14330,3.548,10587,3.572
18,Weavile,8.84438,33437,8.278,24146,8.147
19,Jirachi,8.82301,14777,3.658,11245,3.794
20,Scizor-Mega,8.34609,21281,5.269,15727,5.306
21,Gengar,7.95668,47884,11.855,33603,11.338
22,Mew,7.47467,15985,3.957,12778,4.311
23,Dragonite,7.39142,40538,10.036,27878,9.406
24,Chansey,7.17058,23528,5.825,16609,5.604
25,Metagross-Mega,7.13812,20928,5.181,15124,5.103
26,Starmie,6.96084,23562,5.833,17162,5.790
27,Azumarill,6.93728,32090,7.945,23840,8.044
28,Magnezone,6.53198,19340,4.788,14604,4.927
29,Raikou,6.46320,9929,2.458,7285,2.458
30,Gliscor,6.37933,36238,8.971,27136,9.156
31,Diancie-Mega,6.22913,11150,2.760,8833,2.980
32,Zapdos,6.18991,17037,4.218,12956,4.371
33,Serperior,5.88223,33623,8.324,23557,7.948
34,Amoonguss,5.72632,10704,2.650,7743,2.612
35,Thundurus,5.67216,11543,2.858,8715,2.940
36,Scizor,5.50192,21408,5.300,15723,5.305
37,Latias,5.44169,11302,2.798,7713,2.602
38,Slowbro,5.43903,12395,3.069,9151,3.088
39,Kyurem-Black,5.11691,13382,3.313,9212,3.108
40,Pinsir-Mega,5.07701,8864,2.194,6046,2.040
41,Venusaur-Mega,5.04407,19337,4.787,14346,4.840
42,Heracross-Mega,5.02551,12815,3.173,8875,2.994
43,Breloom,4.81571,25143,6.225,18175,6.132
44,Tangrowth,4.68815,8693,2.152,6486,2.188
45,Gardevoir-Mega,4.60058,21820,5.402,14729,4.970
46,Charizard-Mega-X,4.41350,28760,7.120,20929,7.061
47,Charizard-Mega-Y,4.11349,26795,6.634,19962,6.735
48,Azelf,4.03968,8175,2.024,7141,2.409
49,Politoed,3.92282,11047,2.735,10111,3.411
50,Togekiss,3.74941,22529,5.578,16334,5.511
51,Conkeldurr,3.74435,14104,3.492,10537,3.555
52,Manectric-Mega,3.60762,12905,3.195,10071,3.398
53,Kingdra,3.54974,10166,2.517,7049,2.378
54,Volcarona,3.37298,21224,5.254,15140,5.108
55,Swampert-Mega,3.33033,12210,3.023,9231,3.115
56,Hippowdon,2.83866,10674,2.643,8827,2.978
57,Volcanion,2.83808,15160,3.753,11637,3.926
58,Slowbro-Mega,2.68390,4346,1.076,3259,1.100
59,Sylveon,2.68186,14589,3.612,10024,3.382
60,Scolipede,2.33616,9755,2.415,7965,2.687
61,Hoopa,2.25278,1769,0.438,1297,0.438
62,Gastrodon,2.21983,5072,1.256,3882,1.310
63,Crawdaunt,2.19801,5069,1.255,3671,1.239
64,Victini,2.19393,7935,1.964,6065,2.046
65,Alakazam-Mega,2.11763,10193,2.523,7138,2.408
66,Hydreigon,2.06421,10620,2.629,7405,2.498
67,Dugtrio,2.04918,6478,1.604,4860,1.640
68,Blissey,2.01449,10324,2.556,7190,2.426
69,Alakazam,2.00626,10319,2.555,6883,2.322
70,Whimsicott,1.93999,6442,1.595,4640,1.566
71,Altaria-Mega,1.93994,8163,2.021,5737,1.936
72,Terrakion,1.92120,4070,1.008,2861,0.965
73,Ditto,1.91143,4765,1.180,3517,1.187
74,Tentacruel,1.90065,9470,2.345,7215,2.434
75,Klefki,1.84748,7436,1.841,6149,2.075
76,Suicune,1.77774,4925,1.219,3604,1.216
77,Gyarados,1.73012,14701,3.640,10962,3.699
78,Umbreon,1.57175,16598,4.109,11848,3.998
79,Thundurus-Therian,1.52468,7699,1.906,5636,1.902
80,Diggersby,1.51058,3592,0.889,2630,0.887
81,Quagsire,1.48304,5585,1.383,4056,1.368
82,Mamoswine,1.43072,9553,2.365,7238,2.442
83,Espeon,1.42493,16605,4.111,12207,4.119
84,Gyarados-Mega,1.40199,9539,2.362,6941,2.342
85,Gallade-Mega,1.34018,14177,3.510,10042,3.388
86,Cresselia,1.32830,4156,1.029,3081,1.040
87,Lucario,1.30873,12131,3.003,8613,2.906
88,Shedinja,1.28413,4517,1.118,2997,1.011
89,Arcanine,1.25363,15904,3.937,12072,4.073
90,Celebi,1.21044,4167,1.032,3021,1.019
91,Xatu,1.20830,3489,0.864,2524,0.852
92,Nidoking,1.20707,8162,2.021,5851,1.974
93,Cofagrigus,1.15464,6017,1.490,4717,1.592
94,Chandelure,1.11756,13689,3.389,9898,3.340
95,Meowstic,1.06505,2048,0.507,1732,0.584
96,Mandibuzz,1.05274,5884,1.457,4366,1.473
97,Empoleon,1.01215,5740,1.421,4423,1.492
98,Entei,0.99957,3177,0.787,2238,0.755
99,Latias-Mega,0.95845,2572,0.637,1766,0.596
100,Seismitoad,0.94738,2761,0.684,2234,0.754
101,Sceptile-Mega,0.94552,10935,2.707,7795,2.630
102,Infernape,0.91967,15085,3.735,11357,3.832
103,Shuckle,0.85491,8914,2.207,7445,2.512
104,Alomomola,0.83221,1899,0.470,1448,0.489
105,Milotic,0.81564,12960,3.209,9263,3.125
106,Vaporeon,0.80320,6982,1.729,5210,1.758
107,Salamence,0.78545,13471,3.335,9178,3.097
108,Darmanitan,0.78403,5706,1.413,4238,1.430
109,Staraptor,0.70070,9791,2.424,7072,2.386
110,Forretress,0.69784,9156,2.267,7873,2.656
111,Jolteon,0.67053,12651,3.132,9049,3.053
112,Jellicent,0.66819,3387,0.839,2516,0.849
113,Registeel,0.63842,1343,0.332,1046,0.353
114,Beedrill-Mega,0.62355,7661,1.897,5636,1.902
115,Donphan,0.61440,6712,1.662,5449,1.838
116,Sableye,0.60664,7410,1.835,5893,1.988
117,Goodra,0.60589,11894,2.945,8610,2.905
118,Reuniclus,0.60398,3531,0.874,2428,0.819
119,Meloetta,0.60297,2073,0.513,1505,0.508
120,Feraligatr,0.59925,8408,2.082,5939,2.004
121,Metagross,0.57261,9044,2.239,6502,2.194
122,Porygon2,0.57005,5611,1.389,4167,1.406
123,Garchomp-Mega,0.56665,8039,1.990,5542,1.870
124,Kabutops,0.54261,3385,0.838,2263,0.764
125,Claydol,0.53842,1271,0.315,1000,0.337
126,Pidgeot-Mega,0.52290,6087,1.507,4567,1.541
127,Chesnaught,0.51543,3909,0.968,2810,0.948
128,Tyranitar-Mega,0.51180,8500,2.104,5975,2.016
129,Cloyster,0.49998,16910,4.186,12756,4.304
130,Hawlucha,0.49500,7604,1.883,5433,1.833
131,Galvantula,0.46845,9240,2.288,7891,2.662
132,Slowking,0.44946,2913,0.721,2194,0.740
133,Aerodactyl-Mega,0.41645,3958,0.980,2758,0.931
134,Venusaur,0.39364,6823,1.689,4607,1.554
135,Swampert,0.38698,6372,1.578,4983,1.681
136,Absol-Mega,0.38632,4281,1.060,3159,1.066
137,Machamp,0.37219,7479,1.852,5706,1.925
138,Smeargle,0.37003,4459,1.104,3906,1.318
139,Blastoise-Mega,0.35554,5918,1.465,4406,1.487
140,Heliolisk,0.34798,3672,0.909,2524,0.852
141,Toxicroak,0.34201,4067,1.007,2810,0.948
142,Heracross,0.33999,4725,1.170,3383,1.141
143,Roserade,0.33094,6376,1.579,4720,1.593
144,Doublade,0.32807,2010,0.498,1457,0.492
145,Crobat,0.31204,10894,2.697,8069,2.722
146,Houndoom-Mega,0.29806,3717,0.920,2638,0.890
147,Aerodactyl,0.29328,3361,0.832,2671,0.901
148,Nidoqueen,0.28626,2117,0.524,1717,0.579
149,Bronzong,0.28072,2790,0.691,2286,0.771
150,Latios-Mega,0.27976,2966,0.734,2011,0.679
151,Uxie,0.26868,1264,0.313,1084,0.366
152,Florges,0.26724,5691,1.409,3733,1.260
153,Ninetales,0.26099,6953,1.721,5540,1.869
154,Rotom-Heat,0.25734,3212,0.795,2481,0.837
155,Porygon-Z,0.25168,6359,1.574,4623,1.560
156,Aggron-Mega,0.24968,4665,1.155,3546,1.196
157,Honchkrow,0.24644,4431,1.097,3069,1.035
158,Pangoro,0.24546,1302,0.322,902,0.304
159,Snorlax,0.24476,13620,3.372,9559,3.225
160,Mienshao,0.24205,3785,0.937,2580,0.870
161,Dragalge,0.22922,2432,0.602,1740,0.587
162,Omastar,0.22489,2132,0.528,1554,0.524
163,Haxorus,0.22471,8678,2.148,5502,1.856
164,Sharpedo-Mega,0.22121,1846,0.457,1251,0.422
165,Sigilyph,0.20777,3706,0.917,2502,0.844
166,Gourgeist-Super,0.20062,661,0.164,493,0.166
167,Camerupt,0.19759,1070,0.265,805,0.272
168,Kecleon,0.19635,953,0.236,686,0.231
169,Abomasnow-Mega,0.19493,2319,0.574,1783,0.602
170,Magneton,0.19418,1293,0.320,955,0.322
171,Krookodile,0.19011,6343,1.570,4541,1.532
172,Cobalion,0.18746,1391,0.344,1071,0.361
173,Venomoth,0.18144,1298,0.321,887,0.299
174,Electivire,0.17445,10235,2.534,7222,2.437
175,Kyurem,0.17240,775,0.192,544,0.184
176,Gardevoir,0.17072,7873,1.949,5115,1.726
177,Banette-Mega,0.16186,2883,0.714,2091,0.706
178,Gallade,0.15775,2829,0.700,1877,0.633
179,Vivillon,0.15674,1583,0.392,1171,0.395
180,Yanmega,0.15113,2273,0.563,1660,0.560
