 Total battles: 3921
 Avg. weight/team: 0.661
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Golem,17.88769,1228,15.659,1074,17.400
2,Monferno,16.91155,1100,14.027,843,13.658
3,Misdreavus,14.43671,880,11.222,749,12.135
4,Smeargle,14.06115,940,11.987,888,14.387
5,Avalugg,11.58202,870,11.094,655,10.612
6,Bouffalant,11.53794,732,9.334,561,9.089
7,Rotom-Frost,11.24457,714,9.105,603,9.769
8,Floatzel,11.03357,869,11.081,659,10.677
9,Mr. Mime,10.21959,748,9.538,527,8.538
10,Dodrio,9.65274,673,8.582,491,7.955
11,Rampardos,9.64286,598,7.626,435,7.048
12,Mawile,9.29745,631,8.046,513,8.311
13,Stoutland,9.10604,598,7.626,470,7.615
14,Muk,8.97970,612,7.804,488,7.906
15,Ampharos,8.86926,713,9.092,556,9.008
16,Kadabra,8.72526,626,7.983,461,7.469
17,Dusknoir,8.15082,641,8.174,525,8.506
18,Leafeon,7.84511,609,7.766,466,7.550
19,Altaria,7.72672,592,7.549,440,7.129
20,Armaldo,7.43087,585,7.460,451,7.307
21,Chatot,7.41937,554,7.065,399,6.464
22,Clefairy,7.23510,515,6.567,408,6.610
23,Cacturne,6.69583,556,7.090,435,7.048
24,Ninetales,6.68960,487,6.210,352,5.703
25,Raichu,6.43119,478,6.095,369,5.978
26,Marowak,6.36227,499,6.363,414,6.707
27,Rapidash,6.31897,528,6.733,397,6.432
28,Zebstrika,6.02874,456,5.815,363,5.881
29,Lapras,5.98730,475,6.057,377,6.108
30,Cryogonal,5.95457,445,5.675,326,5.282
31,Combusken,5.91095,432,5.509,354,5.735
32,Roselia,5.68433,422,5.381,343,5.557
33,Grumpig,5.61061,398,5.075,302,4.893
34,Arbok,5.41649,529,6.746,390,6.319
35,Lumineon,5.36097,373,4.756,316,5.120
36,Luxray,5.26182,460,5.866,342,5.541
37,Audino,5.16147,432,5.509,371,6.011
38,Krokorok,5.08615,299,3.813,239,3.872
39,Ursaring,5.07828,383,4.884,300,4.860
40,Seaking,4.91484,322,4.106,244,3.953
41,Dusclops,4.90302,357,4.552,292,4.731
42,Gabite,4.74003,334,4.259,285,4.617
43,Jumpluff,4.70771,341,4.348,274,4.439
44,Regice,4.62272,332,4.234,263,4.261
45,Probopass,4.38022,347,4.425,311,5.039
46,Gourgeist-Super,4.37603,328,4.183,275,4.455
47,Electrode,4.34591,321,4.093,265,4.293
48,Regigigas,4.09623,290,3.698,230,3.726
49,Meowstic,4.07534,341,4.348,290,4.698
50,Glalie,4.05769,232,2.958,219,3.548
51,Metang,4.01725,314,4.004,276,4.472
52,Kingler,3.87555,321,4.093,244,3.953
53,Articuno,3.87425,349,4.450,252,4.083
54,Beheeyem,3.86367,331,4.221,229,3.710
55,Stunfisk,3.83011,286,3.647,252,4.083
56,Relicanth,3.74942,293,3.736,228,3.694
57,Politoed,3.63895,250,3.188,203,3.289
58,Pelipper,3.54835,237,3.022,195,3.159
59,Vullaby,3.50722,235,2.997,198,3.208
60,Tangela,3.43303,280,3.571,217,3.516
61,Lickilicky,3.42962,250,3.188,164,2.657
62,Vibrava,3.28885,210,2.678,184,2.981
63,Leavanny,3.26514,253,3.226,226,3.662
64,Simisear,3.22993,253,3.226,182,2.949
65,Ninjask,3.22867,261,3.328,217,3.516
66,Golduck,3.21568,239,3.048,165,2.673
67,Torkoal,3.15623,297,3.787,262,4.245
68,Glaceon,3.14969,225,2.869,166,2.689
69,Mightyena,3.13059,254,3.239,205,3.321
