 Total battles: 781
 Avg. weight/team: 1.0
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Flygon,17.09347,267,17.093,190,15.884
2,Jolteon,16.70935,261,16.709,199,16.636
3,Virizion,16.13316,252,16.133,188,15.717
4,Drapion,15.49296,242,15.493,190,15.884
5,Ambipom,15.30090,239,15.301,197,16.469
6,Banette-Mega,12.86812,201,12.868,157,13.125
7,Glalie-Mega,12.61204,197,12.612,130,10.868
8,Diancie,12.16389,190,12.164,165,13.794
9,Scrafty,12.03585,188,12.036,143,11.955
10,Blastoise,11.84379,185,11.844,149,12.456
11,Jellicent,10.88348,170,10.883,142,11.871
12,Braviary,10.75544,168,10.755,126,10.534
13,Uxie,10.05122,157,10.051,137,11.453
14,Accelgor,10.05122,157,10.051,112,9.363
15,Aerodactyl,9.92318,155,9.923,115,9.614
16,Camerupt-Mega,9.92318,155,9.923,115,9.614
17,Cinccino,9.47503,148,9.475,110,9.196
18,Registeel,9.47503,148,9.475,126,10.534
19,Houndoom,9.15493,143,9.155,115,9.614
20,Cofagrigus,9.02689,141,9.027,108,9.029
21,Sigilyph,8.96287,140,8.963,97,8.109
22,Hitmonlee,8.83483,138,8.835,105,8.778
23,Gallade,8.83483,138,8.835,102,8.527
24,Escavalier,8.64277,135,8.643,99,8.276
25,Venusaur,8.51472,133,8.515,106,8.862
26,Exploud,8.45070,132,8.451,98,8.193
27,Rhyperior,8.38668,131,8.387,109,9.112
28,Clawitzer,8.38668,131,8.387,96,8.026
29,Alomomola,8.32266,130,8.323,96,8.026
30,Bronzong,8.25864,129,8.259,115,9.614
31,Druddigon,8.13060,127,8.131,109,9.112
32,Slowking,8.00256,125,8.003,87,7.273
33,Typhlosion,7.74648,121,7.746,99,8.276
34,Eelektross,7.42638,116,7.426,90,7.524
35,Delphox,7.29834,114,7.298,81,6.772
36,Magneton,6.53009,102,6.530,80,6.688
37,Qwilfish,6.40205,100,6.402,89,7.440
38,Rotom-Mow,6.27401,98,6.274,79,6.604
39,Hoopa,6.27401,98,6.274,75,6.270
40,Sceptile,6.14597,96,6.146,74,6.186
41,Emboar,5.69782,89,5.698,59,4.932
42,Meloetta,5.44174,85,5.442,62,5.183
43,Aromatisse,5.31370,83,5.314,57,4.765
44,Golbat,5.18566,81,5.186,70,5.852
