 Total battles: 42479
 Avg. weight/team: 0.062
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Groudon-Primal,75.18544,23741,27.944,17524,31.078
2,Arceus,39.06754,11012,12.962,7121,12.629
3,Yveltal,37.59913,6631,7.805,4717,8.365
4,Xerneas,34.40042,17725,20.863,11472,20.345
5,Giratina-Origin,30.15057,6464,7.608,4501,7.982
6,Ho-Oh,24.52069,4504,5.301,3160,5.604
7,Darkrai,20.46320,12794,15.059,8312,14.741
8,Lugia,18.96154,8023,9.443,5266,9.339
9,Kyogre-Primal,17.81114,13939,16.407,8845,15.686
10,Mewtwo-Mega-Y,17.64441,9054,10.657,5940,10.534
11,Deoxys-Attack,14.77788,5557,6.541,3728,6.611
12,Ferrothorn,14.57892,4199,4.942,3242,5.750
13,Salamence-Mega,13.49512,4423,5.206,2911,5.163
14,Lucario-Mega,10.26237,5787,6.812,3965,7.032
15,Aegislash,10.05747,10584,12.458,6676,11.840
16,Arceus-Water,9.87360,1388,1.634,1028,1.823
17,Rayquaza,9.61410,8735,10.282,5365,9.515
18,Arceus-Ground,9.59588,1217,1.432,834,1.479
19,Blissey,8.80793,2085,2.454,1446,2.564
20,Arceus-Ghost,8.25321,2801,3.297,1841,3.265
21,Chansey,7.61860,1936,2.279,1279,2.268
22,Diancie-Mega,7.40146,2393,2.817,1907,3.382
23,Ditto,7.19178,1485,1.748,1027,1.821
24,Kyogre,6.38011,1680,1.977,1057,1.875
25,Deoxys-Speed,6.27876,2293,2.699,1933,3.428
26,Scolipede,6.20930,3515,4.137,2974,5.274
27,Klefki,5.92973,1266,1.490,969,1.718
28,Blaziken-Mega,5.88870,8619,10.145,5981,10.607
29,Gengar-Mega,5.48048,4976,5.857,3338,5.920
30,Shaymin-Sky,4.99844,2893,3.405,1688,2.994
31,Genesect,4.78282,2591,3.050,1781,3.159
32,Greninja,4.73703,14307,16.840,10093,17.899
33,Mewtwo-Mega-X,4.62029,4154,4.889,2876,5.100
34,Smeargle,4.61940,2457,2.892,1849,3.279
35,Landorus-Therian,4.37165,1416,1.667,1091,1.935
36,Sableye-Mega,4.20061,2048,2.411,1548,2.745
37,Latios,4.13860,1749,2.059,1051,1.864
38,Kangaskhan-Mega,4.12586,4958,5.836,3654,6.480
39,Scizor,3.81487,2247,2.645,1510,2.678
40,Arceus-Fairy,3.53615,1074,1.264,730,1.295
41,Mewtwo,3.46500,3177,3.739,1988,3.526
42,Mawile-Mega,3.10335,2749,3.236,1889,3.350
43,Kyurem-White,3.09946,2099,2.471,1211,2.148
44,Arceus-Rock,3.09358,397,0.467,240,0.426
45,Giratina,3.05770,1686,1.985,1097,1.945
46,Dialga,2.60274,3575,4.208,2234,3.962
47,Sylveon,2.55072,3114,3.665,1957,3.471
48,Espeon,2.42815,2611,3.073,1708,3.029
49,Vaporeon,2.15763,1550,1.824,1055,1.871
50,Palkia,1.95397,2337,2.751,1504,2.667
51,Skarmory,1.94990,1850,2.178,1399,2.481
52,Arceus-Dragon,1.64190,727,0.856,439,0.779
53,Forretress,1.54469,1484,1.747,1282,2.274
54,Blaziken,1.51251,5418,6.377,3788,6.718
55,Zekrom,1.48319,2312,2.721,1466,2.600
56,Clefable,1.34890,1290,1.518,842,1.493
57,Shuckle,1.16472,1624,1.912,1401,2.485
58,Mew,1.07577,1517,1.786,1061,1.882
59,Latias,1.05579,665,0.783,407,0.722
