 Total battles: 9365
 Avg. weight/team: 0.02
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Aggron-Mega,30.67384,1664,8.884,1382,9.528
2,Blissey,23.91915,1199,6.401,900,6.205
3,Donphan,21.10950,1808,9.653,1560,10.755
4,Sylveon,20.90555,2348,12.536,1805,12.444
5,Conkeldurr,20.72014,2006,10.710,1594,10.989
6,Crobat,19.25977,2285,12.200,1824,12.575
7,Suicune,17.92108,886,4.730,722,4.978
8,Forretress,16.26841,1765,9.423,1586,10.934
9,Yanmega,15.57003,781,4.170,614,4.233
10,Celebi,13.14016,834,4.453,628,4.330
11,Krookodile,12.95068,2043,10.908,1607,11.079
12,Gligar,12.25036,754,4.026,643,4.433
13,Hydreigon,11.70213,1974,10.539,1483,10.224
14,Heracross,11.54888,939,5.013,686,4.729
15,Infernape,11.01107,2098,11.201,1616,11.141
16,Alomomola,10.09056,237,1.265,195,1.344
17,Rotom-Mow,9.99306,293,1.564,240,1.655
18,Florges,9.84959,1355,7.234,1020,7.032
19,Chandelure,9.70036,2405,12.840,1817,12.527
20,Entei,9.09057,1676,8.948,1356,9.349
21,Cobalion,8.88603,677,3.615,535,3.688
22,Arcanine,8.60515,2384,12.728,1892,13.044
23,Gyarados,8.51631,1590,8.489,1253,8.638
24,Mamoswine,8.37960,1529,8.163,1260,8.687
25,Gardevoir,8.32872,1407,7.512,1062,7.322
26,Moltres,7.84833,137,0.731,117,0.807
27,Tentacruel,7.73141,1551,8.281,1283,8.845
28,Crawdaunt,7.68911,914,4.880,712,4.909
29,Beedrill-Mega,7.49003,2023,10.801,1511,10.417
30,Swampert-Mega,7.46730,803,4.287,656,4.523
31,Jellicent,7.15434,241,1.287,185,1.275
32,Porygon2,7.09073,890,4.752,665,4.585
33,Milotic,6.64901,1433,7.651,1167,8.046
34,Empoleon,6.24804,1578,8.425,1268,8.742
35,Mienshao,6.19747,676,3.609,502,3.461
36,Darmanitan,6.00678,1534,8.190,1106,7.625
37,Metagross,5.97416,1332,7.112,1044,7.198
38,Nidoking,5.88289,1112,5.937,815,5.619
39,Blastoise-Mega,5.81450,1185,6.327,989,6.818
40,Articuno,5.18315,69,0.368,53,0.365
41,Tangela,5.17836,80,0.427,53,0.365
42,Sceptile-Mega,5.14215,1661,8.868,1177,8.114
43,Steelix-Mega,5.00306,218,1.164,182,1.255
44,Cresselia,5.00175,863,4.608,672,4.633
45,Swampert,4.92649,580,3.097,517,3.564
46,Aerodactyl-Mega,4.86401,1703,9.092,1235,8.514
47,Machamp,4.84926,1351,7.213,1129,7.784
48,Fletchinder,4.71141,69,0.368,49,0.338
49,Mandibuzz,4.57032,785,4.191,643,4.433
50,Abomasnow-Mega,4.45110,224,1.196,159,1.096
51,Ampharos-Mega,4.43435,1031,5.505,762,5.253
52,Heliolisk,4.37266,799,4.266,595,4.102
53,Espeon,4.21593,1839,9.818,1360,9.376
54,Goodra,3.77684,900,4.805,667,4.598
55,Toxicroak,3.55341,726,3.876,561,3.868
56,Roserade,3.50365,1031,5.505,801,5.522
57,Masquerain,3.24311,41,0.219,31,0.214
58,Rotom-Heat,3.13848,803,4.287,657,4.529
59,Umbreon,2.99225,1444,7.710,1063,7.329
60,Flygon,2.92109,271,1.447,207,1.427
61,Feraligatr,2.91476,1283,6.850,975,6.722
62,Honchkrow,2.87662,573,3.059,438,3.020
63,Vaporeon,2.84831,1019,5.440,851,5.867
64,Porygon-Z,2.83210,1010,5.392,693,4.778
65,Lucario,2.48228,1455,7.768,1041,7.177
66,Sharpedo-Mega,2.43462,592,3.161,427,2.944
67,Absol-Mega,2.42868,1274,6.802,939,6.474
68,Houndoom-Mega,2.31612,754,4.026,571,3.937
69,Tornadus,2.07710,360,1.922,298,2.054
70,Doublade,2.07585,497,2.653,374,2.578
71,Reuniclus,1.93741,586,3.129,426,2.937
72,Galvantula,1.89071,1721,9.188,1547,10.665
73,Tyrantrum,1.82840,315,1.682,239,1.648
74,Sableye,1.71772,525,2.803,437,3.013
75,Whimsicott,1.64086,992,5.296,756,5.212
76,Shuckle,1.58682,430,2.296,368,2.537
77,Chesnaught,1.38132,1160,6.193,897,6.184
78,Nidoqueen,1.36297,550,2.936,490,3.378
79,Magneton,1.32831,429,2.290,327,2.254
80,Leafeon,1.32652,108,0.577,86,0.593
81,Cloyster,1.10078,1603,8.558,1184,8.163
82,Froslass,1.01344,308,1.644,265,1.827
83,Kyurem,0.96460,225,1.201,152,1.048
84,Quagsire,0.92970,129,0.689,103,0.710
85,Haxorus,0.92794,1159,6.188,840,5.791
86,Snorlax,0.91674,1092,5.830,815,5.619
87,Dragalge,0.70388,246,1.313,195,1.344
88,Weezing,0.69497,238,1.271,215,1.482
89,Slurpuff,0.65843,438,2.338,308,2.123
90,Kingdra,0.64868,609,3.251,476,3.282
91,Electivire,0.58874,265,1.415,194,1.337
92,Bronzong,0.55470,229,1.223,200,1.379
93,Shaymin,0.46415,538,2.872,420,2.896
94,Klefki,0.45885,724,3.865,647,4.461
95,Rhyperior,0.41489,218,1.164,177,1.220
96,Scrafty,0.39973,255,1.361,200,1.379
97,Claydol,0.39575,75,0.400,63,0.434
98,Slowking,0.39419,180,0.961,145,1.000
99,Jolteon,0.38238,873,4.661,659,4.543
100,Slaking,0.35771,97,0.518,60,0.414
101,Ludicolo,0.34992,177,0.945,135,0.931
102,Noivern,0.32883,412,2.200,297,2.048
103,Qwilfish,0.31861,105,0.561,90,0.620
104,Poliwrath,0.31844,91,0.486,80,0.552
105,Politoed,0.31565,79,0.422,59,0.407
106,Drapion,0.28831,103,0.550,78,0.538
107,Audino-Mega,0.27827,107,0.571,75,0.517
108,Uxie,0.25348,99,0.529,88,0.607
109,Typhlosion,0.24099,366,1.954,229,1.579
110,Miltank,0.23444,99,0.529,79,0.545
111,Escavalier,0.23440,240,1.281,184,1.269
112,Ursaring,0.23068,119,0.635,90,0.620
113,Hitmontop,0.22800,133,0.710,105,0.724
114,Gastrodon,0.22018,136,0.726,110,0.758
115,Mesprit,0.21834,29,0.155,24,0.165
116,Durant,0.20675,147,0.785,94,0.648
117,Eelektross,0.20323,169,0.902,134,0.924
118,Swellow,0.20266,209,1.116,129,0.889
119,Blastoise,0.17071,204,1.089,166,1.144
120,Xatu,0.16282,119,0.635,98,0.676
121,Gothitelle,0.15822,31,0.166,24,0.165
122,Druddigon,0.15733,60,0.320,47,0.324
123,Pangoro,0.14594,128,0.683,95,0.655
124,Gallade,0.14506,374,1.997,312,2.151
125,Kabutops,0.14316,136,0.726,100,0.689
