 Total battles: 1210
 Avg. weight/team: 0.6
Rank,Pokemon,Usage percentage,Raw,Raw percentage,Real,Real percentage
1,Rayquaza-Mega,39.76101,731,30.207,0,0.000
2,Kyogre-Primal,34.95108,758,31.322,0,0.000
3,Xerneas,31.64561,618,25.537,0,0.000
4,Gengar-Mega,25.65897,483,19.959,0,0.000
5,Groudon-Primal,23.25121,550,22.727,0,0.000
6,Raichu,22.74633,442,18.264,0,0.000
7,Talonflame,22.18402,459,18.967,0,0.000
8,Kangaskhan-Mega,19.89672,467,19.298,0,0.000
9,Bronzong,18.26348,360,14.876,0,0.000
10,Hitmontop,16.17093,318,13.140,0,0.000
11,Smeargle,15.85746,346,14.298,0,0.000
12,Salamence-Mega,12.81740,286,11.818,0,0.000
13,Amoonguss,10.49691,217,8.967,0,0.000
14,Scrafty,10.49137,178,7.355,0,0.000
15,Ferrothorn,10.25103,248,10.248,0,0.000
16,Cresselia,8.81287,216,8.926,0,0.000
17,Thundurus,8.56461,201,8.306,0,0.000
18,Meowstic,7.05739,124,5.124,0,0.000
19,Scizor,6.77270,136,5.620,0,0.000
20,Gastrodon,6.71369,119,4.917,0,0.000
21,Landorus-Therian,6.30894,152,6.281,0,0.000
22,Weavile,6.12160,129,5.331,0,0.000
23,Gengar,5.92566,167,6.901,0,0.000
24,Sylveon,5.64190,167,6.901,0,0.000
25,Crobat,5.57537,122,5.041,0,0.000
26,Aegislash,5.41475,155,6.405,0,0.000
27,Whimsicott,5.27436,123,5.083,0,0.000
28,Infernape,5.12890,94,3.884,0,0.000
29,Yveltal,4.69197,104,4.298,0,0.000
30,Greninja,4.38023,155,6.405,0,0.000
31,Mawile-Mega,4.12443,102,4.215,0,0.000
32,Togekiss,4.07573,95,3.926,0,0.000
33,Arcanine,3.77330,101,4.174,0,0.000
34,Garchomp,3.72671,117,4.835,0,0.000
35,Gyarados,3.33153,83,3.430,0,0.000
36,Mewtwo,3.19044,60,2.479,0,0.000
37,Jolteon,2.82060,58,2.397,0,0.000
38,Kyogre,2.59718,55,2.273,0,0.000
39,Sceptile-Mega,2.56521,98,4.050,0,0.000
40,Cofagrigus,2.52721,70,2.893,0,0.000
41,Golduck,2.44732,49,2.025,0,0.000
42,Volcarona,2.27388,49,2.025,0,0.000
43,Gardevoir-Mega,2.26495,78,3.223,0,0.000
44,Tyranitar,2.24632,103,4.256,0,0.000
45,Rayquaza,2.22504,44,1.818,0,0.000
46,Charizard-Mega-Y,2.19003,99,4.091,0,0.000
47,Heatran,2.12841,52,2.149,0,0.000
48,Venusaur-Mega,1.96210,59,2.438,0,0.000
49,Golbat,1.95249,31,1.281,0,0.000
50,Azumarill,1.88321,65,2.686,0,0.000
51,Sableye,1.87277,47,1.942,0,0.000
52,Manectric-Mega,1.82910,38,1.570,0,0.000
53,Wailord,1.79026,32,1.322,0,0.000
54,Kyurem-White,1.72544,42,1.736,0,0.000
55,Bisharp,1.58532,52,2.149,0,0.000
56,Lucario-Mega,1.58004,59,2.438,0,0.000
57,Blaziken-Mega,1.56849,49,2.025,0,0.000
58,Charizard-Mega-X,1.50903,63,2.603,0,0.000
59,Milotic,1.45229,44,1.818,0,0.000
60,Jumpluff,1.43805,34,1.405,0,0.000
61,Entei,1.37069,25,1.033,0,0.000
62,Hydreigon,1.34349,42,1.736,0,0.000
63,Tyranitar-Mega,1.34266,42,1.736,0,0.000
64,Dialga,1.32970,54,2.231,0,0.000
65,Zapdos,1.32182,32,1.322,0,0.000
66,Metagross-Mega,1.28285,46,1.901,0,0.000
67,Gyarados-Mega,1.28216,43,1.777,0,0.000
68,Conkeldurr,1.27427,39,1.612,0,0.000
69,Pidgeot-Mega,1.24078,32,1.322,0,0.000
70,Ditto,1.23279,38,1.570,0,0.000
71,Clefable,1.22291,29,1.198,0,0.000
72,Politoed,1.19221,37,1.529,0,0.000
73,Dragonite,1.18348,59,2.438,0,0.000
74,Garchomp-Mega,1.16511,38,1.570,0,0.000
75,Umbreon,1.15206,29,1.198,0,0.000
76,Rotom-Heat,1.13260,32,1.322,0,0.000
77,Clefairy,1.12418,26,1.074,0,0.000
78,Swampert-Mega,1.11766,40,1.653,0,0.000
79,Giratina-Origin,1.11437,32,1.322,0,0.000
80,Mewtwo-Mega-Y,1.07507,48,1.983,0,0.000
81,Dusclops,1.04941,24,0.992,0,0.000
82,Abomasnow,1.04407,24,0.992,0,0.000
83,Suicune,1.04340,32,1.322,0,0.000
84,Liepard,1.01550,25,1.033,0,0.000
85,Sableye-Mega,0.92317,18,0.744,0,0.000
86,Shedinja,0.88624,27,1.116,0,0.000
87,Blaziken,0.88453,28,1.157,0,0.000
88,Krookodile,0.86611,36,1.488,0,0.000
89,Empoleon,0.86160,29,1.198,0,0.000
90,Stantler,0.85829,14,0.579,0,0.000
91,Gardevoir,0.83665,39,1.612,0,0.000
92,Palkia,0.83033,44,1.818,0,0.000
93,Rotom-Wash,0.82812,32,1.322,0,0.000
94,Chansey,0.81363,28,1.157,0,0.000
95,Goodra,0.81350,27,1.116,0,0.000
96,Venusaur,0.78686,28,1.157,0,0.000
97,Snorlax,0.73871,27,1.116,0,0.000
98,Togetic,0.73528,14,0.579,0,0.000
99,Klefki,0.70802,23,0.950,0,0.000
100,Terrakion,0.70228,26,1.074,0,0.000
101,Gliscor,0.69922,29,1.198,0,0.000
102,Linoone,0.69141,23,0.950,0,0.000
103,Scizor-Mega,0.66890,22,0.909,0,0.000
104,Haxorus,0.64197,25,1.033,0,0.000
105,Latios,0.62035,15,0.620,0,0.000
106,Thundurus-Therian,0.61046,17,0.702,0,0.000
107,Audino-Mega,0.60364,20,0.826,0,0.000
108,Serperior,0.59734,20,0.826,0,0.000
109,Mewtwo-Mega-X,0.59068,28,1.157,0,0.000
110,Banette-Mega,0.58651,18,0.744,0,0.000
111,Hariyama,0.58449,19,0.785,0,0.000
112,Ampharos-Mega,0.57255,19,0.785,0,0.000
113,Walrein,0.55012,9,0.372,0,0.000
114,Lopunny-Mega,0.54822,13,0.537,0,0.000
115,Breloom,0.54153,20,0.826,0,0.000
116,Aggron-Mega,0.54126,22,0.909,0,0.000
117,Cloyster,0.53429,22,0.909,0,0.000
118,Electivire,0.53418,18,0.744,0,0.000
119,Chandelure,0.53112,18,0.744,0,0.000
120,Sceptile,0.52913,34,1.405,0,0.000
121,Aromatisse,0.51970,11,0.455,0,0.000
122,Ludicolo,0.51941,15,0.620,0,0.000
123,Excadrill,0.51478,18,0.744,0,0.000
124,Latias-Mega,0.51180,21,0.868,0,0.000
125,Porygon2,0.51118,18,0.744,0,0.000
126,Lugia,0.50806,22,0.909,0,0.000
127,Alakazam-Mega,0.50710,20,0.826,0,0.000
128,Kyurem-Black,0.50043,11,0.455,0,0.000
129,Pachirisu,0.48916,19,0.785,0,0.000
130,Hawlucha,0.48478,18,0.744,0,0.000
131,Espeon,0.47969,18,0.744,0,0.000
132,Chesnaught,0.47684,19,0.785,0,0.000
133,Haunter,0.46926,10,0.413,0,0.000
134,Metagross,0.46897,18,0.744,0,0.000
135,Mienshao,0.45215,14,0.579,0,0.000
136,Salamence,0.44208,15,0.620,0,0.000
137,Lapras,0.44051,16,0.661,0,0.000
138,Houndoom-Mega,0.42314,10,0.413,0,0.000
139,Sudowoodo,0.41152,11,0.455,0,0.000
140,Slowbro,0.41124,11,0.455,0,0.000
141,Noivern,0.40899,31,1.281,0,0.000
142,Ambipom,0.39817,16,0.661,0,0.000
143,Magnezone,0.39302,18,0.744,0,0.000
144,Ninetales,0.38770,15,0.620,0,0.000
145,Charizard,0.38609,19,0.785,0,0.000
146,Manectric,0.38357,10,0.413,0,0.000
147,Slaking,0.37700,13,0.537,0,0.000
148,Nidoking,0.36653,14,0.579,0,0.000
149,Lucario,0.36464,18,0.744,0,0.000
150,Beedrill-Mega,0.36199,12,0.496,0,0.000
151,Marowak,0.35683,9,0.372,0,0.000
152,Exeggutor,0.35461,12,0.496,0,0.000
153,Zebstrika,0.35291,12,0.496,0,0.000
154,Gallade-Mega,0.35237,15,0.620,0,0.000
155,Eelektross,0.34420,11,0.455,0,0.000
156,Starmie,0.34330,15,0.620,0,0.000
157,Giratina,0.34275,9,0.372,0,0.000
158,Delphox,0.33841,10,0.413,0,0.000
159,Aggron,0.33456,16,0.661,0,0.000
160,Latios-Mega,0.33416,16,0.661,0,0.000
161,Malamar,0.33294,13,0.537,0,0.000
162,Staraptor,0.33028,15,0.620,0,0.000
163,Shuckle,0.32952,12,0.496,0,0.000
164,Alakazam,0.32759,11,0.455,0,0.000
165,Doublade,0.32397,9,0.372,0,0.000
166,Leafeon,0.32092,8,0.331,0,0.000
167,Gothitelle,0.31545,10,0.413,0,0.000
168,Pikachu,0.31539,15,0.620,0,0.000
169,Clawitzer,0.31533,13,0.537,0,0.000
170,Basculin,0.30747,8,0.331,0,0.000
171,Escavalier,0.30693,9,0.372,0,0.000
172,Mamoswine,0.30482,12,0.496,0,0.000
173,Blastoise-Mega,0.30317,10,0.413,0,0.000
174,Blastoise,0.29776,11,0.455,0,0.000
175,Lickilicky,0.29756,7,0.289,0,0.000
176,Dusknoir,0.29463,10,0.413,0,0.000
177,Tornadus,0.29311,8,0.331,0,0.000
178,Swampert,0.29009,10,0.413,0,0.000
179,Aerodactyl,0.28769,9,0.372,0,0.000
